series,kind,frame_local,time_s,x1_cm,x2_cm,spacing_cm,prominence_threshold
direct_raw,crest,27,0.9310344827586207,2.7086613178253174,7.842519760131836,5.133858680725098,0.0015
direct_raw,crest,27,0.9310344827586207,7.842519760131836,12.976377487182617,5.133857727050781,0.0015
direct_raw,crest,27,0.9310344827586207,12.976377487182617,19.527559280395508,6.551181793212891,0.0015
direct_raw,crest,27,0.9310344827586207,19.527559280395508,26.141733169555664,6.614173889160156,0.0015
direct_raw,crest,27,0.9310344827586207,26.141733169555664,31.149606704711914,5.00787353515625,0.0015
direct_raw,trough,27,0.9310344827586207,10.897637367248535,20.56692886352539,9.669291496276855,0.0015
direct_raw,trough,27,0.9310344827586207,20.56692886352539,28.251968383789062,7.685039520263672,0.0015
direct_raw,trough,27,0.9310344827586207,28.251968383789062,35.18110275268555,6.929134368896484,0.0015
direct_raw,crest,28,0.9655172413793104,2.7086613178253174,7.842519760131836,5.133858680725098,0.0015
direct_raw,crest,28,0.9655172413793104,7.842519760131836,12.976377487182617,5.133857727050781,0.0015
direct_raw,crest,28,0.9655172413793104,12.976377487182617,19.527559280395508,6.551181793212891,0.0015
direct_raw,crest,28,0.9655172413793104,19.527559280395508,26.141733169555664,6.614173889160156,0.0015
direct_raw,crest,28,0.9655172413793104,26.141733169555664,31.149606704711914,5.00787353515625,0.0015
direct_raw,trough,28,0.9655172413793104,10.897637367248535,20.56692886352539,9.669291496276855,0.0015
direct_raw,trough,28,0.9655172413793104,20.56692886352539,28.251968383789062,7.685039520263672,0.0015
direct_raw,trough,28,0.9655172413793104,28.251968383789062,35.18110275268555,6.929134368896484,0.0015
direct_raw,crest,29,1.0,2.7086613178253174,7.842519760131836,5.133858680725098,0.0015
direct_raw,crest,29,1.0,7.842519760131836,12.976377487182617,5.133857727050781,0.0015
direct_raw,crest,29,1.0,12.976377487182617,19.527559280395508,6.551181793212891,0.0015
direct_raw,crest,29,1.0,19.527559280395508,26.141733169555664,6.614173889160156,0.0015
direct_raw,crest,29,1.0,26.141733169555664,31.149606704711914,5.00787353515625,0.0015
direct_raw,trough,29,1.0,10.897637367248535,20.56692886352539,9.669291496276855,0.0015
direct_raw,trough,29,1.0,20.56692886352539,28.251968383789062,7.685039520263672,0.0015
direct_raw,trough,29,1.0,28.251968383789062,35.18110275268555,6.929134368896484,0.0015
direct_raw,crest,30,1.0344827586206897,2.7086613178253174,7.842519760131836,5.133858680725098,0.0015
direct_raw,crest,30,1.0344827586206897,7.842519760131836,12.976377487182617,5.133857727050781,0.0015
direct_raw,crest,30,1.0344827586206897,12.976377487182617,19.527559280395508,6.551181793212891,0.0015
direct_raw,crest,30,1.0344827586206897,19.527559280395508,26.141733169555664,6.614173889160156,0.0015
direct_raw,crest,30,1.0344827586206897,26.141733169555664,31.149606704711914,5.00787353515625,0.0015
direct_raw,trough,30,1.0344827586206897,10.897637367248535,20.56692886352539,9.669291496276855,0.0015
direct_raw,trough,30,1.0344827586206897,20.56692886352539,28.251968383789062,7.685039520263672,0.0015
direct_raw,trough,30,1.0344827586206897,28.251968383789062,35.18110275268555,6.929134368896484,0.0015
direct_raw,crest,31,1.0689655172413792,2.7086613178253174,7.842519760131836,5.133858680725098,0.0015
direct_raw,crest,31,1.0689655172413792,7.842519760131836,12.976377487182617,5.133857727050781,0.0015
direct_raw,crest,31,1.0689655172413792,12.976377487182617,19.527559280395508,6.551181793212891,0.0015
direct_raw,crest,31,1.0689655172413792,19.527559280395508,26.141733169555664,6.614173889160156,0.0015
direct_raw,crest,31,1.0689655172413792,26.141733169555664,31.149606704711914,5.00787353515625,0.0015
