start_s,end_s,center_s,raw_mean_cm,raw_median_cm,raw_std_cm,raw_n,right_mean_cm,right_median_cm,right_std_cm,right_n,left_mean_cm,left_median_cm,left_std_cm,left_n,right_energy,left_energy,left_over_right_energy,right_fft_coarse_lambda_cm
0.0,1.8,0.9,24.764928981935793,24.639923187127746,2.5614113295940353,14,22.981534759528937,23.0713799546851,0.7207152589282236,54,18.887079163210707,18.525046098699026,2.0596570319159486,54,21081753.236086667,22889478.071780026,1.085748315875313,15.3586818716534
0.6,2.4,1.5,24.22136484776901,24.407943322099282,2.0832030738454956,28,22.754991992735388,22.85051916225454,0.6158609082042702,54,19.030016701960314,18.73783082488606,1.7167041618511725,54,20646344.228078358,22699671.941614352,1.09945236264847,23.038022807480097
1.2,3.0,2.1,24.039538459244504,24.2828131973754,1.7605358810156297,38,22.75309759779297,22.819247032715445,0.5616345521629699,54,19.303654076995336,19.118612106927372,1.5978432680234607,54,10396925.843727387,7693866.930028448,0.7400136391922297,23.038022807480097
1.8,3.6,2.7,23.76209233751516,23.91093325911261,1.9794320671684464,49,22.765081279893593,22.789810067453935,0.3706653509981155,54,19.408973832239504,19.173930260199015,1.3779615778883074,54,7724982.503181528,6037127.931346741,0.7815070039136469,23.038022807480097
2.4,4.2,3.3,23.187133013391723,23.51588848918869,2.179865090259837,49,22.771814348145316,22.708447189010233,0.5504358160344108,54,19.953489163262244,19.425003644075368,2.0127603532243348,54,8601112.345233288,8543800.577040624,0.9933367027551471,23.038022807480097
3.0,4.8,3.9,22.278039506834652,21.836969328854416,2.7051704212652914,44,22.73280118323328,22.562074123092053,0.8944642384889132,54,20.469320529636867,19.827152669052293,2.913394541670254,54,15576060.375594672,21627036.5476344,1.3884792448237226,23.038022807480097
3.6,5.4,4.5,23.09676303021535,22.511946129126272,2.9129174265070352,45,22.642700390767537,22.398241068412723,1.1192759072008207,54,21.032840362296533,20.066768730518092,3.645033848327605,54,44085574.71472993,59554792.70739148,1.3508906959421572,15.3586818716534
4.2,6.0,5.1,22.864656356924133,22.892029620419017,3.048016182881691,48,22.2884036335472,22.136919529415877,1.1713446237418184,54,21.204467949339197,20.314090632258264,3.7436815212965837,54,151764015.6665634,71074759.60426992,0.46832418931524816,23.038022807480097
4.8,6.6,5.699999999999999,22.478433361071936,22.23877015203617,2.836342418271287,48,21.738738205982255,21.714039252627224,0.944290710692805,54,20.424450197772273,19.332187705669195,3.468957572124952,54,239282266.95701927,71679999.9076743,0.2995625242908189,23.038022807480097
5.4,7.2,6.300000000000001,21.220651618570933,21.657665752367695,2.1453771670328545,48,20.98017434030634,21.01503240815514,0.9561930952151825,54,19.63425059498102,19.104539102692527,3.004826412216683,54,254751957.7957766,104382344.23061624,0.4097410875024362,23.038022807480097
