method,frame,time_s,lambda_cm,amp_std_px
incident phase-gradient,60,2.0,28.39235403127482,0.26048886194951604
incident phase-gradient,61,2.033333333333333,14.980093437024648,0.24579369910934412
incident phase-gradient,62,2.066666666666667,15.0684288362739,0.23449294049789038
incident phase-gradient,63,2.1,15.146761455112513,0.22721292082278802
incident phase-gradient,64,2.1333333333333333,15.198798652436507,0.22419852728678574
incident phase-gradient,65,2.1666666666666665,15.207030197660757,0.22526099674430963
incident phase-gradient,66,2.2,15.16369612920526,0.22982551209239502
incident phase-gradient,67,2.2333333333333334,15.089774906627746,0.23705805291184223
incident phase-gradient,68,2.2666666666666666,15.098671685379951,0.2460106744988428
incident phase-gradient,69,2.3,15.274900458207389,0.2557344303874834
incident phase-gradient,70,2.3333333333333335,15.43068188879869,0.26534561952871893
incident phase-gradient,71,2.3666666666666667,15.531941359098276,0.2740570213225457
incident phase-gradient,72,2.4,15.556678396487145,0.28119151045777535
incident phase-gradient,73,2.433333333333333,15.515721381361661,0.28619016760481225
incident phase-gradient,74,2.466666666666667,15.436381952403751,0.28862015593463325
incident phase-gradient,75,2.5,25.446275001835666,0.2881830367729281
incident phase-gradient,76,2.533333333333333,25.541268683795668,0.28472211589135954
incident phase-gradient,77,2.566666666666667,25.628264819584302,0.27822704394384085
incident phase-gradient,78,2.6,25.71815742699905,0.2688344741299009
incident phase-gradient,79,2.6333333333333333,25.811714009459795,0.2568246135144371
incident phase-gradient,80,2.6666666666666665,25.924139318924293,0.24261470876706132
incident phase-gradient,81,2.7,26.06525460614163,0.2267516746051749
incident phase-gradient,82,2.7333333333333334,26.26405671493341,0.20990687211103018
incident phase-gradient,83,2.7666666666666666,26.475565344864588,0.19287565042614702
incident phase-gradient,84,2.8,26.711949212989268,0.17658069185302655
incident phase-gradient,85,2.8333333333333335,26.991591625097964,0.1620676786218401
incident phase-gradient,86,2.8666666666666667,27.292508072931092,0.1504611077742976
incident phase-gradient,91,3.033333333333333,14.70676088530853,0.15817907424484304
incident phase-gradient,92,3.066666666666667,14.844350581522257,0.1703307972447033
incident phase-gradient,93,3.1,14.961018058330453,0.18369217737858304
incident phase-gradient,94,3.1333333333333333,15.064938791585917,0.1973050972104142
incident phase-gradient,95,3.1666666666666665,15.143561853829485,0.21035441578347633
incident phase-gradient,96,3.2,15.200547127589251,0.22215084059954235
incident phase-gradient,97,3.2333333333333334,15.240138947752152,0.23211543773005772
incident phase-gradient,98,3.2666666666666666,15.270174518605879,0.23977322828096942
incident phase-gradient,99,3.3,15.294326400213984,0.2447545755518089
incident phase-gradient,100,3.3333333333333335,15.319850490903741,0.24680050515821653
incident phase-gradient,101,3.3666666666666667,15.345052514746095,0.24576811168564003
incident phase-gradient,102,3.4,15.410718380725232,0.24163309074950096
incident phase-gradient,103,3.433333333333333,15.484158362456057,0.23448754236416788
incident phase-gradient,104,3.466666666666667,15.572546328965428,0.224532312524834
incident phase-gradient,105,3.5,15.641574134635924,0.21206424131613907
incident phase-gradient,106,3.533333333333333,26.626088791509673,0.19745981213737834
incident phase-gradient,107,3.566666666666667,26.9202527215664,0.18115795569182755
incident phase-gradient,108,3.6,27.304636398026066,0.16364636289221035
incident phase-gradient,122,4.066666666666666,24.925743850617533,0.15606096105577813
incident phase-gradient,123,4.1,25.060502614137263,0.16828866140581333
incident phase-gradient,124,4.133333333333334,25.162388880936586,0.17862252205340487
incident phase-gradient,125,4.166666666666667,25.23537777547996,0.18678338411109366
incident phase-gradient,126,4.2,25.304462636663406,0.19258954809300555
incident phase-gradient,127,4.233333333333333,25.37324759181762,0.1959596330928645
incident phase-gradient,128,4.266666666666667,25.45047058355391,0.19691374491021663
incident phase-gradient,129,4.3,25.553929484093352,0.19557113219998573
incident phase-gradient,130,4.333333333333333,25.67990956426639,0.19214386017326318
incident phase-gradient,131,4.366666666666666,25.822913671628207,0.1869269630058388
incident phase-gradient,132,4.4,25.997261364207468,0.18028614876729326
