method,frame,time_s,s1_cm,s2_cm,distance_cm,n_peaks,row_std_px
reflected_direction_filtered,60,2.0,5.45,33.550000000000004,28.100000000000005,2,0.15344754307430516
reflected_direction_filtered,61,2.033333333333333,5.25,31.700000000000003,26.450000000000003,2,0.15269582886433128
reflected_direction_filtered,62,2.066666666666667,5.050000000000001,29.75,24.7,2,0.1506941821176032
reflected_direction_filtered,86,2.8666666666666667,6.25,28.05,21.8,2,0.11585120436238461
reflected_direction_filtered,87,2.9,5.9,27.75,21.85,2,0.11948281680909476
reflected_direction_filtered,88,2.933333333333333,5.550000000000001,27.450000000000003,21.900000000000002,2,0.12194881635682367
reflected_direction_filtered,89,2.966666666666667,5.2,27.150000000000002,21.950000000000003,2,0.12351468304544282
reflected_direction_filtered,90,3.0,4.8500000000000005,26.85,22.0,2,0.1244382277026355
reflected_direction_filtered,300,10.0,12.5,42.95,30.450000000000003,2,0.41944350932551344
reflected_direction_filtered,301,10.033333333333333,12.350000000000001,42.800000000000004,30.450000000000003,2,0.4252771288334611
reflected_direction_filtered,302,10.066666666666666,12.200000000000001,42.650000000000006,30.450000000000003,2,0.4306395444408453
reflected_direction_filtered,303,10.1,12.100000000000001,42.550000000000004,30.450000000000003,2,0.4355906457714282
reflected_direction_filtered,304,10.133333333333333,11.950000000000001,42.400000000000006,30.450000000000003,2,0.4402034607257759
reflected_direction_filtered,305,10.166666666666666,11.8,42.25,30.45,2,0.4445595222175359
reflected_direction_filtered,306,10.2,11.65,42.1,30.450000000000003,2,0.4487447426407114
reflected_direction_filtered,307,10.233333333333333,11.5,42.0,30.5,2,0.4528461085442919
reflected_direction_filtered,308,10.266666666666667,11.350000000000001,41.85,30.5,2,0.4569493269924721
reflected_direction_filtered,309,10.3,11.200000000000001,41.7,30.5,2,0.46113736271545347
reflected_direction_filtered,310,10.333333333333334,11.05,41.550000000000004,30.500000000000004,2,0.46548963693112777
reflected_direction_filtered,311,10.366666666666667,10.9,41.45,30.550000000000004,2,0.47008154571883426
reflected_direction_filtered,312,10.4,10.75,41.300000000000004,30.550000000000004,2,0.4749839171175471
reflected_direction_filtered,313,10.433333333333334,10.65,41.2,30.550000000000004,2,0.48026206449790615
reflected_direction_filtered,314,10.466666666666667,10.5,41.050000000000004,30.550000000000004,2,0.48597419600807135
reflected_direction_filtered,315,10.5,10.350000000000001,40.95,30.6,2,0.49216908118461117
reflected_direction_filtered,316,10.533333333333333,10.25,40.800000000000004,30.550000000000004,2,0.4988830265852623
reflected_direction_filtered,317,10.566666666666666,10.100000000000001,40.7,30.6,2,0.506136345499983
reflected_direction_filtered,318,10.6,10.0,40.550000000000004,30.550000000000004,2,0.5139296036020308
reflected_direction_filtered,319,10.633333333333333,9.850000000000001,40.45,30.6,2,0.5222399749858023
reflected_direction_filtered,320,10.666666666666666,9.75,40.300000000000004,30.550000000000004,2,0.5310180540092756
reflected_direction_filtered,321,10.7,9.600000000000001,40.2,30.6,2,0.5401854473286886
reflected_direction_filtered,322,10.733333333333333,9.5,40.1,30.6,2,0.5496334291965218
reflected_direction_filtered,323,10.766666666666667,9.35,39.95,30.6,2,0.5592228907710325
reflected_direction_filtered,324,10.8,9.25,39.85,30.6,2,0.5687857551512422
reflected_direction_filtered,325,10.833333333333334,9.1,39.7,30.6,2,0.5781279635695039
reflected_direction_filtered,326,10.866666666666667,8.950000000000001,39.6,30.65,2,0.5870340616764883
reflected_direction_filtered,327,10.9,8.85,39.5,30.65,2,0.5952733260417609
reflected_direction_filtered,328,10.933333333333334,8.700000000000001,39.35,30.65,2,0.6026072713217628
reflected_direction_filtered,329,10.966666666666667,8.55,39.25,30.7,2,0.6087982740824174
reflected_direction_filtered,330,11.0,8.4,39.1,30.700000000000003,2,0.6136189499431242
reflected_direction_filtered,331,11.033333333333333,8.3,39.0,30.7,2,0.6168618383383623
reflected_direction_filtered,332,11.066666666666666,8.15,38.85,30.700000000000003,2,0.6183488950304655
reflected_direction_filtered,333,11.1,8.0,38.75,30.75,2,0.6179402751775173
reflected_direction_filtered,334,11.133333333333333,7.8500000000000005,38.6,30.75,2,0.6155419139099333
reflected_direction_filtered,335,11.166666666666666,7.7,38.5,30.8,2,0.6111114771056915
reflected_direction_filtered,336,11.2,7.6000000000000005,38.35,30.75,2,0.6046623579796819
reflected_direction_filtered,337,11.233333333333333,7.45,38.25,30.8,2,0.5962655266669299
reflected_direction_filtered,338,11.266666666666667,7.300000000000001,38.15,30.849999999999998,2,0.5860491879237317
reflected_direction_filtered,339,11.3,7.2,38.0,30.8,2,0.574196350862563
