time_s,s1_cm,s2_cm,distance_cm,n_peaks,prom
18.0,9.450000000000001,32.5,23.049999999999997,2,2.139655767362941
18.033333333333335,9.65,32.7,23.050000000000004,2,2.161573479588123
18.066666666666666,9.8,32.9,23.099999999999998,2,2.1834853987830427
18.1,10.0,33.1,23.1,2,2.205110560489589
18.133333333333333,10.200000000000001,33.300000000000004,23.1,2,2.226166725027852
18.166666666666668,10.350000000000001,33.5,23.15,2,2.246378370997614
18.2,10.55,33.7,23.150000000000002,2,2.2654845370810692
18.233333333333334,10.75,33.9,23.15,2,2.2832461095942813
18.266666666666666,10.950000000000001,34.050000000000004,23.1,2,2.2994521938611214
18.3,11.100000000000001,34.25,23.15,2,2.313925274386115
18.333333333333332,11.3,34.45,23.150000000000002,2,2.3265249542691713
18.366666666666667,11.5,34.65,23.15,2,2.337150159729589
18.4,11.700000000000001,34.85,23.15,2,2.345739792518845
18.433333333333334,11.850000000000001,35.050000000000004,23.200000000000003,2,2.3522719038473814
18.466666666666665,12.05,35.25,23.2,2,2.356761542115762
18.5,12.25,35.45,23.200000000000003,2,2.359257488848164
18.533333333333335,12.450000000000001,35.6,23.15,2,2.359838140245668
18.566666666666666,12.600000000000001,35.800000000000004,23.200000000000003,2,2.358606814975822
18.6,12.8,36.0,23.2,2,2.3556867730730886
18.633333333333333,13.0,36.2,23.200000000000003,2,2.3512162183243177
18.666666666666668,13.15,36.4,23.25,2,2.3453435303276837
18.7,13.350000000000001,36.6,23.25,2,2.3382229360309164
18.733333333333334,13.55,36.75,23.2,2,2.3300107873937637
18.766666666666666,13.75,36.95,23.200000000000003,2,2.320862564808914
18.8,13.9,37.15,23.25,2,2.310930677211469
18.833333333333332,14.100000000000001,37.35,23.25,2,2.3003630807112323
18.866666666666667,14.3,37.550000000000004,23.250000000000004,2,2.2893026886848
18.9,14.450000000000001,37.7,23.25,2,2.277887497795775
18.933333333333334,14.65,37.9,23.25,2,2.2662513067344183
18.966666666666665,14.850000000000001,38.1,23.25,2,2.2545248586089026
19.0,15.0,38.300000000000004,23.300000000000004,2,2.242837196011994
19.033333333333335,15.200000000000001,38.5,23.299999999999997,2,2.2313169833055206
19.066666666666666,15.4,38.650000000000006,23.250000000000007,2,2.2200935283648984
19.1,15.55,38.85,23.3,2,2.2092972315204555
19.133333333333333,15.75,39.050000000000004,23.300000000000004,2,2.1990592084138654
19.166666666666668,15.950000000000001,39.25,23.299999999999997,2,2.189509880636663
19.2,16.150000000000002,39.45,23.3,2,2.1807764057037127
19.233333333333334,16.35,39.6,23.25,2,2.172978924872347
19.266666666666666,16.5,39.800000000000004,23.300000000000004,2,2.1662257375536615
19.3,16.7,40.0,23.3,2,2.1606076533268386
19.333333333333332,16.900000000000002,40.2,23.3,2,2.1561919107600716
19.366666666666667,17.1,40.400000000000006,23.300000000000004,2,2.1530161670254224
19.4,17.3,40.6,23.3,2,2.1510831339601926
19.433333333333334,17.5,40.800000000000004,23.300000000000004,2,2.1503564484606597
19.466666666666665,17.7,41.0,23.3,2,2.1507583088642575
19.5,17.95,41.2,23.250000000000004,2,2.1521692854612433
19.533333333333335,18.150000000000002,41.35,23.2,2,2.1544305347931427
19.566666666666666,18.35,41.550000000000004,23.200000000000003,2,2.15734843576673
19.6,18.55,41.75,23.2,2,2.1607014482008124
19.633333333333333,18.75,41.95,23.200000000000003,2,2.164248798837332
19.666666666666668,19.0,42.150000000000006,23.150000000000006,2,2.167740448801272
19.7,19.200000000000003,42.35,23.15,2,2.1709277041786907
19.733333333333334,19.400000000000002,42.550000000000004,23.150000000000002,2,2.1735738021442685
19.766666666666666,19.650000000000002,42.75,23.099999999999998,2,2.175463834355127
19.8,19.85,42.95,23.1,2,2.1764134462278193
