frame,time_s,x1_px,x2_px,cm1,cm2,distance_cm,prom1_px,prom2_px,n_peaks
540,18.0,289.8173755709014,711.5211231735402,200.01138977143657,177.99540206234352,22.015987709093054,8.880450070322638,17.411158396897008,2
545,18.166666666666668,305.1556419488892,733.1122088275291,199.23828612060083,176.8198857779391,22.4184003426617,13.560509266318206,14.956035476353804,2
550,18.33333333333333,320.2526799607929,751.2049065021957,198.4755574369981,175.830742928146,22.64481450885208,13.420314168063156,14.14213467138478,2
555,18.5,342.52140912646365,771.3062963577843,197.3472097235185,174.7273395070204,22.61987021649813,15.076435135759256,14.487835003271757,2
560,18.666666666666668,365.3839871290946,790.6153211075823,196.1846005227694,173.66296382710632,22.52163669566309,19.625043069603976,15.321839268547365,2
565,18.83333333333333,380.89551833385207,806.0744481640688,195.3933494555945,172.8076101255677,22.5857393300268,20.041397658141022,15.69729617378897,2
570,19.0,398.9372192035969,821.1893056927469,194.4704850836356,171.96852353628964,22.50196154734593,20.68055061313953,15.043979555638373,2
575,19.166666666666668,417.05539931640914,838.6229660391363,193.5409028753731,170.99725694259286,22.54364593278024,20.44674337292679,15.138056301716006,2
580,19.33333333333333,433.4434668119217,854.5769368830084,192.6976228097192,170.10514803392658,22.5924747757926,19.98004394511719,15.958756320181353,2
585,19.5,454.9838764402473,870.1574886230034,191.58559385148803,169.2308611381278,22.35473271336022,21.0980461932092,11.117549736559909,2
590,19.666666666666668,473.4200587113946,886.0071667592017,190.6304921553372,168.33833766944684,22.292154485890364,20.610244070513204,11.042022837095544,2
595,19.83333333333333,495.40081789372886,902.7408721947794,189.48766940910144,167.392564626662,22.09510478243945,22.138754737654267,10.342365953390129,2
