time_s,s1_cm,s2_cm,distance_cm,n_peaks,prom
31.0,18.8,42.25,23.45,2,2.263281726401103
31.033333333333335,19.05,42.45,23.400000000000002,2,2.2733105637630198
31.066666666666666,19.25,42.6,23.35,2,2.2847961046083967
31.1,19.5,42.800000000000004,23.300000000000004,2,2.297385574831942
31.133333333333333,19.700000000000003,42.95,23.25,2,2.3107025884078483
32.06666666666667,2.0500000000000003,25.35,23.3,2,2.310919998605099
32.1,2.2,25.55,23.35,2,2.3075692586540337
32.13333333333333,2.35,25.75,23.4,2,2.304444739113389
32.166666666666664,2.5,25.950000000000003,23.450000000000003,2,2.3014007746045197
32.2,2.6500000000000004,26.150000000000002,23.5,2,2.2982947344699114
32.233333333333334,2.8000000000000003,26.35,23.55,2,2.2949966582921806
32.266666666666666,2.95,26.55,23.6,2,2.2913976747790477
32.3,3.1,26.75,23.65,2,2.2874167359642703
32.333333333333336,3.25,27.0,23.75,2,2.2830053332422056
32.36666666666667,3.4000000000000004,27.200000000000003,23.800000000000004,2,2.278150019285768
32.4,3.5500000000000003,27.400000000000002,23.85,2,2.2728727278573584
32.43333333333333,3.7,27.6,23.900000000000002,2,2.2672290479352344
32.46666666666667,3.85,27.85,24.0,2,2.2613047549844265
32.5,4.0,28.05,24.05,2,2.255211016885198
32.53333333333333,4.15,28.3,24.15,2,2.249078763518226
32.56666666666667,4.3500000000000005,28.55,24.2,2,2.243052729701981
32.6,4.5,28.75,24.25,2,2.237285648884463
32.63333333333333,4.65,29.0,24.35,2,2.231932993898685
32.666666666666664,4.800000000000001,29.25,24.45,2,2.227148541877662
32.7,5.0,29.450000000000003,24.450000000000003,2,2.223080899198587
32.733333333333334,5.15,29.700000000000003,24.550000000000004,2,2.2198709784181445
32.766666666666666,5.300000000000001,29.950000000000003,24.650000000000002,2,2.217650292096799
32.8,5.45,30.200000000000003,24.750000000000004,2,2.2165398346696383
32.833333333333336,5.65,30.400000000000002,24.75,2,2.216649273812254
32.86666666666667,5.800000000000001,30.650000000000002,24.85,2,2.2180761704196588
32.9,5.95,30.900000000000002,24.950000000000003,2,2.220904987243342
32.93333333333333,6.1000000000000005,31.150000000000002,25.05,2,2.225205720154873
32.96666666666667,6.300000000000001,31.35,25.05,2,2.2310320788939
33.0,6.45,31.6,25.150000000000002,2,2.2384192410233834
33.03333333333333,6.6000000000000005,31.8,25.2,2,2.247381290306135
33.06666666666667,6.800000000000001,32.050000000000004,25.250000000000004,2,2.2579085190077834
33.1,6.95,32.25,25.3,2,2.2699648172963536
33.13333333333333,7.15,32.5,25.35,2,2.2834853907856347
33.166666666666664,7.300000000000001,32.7,25.400000000000002,2,2.2983750415276374
33.2,7.5,32.95,25.450000000000003,2,2.3145072225487566
33.233333333333334,7.65,33.15,25.5,2,2.3317240361244367
33.266666666666666,7.8500000000000005,33.35,25.5,2,2.349837295800643
