分析时段,使用帧数,反射波/入射波能量比,未分离直接测得波长_cm,直接测量标准差_cm,入射波分离后波长_cm,直接测量-分离后_cm,相对差异_percent
原测量稳定段 18.0-19.8 s,56,0.0157288471036786,22.43221025336697,0.2061868908879959,22.4,0.0322102533669728,0.1437957739597
低反射段 14-24 s,301,0.026761234402924,22.49747474747475,0.5040334120653631,22.4,0.0974747474747523,0.4351551226551445
反射过渡段 25-31 s,181,0.1810683867481233,22.20357142857144,1.258574113499814,23.25,-1.0464285714285602,-4.500768049155098
高反射段 31-36 s,151,0.3021389594279471,24.753125000000004,0.6465712918803858,23.200000000000003,1.5531250000000014,6.694504310344833
