time_s,s1_cm,s2_cm,distance_cm,n_peaks,prom
14.0,8.4,29.200000000000003,20.800000000000004,2,1.5487423395028752
14.033333333333333,8.6,29.400000000000002,20.800000000000004,2,1.5671590131251483
14.066666666666666,8.75,29.6,20.85,2,1.585641417473138
14.1,8.9,29.75,20.85,2,1.6041517212205558
14.133333333333333,9.1,29.950000000000003,20.85,2,1.6226409241373965
14.166666666666666,9.25,30.150000000000002,20.900000000000002,2,1.6410465816536768
14.2,9.450000000000001,30.35,20.9,2,1.6592913500275084
14.233333333333333,9.600000000000001,30.55,20.95,2,1.6772825045475424
14.266666666666667,9.8,30.700000000000003,20.900000000000002,2,1.6949125178249005
14.3,9.950000000000001,30.900000000000002,20.950000000000003,2,1.7120607229325493
14.333333333333334,10.15,31.150000000000002,21.0,2,1.7285960283785606
14.366666666666667,10.3,31.35,21.05,2,1.7443805981739817
14.4,10.5,31.55,21.05,2,1.7592743593839373
14.433333333333334,10.700000000000001,31.75,21.049999999999997,2,1.773140150891062
14.466666666666667,10.850000000000001,32.0,21.15,2,1.7858492814966103
14.5,11.05,32.2,21.150000000000002,2,1.79728722562236
14.533333333333333,11.25,32.45,21.200000000000003,2,1.8073591550072474
14.566666666666666,11.4,32.65,21.25,2,1.8159949899364238
14.6,11.600000000000001,32.9,21.299999999999997,2,1.8231536583974257
14.633333333333333,11.8,33.15,21.349999999999998,2,1.8288262793978858
14.666666666666666,12.0,33.4,21.4,2,1.8330380384412377
14.7,12.15,33.65,21.5,2,1.8358485969251113
14.733333333333333,12.350000000000001,33.9,21.549999999999997,2,1.837350968153954
14.766666666666667,12.55,34.15,21.599999999999998,2,1.8376688933401149
14.8,12.75,34.4,21.65,2,1.8369528522264345
14.833333333333334,12.950000000000001,34.65,21.699999999999996,2,1.8353749349324786
14.866666666666667,13.15,34.9,21.75,2,1.833122875034907
14.9,13.350000000000001,35.15,21.799999999999997,2,1.830393591374394
14.933333333333334,13.55,35.45,21.900000000000002,2,1.8273866033169273
14.966666666666667,13.75,35.7,21.950000000000003,2,1.8242976706584957
