method,n,mean_cm,std_cm,median_cm,min_cm,max_cm,iqr_cm
raw all usable frames,260,22.84269230769231,1.91795128328045,22.550000000000004,17.599999999999998,27.3,1.8500000000000014
incident filtered all usable frames,607,23.40535420098847,0.9671460335658849,23.35,20.6,25.6,1.2000000000000028
reflected filtered all usable frames,676,23.853550295857993,4.783118691164049,21.525,14.349999999999998,32.6,10.050000000000004
