time_s,s1_cm,s2_cm,distance_cm,n_peaks,prom
25.0,5.2,28.1,22.900000000000002,2,1.9925660009330841
25.033333333333335,5.4,28.3,22.9,2,2.003216683646813
25.066666666666666,5.550000000000001,28.55,23.0,2,2.014983168734304
25.1,5.75,28.75,23.0,2,2.0277417807740044
25.133333333333333,5.9,28.950000000000003,23.050000000000004,2,2.0413706750686265
25.166666666666668,6.1000000000000005,29.150000000000002,23.05,2,2.0557514503656487
25.2,6.300000000000001,29.35,23.05,2,2.070770205489576
25.233333333333334,6.45,29.55,23.1,2,2.0863181071556762
25.266666666666666,6.65,29.75,23.1,2,2.1022915556283683
25.3,6.800000000000001,29.950000000000003,23.150000000000002,2,2.118592044965965
25.333333333333332,7.0,30.150000000000002,23.150000000000002,2,2.1351258156698423
25.366666666666667,7.2,30.400000000000002,23.200000000000003,2,2.151803390577146
25.4,7.3500000000000005,30.6,23.25,2,2.168539071334063
25.433333333333334,7.550000000000001,30.8,23.25,2,2.1852504547675036
25.466666666666665,7.75,31.0,23.25,2,2.2018580082370134
25.5,7.9,31.200000000000003,23.300000000000004,2,2.2182847229589417
25.533333333333335,8.1,31.400000000000002,23.300000000000004,2,2.234455846524758
25.566666666666666,8.3,31.6,23.3,2,2.250298682135023
25.6,8.5,31.75,23.25,2,2.2657424335888727
25.633333333333333,8.65,31.950000000000003,23.300000000000004,2,2.2807180722588343
25.666666666666668,8.85,32.15,23.299999999999997,2,2.2951582048975308
25.7,9.05,32.35,23.3,2,2.308996928310532
25.733333333333334,9.25,32.550000000000004,23.300000000000004,2,2.322169667374364
25.766666666666666,9.450000000000001,32.75,23.299999999999997,2,2.3346130050016867
25.8,9.65,32.95,23.300000000000004,2,2.3462645248124665
25.833333333333332,9.850000000000001,33.15,23.299999999999997,2,2.3570626979312603
25.866666666666667,10.0,33.35,23.35,2,2.3669468532232814
25.9,10.200000000000001,33.550000000000004,23.35,2,2.3758572744800674
25.933333333333334,10.4,33.75,23.35,2,2.3837354680327536
25.966666666666665,10.600000000000001,33.95,23.35,2,2.3905246398574564
26.0,10.8,34.15,23.349999999999998,2,2.3961704126456134
26.033333333333335,11.0,34.35,23.35,2,2.4006218010427096
26.066666666666666,11.200000000000001,34.550000000000004,23.35,2,2.403832448047773
26.1,11.4,34.75,23.35,2,2.405762108323263
26.133333333333333,11.600000000000001,35.0,23.4,2,2.4063783459180463
26.166666666666668,11.8,35.2,23.400000000000002,2,2.405658395749931
26.2,12.05,35.4,23.349999999999998,2,2.403591121246477
26.233333333333334,12.25,35.6,23.35,2,2.400178985900267
26.266666666666666,12.450000000000001,35.800000000000004,23.35,2,2.395439945190113
26.3,12.65,36.050000000000004,23.400000000000006,2,2.389409158273538
26.333333333333332,12.850000000000001,36.25,23.4,2,2.3821404168284137
26.366666666666667,13.100000000000001,36.45,23.35,2,2.3737071919602837
26.4,13.3,36.7,23.400000000000002,2,2.3642032094818806
26.433333333333334,13.5,36.9,23.4,2,2.353742479089253
26.466666666666665,13.700000000000001,37.1,23.4,2,2.34245872363425
26.5,13.950000000000001,37.35,23.4,2,2.330504180081034
26.533333333333335,14.15,37.550000000000004,23.400000000000006,2,2.318047772702854
26.566666666666666,14.4,37.75,23.35,2,2.3052726901139615
