start_s,end_s,raw_mean_cm,raw_std_cm,raw_se_cm,raw_n,incident_mean_cm,incident_std_cm,incident_se_cm,incident_n,left_mean_cm,left_std_cm,left_n,left_over_right_energy,zpfft_right_lambda_cm
18,19.8,21.555593464475713,0.41899573047665295,0.05701809689291702,54,22.576738048124202,0.43617040404144486,0.05935527393361742,54,19.078147521850013,1.8304074573513371,54,0.09034769394799022,22.93984753483188
19.8,21.6,21.47220284081924,0.4235511545542384,0.05763801159025442,54,22.2252021760015,0.5291662186879568,0.07201040138352834,54,19.481573261340753,1.6397490963720565,54,0.2206370707817716,23.18077409455792
21.6,23.4,21.872706297727138,0.7522144437284636,0.10236342023812364,54,22.089406090078683,0.41804255977006916,0.056888386789089335,54,18.106984765621583,1.429816560427482,54,0.23192646230577507,22.90626751942904
23.4,25.2,22.02699598320282,0.3822739790193536,0.052020899474489915,54,22.659494406859952,0.41304902909972313,0.05620885333590679,54,18.71147241110895,1.363595165145441,54,0.4027344439016374,23.513473332329095
25.2,27.0,22.834227146110763,1.2396854922026994,0.1686998276348682,54,23.13092877758041,0.6063864184853462,0.08251873956904908,54,17.504803630813058,1.0760760954017665,54,0.3866314936996367,23.210771329566683
