"1 _ 1",,,,,,
"时间","载荷","行程","应力","行程(应变)","位移","位移(应变)"
"sec","N","mm","N/mm2","%","mm","%"
"3.54","1155.916","0.2942917","1155.916","0.2942917","0.2942917","0.2942917"
"3.55","1158.113","0.2951167","1158.113","0.2951167","0.2951167","0.2951167"
"3.56","1160.319","0.2959583","1160.319","0.2959583","0.2959583","0.2959583"
"3.57","1162.532","0.2967833","1162.532","0.2967833","0.2967833","0.2967833"
"3.58","1164.751","0.297625","1164.751","0.297625","0.297625","0.297625"
"3.59","1166.973","0.2984667","1166.973","0.2984667","0.2984667","0.2984667"
"3.6","1169.197","0.2992917","1169.197","0.2992917","0.2992917","0.2992917"
"3.61","1171.422","0.3001333","1171.422","0.3001333","0.3001333","0.3001333"
"3.62","1173.647","0.3009667","1173.647","0.3009667","0.3009667","0.3009667"
"3.63","1175.872","0.3018","1175.872","0.3018","0.3018","0.3018"
"3.64","1178.098","0.3026417","1178.098","0.3026417","0.3026417","0.3026417"
"3.65","1180.324","0.3034667","1180.324","0.3034667","0.3034667","0.3034667"
"3.66","1182.552","0.3043083","1182.552","0.3043083","0.3043083","0.3043083"
"3.67","1184.781","0.3051417","1184.781","0.3051417","0.3051417","0.3051417"
"3.68","1187.012","0.305975","1187.012","0.305975","0.305975","0.305975"
"3.69","1189.244","0.3068","1189.244","0.3068","0.3068","0.3068"
"3.7","1191.475","0.3076333","1191.475","0.3076333","0.3076333","0.3076333"
"3.71","1193.705","0.3084667","1193.705","0.3084667","0.3084667","0.3084667"
"3.72","1195.933","0.3093","1195.933","0.3093","0.3093","0.3093"
"3.73","1198.16","0.3101417","1198.16","0.3101417","0.3101417","0.3101417"
"3.74","1200.389","0.3109667","1200.389","0.3109667","0.3109667","0.3109667"
"3.75","1202.617","0.3118","1202.617","0.3118","0.3118","0.3118"
"3.76","1204.843","0.312625","1204.843","0.312625","0.312625","0.312625"
"3.77","1207.067","0.3134667","1207.067","0.3134667","0.3134667","0.3134667"
"3.78","1209.29","0.3143","1209.29","0.3143","0.3143","0.3143"
"3.79","1211.512","0.3151333","1211.512","0.3151333","0.3151333","0.3151333"
"3.8","1213.734","0.3159667","1213.734","0.3159667","0.3159667","0.3159667"
"3.81","1215.956","0.3168","1215.956","0.3168","0.3168","0.3168"
"3.82","1218.179","0.3176333","1218.179","0.3176333","0.3176333","0.3176333"
"3.83","1220.402","0.3184583","1220.402","0.3184583","0.3184583","0.3184583"
"3.84","1222.624","0.3193","1222.624","0.3193","0.3193","0.3193"
"3.85","1224.846","0.320125","1224.846","0.320125","0.320125","0.320125"
"3.86","1227.067","0.3209667","1227.067","0.3209667","0.3209667","0.3209667"
"3.87","1229.288","0.3218","1229.288","0.3218","0.3218","0.3218"
"3.88","1231.509","0.3226417","1231.509","0.3226417","0.3226417","0.3226417"
"3.89","1233.73","0.323475","1233.73","0.323475","0.323475","0.323475"
"3.9","1235.954","0.3243","1235.954","0.3243","0.3243","0.3243"
"3.91","1238.18","0.3251417","1238.18","0.3251417","0.3251417","0.3251417"
"3.92","1240.411","0.325975","1240.411","0.325975","0.325975","0.325975"
"3.93","1242.648","0.3268083","1242.648","0.3268083","0.3268083","0.3268083"
"3.94","1244.889","0.3276417","1244.889","0.3276417","0.3276417","0.3276417"
"3.95","1247.134","0.328475","1247.134","0.328475","0.328475","0.328475"
"3.96","1249.379","0.3293","1249.379","0.3293","0.3293","0.3293"
"3.97","1251.623","0.3301417","1251.623","0.3301417","0.3301417","0.3301417"
"3.98","1253.864","0.330975","1253.864","0.330975","0.330975","0.330975"
"3.99","1256.103","0.3318","1256.103","0.3318","0.3318","0.3318"
"4","1258.341","0.3326333","1258.341","0.3326333","0.3326333","0.3326333"
"4.01","1260.577","0.3334667","1260.577","0.3334667","0.3334667","0.3334667"
"4.02","1262.812","0.3343","1262.812","0.3343","0.3343","0.3343"
"4.03","1265.047","0.3351333","1265.047","0.3351333","0.3351333","0.3351333"
"4.04","1267.281","0.3359667","1267.281","0.3359667","0.3359667","0.3359667"
"4.05","1269.516","0.3368","1269.516","0.3368","0.3368","0.3368"
"4.06","1271.754","0.3376333","1271.754","0.3376333","0.3376333","0.3376333"
"4.07","1273.995","0.3384667","1273.995","0.3384667","0.3384667","0.3384667"
"4.08","1276.237","0.3392917","1276.237","0.3392917","0.3392917","0.3392917"
"4.09","1278.481","0.340125","1278.481","0.340125","0.340125","0.340125"
"4.1","1280.727","0.3409583","1280.727","0.3409583","0.3409583","0.3409583"
"4.11","1282.975","0.3417917","1282.975","0.3417917","0.3417917","0.3417917"
"4.12","1285.224","0.342625","1285.224","0.342625","0.342625","0.342625"
"4.13","1287.472","0.34345","1287.472","0.34345","0.34345","0.34345"
"4.14","1289.721","0.3442917","1289.721","0.3442917","0.3442917","0.3442917"
"4.15","1291.972","0.345125","1291.972","0.345125","0.345125","0.345125"
"4.16","1294.226","0.3459583","1294.226","0.3459583","0.3459583","0.3459583"
"4.17","1296.482","0.3467917","1296.482","0.3467917","0.3467917","0.3467917"
"4.18","1298.74","0.3476333","1298.74","0.3476333","0.3476333","0.3476333"
"4.19","1300.999","0.3484667","1300.999","0.3484667","0.3484667","0.3484667"
"4.2","1303.259","0.3493","1303.259","0.3493","0.3493","0.3493"
"4.21","1305.52","0.3501333","1305.52","0.3501333","0.3501333","0.3501333"
"4.22","1307.784","0.3509667","1307.784","0.3509667","0.3509667","0.3509667"
"4.23","1310.049","0.3518","1310.049","0.3518","0.3518","0.3518"
"4.24","1312.313","0.3526333","1312.313","0.3526333","0.3526333","0.3526333"
"4.25","1314.576","0.3534667","1314.576","0.3534667","0.3534667","0.3534667"
"4.26","1316.837","0.3543","1316.837","0.3543","0.3543","0.3543"
"4.27","1319.094","0.355125","1319.094","0.355125","0.355125","0.355125"
"4.28","1321.349","0.3559583","1321.349","0.3559583","0.3559583","0.3559583"
"4.29","1323.601","0.3567833","1323.601","0.3567833","0.3567833","0.3567833"
"4.3","1325.85","0.357625","1325.85","0.357625","0.357625","0.357625"
"4.31","1328.099","0.35845","1328.099","0.35845","0.35845","0.35845"
"4.32","1330.349","0.3592917","1330.349","0.3592917","0.3592917","0.3592917"
"4.33","1332.602","0.360125","1332.602","0.360125","0.360125","0.360125"
"4.34","1334.856","0.3609583","1334.856","0.3609583","0.3609583","0.3609583"
"4.35","1337.113","0.3617917","1337.113","0.3617917","0.3617917","0.3617917"
"4.36","1339.371","0.362625","1339.371","0.362625","0.362625","0.362625"
"4.37","1341.634","0.3634583","1341.634","0.3634583","0.3634583","0.3634583"
"4.38","1343.902","0.3643","1343.902","0.3643","0.3643","0.3643"
"4.39","1346.176","0.365125","1346.176","0.365125","0.365125","0.365125"
"4.4","1348.455","0.3659667","1348.455","0.3659667","0.3659667","0.3659667"
"4.41","1350.739","0.3667917","1350.739","0.3667917","0.3667917","0.3667917"
"4.42","1353.026","0.3676333","1353.026","0.3676333","0.3676333","0.3676333"
"4.43","1355.315","0.3684667","1355.315","0.3684667","0.3684667","0.3684667"
"4.44","1357.606","0.3693083","1357.606","0.3693083","0.3693083","0.3693083"
"4.45","1359.897","0.3701333","1359.897","0.3701333","0.3701333","0.3701333"
"4.46","1362.19","0.3709667","1362.19","0.3709667","0.3709667","0.3709667"
"4.47","1364.485","0.3718084","1364.485","0.3718084","0.3718084","0.3718084"
"4.48","1366.782","0.3726417","1366.782","0.3726417","0.3726417","0.3726417"
"4.49","1369.081","0.373475","1369.081","0.373475","0.373475","0.373475"
"4.5","1371.382","0.3743","1371.382","0.3743","0.3743","0.3743"
"4.51","1373.685","0.3751333","1373.685","0.3751333","0.3751333","0.3751333"
"4.52","1375.987","0.3759667","1375.987","0.3759667","0.3759667","0.3759667"
"4.53","1378.291","0.3768","1378.291","0.3768","0.3768","0.3768"
"4.54","1380.596","0.3776333","1380.596","0.3776333","0.3776333","0.3776333"
"4.55","1382.903","0.3784667","1382.903","0.3784667","0.3784667","0.3784667"
"4.56","1385.209","0.3793","1385.209","0.3793","0.3793","0.3793"
"4.57","1387.517","0.380125","1387.517","0.380125","0.380125","0.380125"
"4.58","1389.825","0.3809667","1389.825","0.3809667","0.3809667","0.3809667"
"4.59","1392.136","0.3817917","1392.136","0.3817917","0.3817917","0.3817917"
"4.6","1394.451","0.382625","1394.451","0.382625","0.382625","0.382625"
"4.61","1396.77","0.3834583","1396.77","0.3834583","0.3834583","0.3834583"
"4.62","1399.092","0.3842917","1399.092","0.3842917","0.3842917","0.3842917"
"4.63","1401.418","0.3851333","1401.418","0.3851333","0.3851333","0.3851333"
"4.64","1403.747","0.3859583","1403.747","0.3859583","0.3859583","0.3859583"
"4.65","1406.08","0.3867917","1406.08","0.3867917","0.3867917","0.3867917"
"4.66","1408.417","0.387625","1408.417","0.387625","0.387625","0.387625"
"4.67","1410.758","0.3884583","1410.758","0.3884583","0.3884583","0.3884583"
"4.68","1413.1","0.3893","1413.1","0.3893","0.3893","0.3893"
"4.69","1415.443","0.3901334","1415.443","0.3901334","0.3901334","0.3901334"
"4.7","1417.787","0.3909667","1417.787","0.3909667","0.3909667","0.3909667"
"4.71","1420.135","0.3918","1420.135","0.3918","0.3918","0.3918"
"4.72","1422.486","0.3926417","1422.486","0.3926417","0.3926417","0.3926417"
"4.73","1424.838","0.3934667","1424.838","0.3934667","0.3934667","0.3934667"
"4.74","1427.192","0.3943","1427.192","0.3943","0.3943","0.3943"
"4.75","1429.545","0.3951333","1429.545","0.3951333","0.3951333","0.3951333"
"4.76","1431.897","0.3959667","1431.897","0.3959667","0.3959667","0.3959667"
"4.77","1434.251","0.3968","1434.251","0.3968","0.3968","0.3968"
"4.78","1436.608","0.3976333","1436.608","0.3976333","0.3976333","0.3976333"
"4.79","1438.969","0.3984667","1438.969","0.3984667","0.3984667","0.3984667"
"4.8","1441.333","0.3992917","1441.333","0.3992917","0.3992917","0.3992917"
"4.81","1443.699","0.4001333","1443.699","0.4001333","0.4001333","0.4001333"
"4.82","1446.069","0.4009667","1446.069","0.4009667","0.4009667","0.4009667"
"4.83","1448.441","0.4018","1448.441","0.4018","0.4018","0.4018"
"4.84","1450.818","0.402625","1450.818","0.402625","0.402625","0.402625"
"4.85","1453.199","0.4034583","1453.199","0.4034584","0.4034583","0.4034584"
"4.86","1455.587","0.4042917","1455.587","0.4042917","0.4042917","0.4042917"
"4.87","1457.984","0.4051167","1457.984","0.4051166","0.4051167","0.4051166"
"4.88","1460.388","0.4059583","1460.388","0.4059584","0.4059583","0.4059584"
"4.89","1462.799","0.4067917","1462.799","0.4067916","0.4067917","0.4067916"
"4.9","1465.219","0.407625","1465.219","0.407625","0.407625","0.407625"
"4.91","1467.645","0.4084584","1467.645","0.4084584","0.4084584","0.4084584"
"4.92","1470.076","0.4092833","1470.076","0.4092833","0.4092833","0.4092833"
"4.93","1472.51","0.410125","1472.51","0.410125","0.410125","0.410125"
"4.94","1474.949","0.41095","1474.949","0.41095","0.41095","0.41095"
"4.95","1477.391","0.4117833","1477.391","0.4117833","0.4117833","0.4117833"
"4.96","1479.837","0.412625","1479.837","0.412625","0.412625","0.412625"
"4.97","1482.285","0.4134583","1482.285","0.4134583","0.4134583","0.4134583"
"4.98","1484.736","0.4142917","1484.736","0.4142917","0.4142917","0.4142917"
"4.99","1487.187","0.415125","1487.187","0.415125","0.415125","0.415125"
"5","1489.64","0.4159667","1489.64","0.4159667","0.4159667","0.4159667"
"5.01","1492.094","0.4168","1492.094","0.4168","0.4168","0.4168"
"5.02","1494.547","0.4176333","1494.547","0.4176333","0.4176333","0.4176333"
"5.03","1496.997","0.4184583","1496.997","0.4184583","0.4184583","0.4184583"
"5.04","1499.444","0.4192917","1499.444","0.4192917","0.4192917","0.4192917"
"5.05","1501.888","0.420125","1501.888","0.420125","0.420125","0.420125"
"5.06","1504.329","0.42095","1504.329","0.42095","0.42095","0.42095"
"5.07","1506.767","0.4217833","1506.767","0.4217833","0.4217833","0.4217833"
"5.08","1509.204","0.422625","1509.204","0.422625","0.422625","0.422625"
"5.09","1511.639","0.4234583","1511.639","0.4234584","0.4234583","0.4234584"
"5.1","1514.073","0.4242833","1514.073","0.4242833","0.4242833","0.4242833"
"5.11","1516.506","0.425125","1516.506","0.425125","0.425125","0.425125"
"5.12","1518.94","0.4259583","1518.94","0.4259584","0.4259583","0.4259584"
"5.13","1521.377","0.4267917","1521.377","0.4267917","0.4267917","0.4267917"
"5.14","1523.817","0.427625","1523.817","0.427625","0.427625","0.427625"
"5.15","1526.261","0.4284583","1526.261","0.4284584","0.4284583","0.4284584"
"5.16","1528.71","0.4292917","1528.71","0.4292917","0.4292917","0.4292917"
"5.17","1531.162","0.430125","1531.162","0.430125","0.430125","0.430125"
"5.18","1533.617","0.4309667","1533.617","0.4309667","0.4309667","0.4309667"
"5.19","1536.074","0.4317917","1536.074","0.4317916","0.4317917","0.4317916"
"5.2","1538.533","0.4326333","1538.533","0.4326333","0.4326333","0.4326333"
"5.21","1540.993","0.4334583","1540.993","0.4334583","0.4334583","0.4334583"
"5.22","1543.453","0.4343","1543.453","0.4343","0.4343","0.4343"
"5.23","1545.915","0.4351417","1545.915","0.4351417","0.4351417","0.4351417"
"5.24","1548.381","0.435975","1548.381","0.435975","0.435975","0.435975"
"5.25","1550.85","0.4368083","1550.85","0.4368083","0.4368083","0.4368083"
"5.26","1553.323","0.4376417","1553.323","0.4376417","0.4376417","0.4376417"
"5.27","1555.801","0.438475","1555.801","0.438475","0.438475","0.438475"
"5.28","1558.28","0.4393","1558.28","0.4393","0.4393","0.4393"
"5.29","1560.762","0.4401417","1560.762","0.4401417","0.4401417","0.4401417"
"5.3","1563.246","0.4409667","1563.246","0.4409667","0.4409667","0.4409667"
"5.31","1565.733","0.4418","1565.733","0.4418","0.4418","0.4418"
"5.32","1568.222","0.4426333","1568.222","0.4426333","0.4426333","0.4426333"
"5.33","1570.713","0.4434667","1570.713","0.4434667","0.4434667","0.4434667"
"5.34","1573.207","0.4443","1573.207","0.4443","0.4443","0.4443"
"5.35","1575.705","0.4451333","1575.705","0.4451333","0.4451333","0.4451333"
"5.36","1578.206","0.4459667","1578.206","0.4459667","0.4459667","0.4459667"
"5.37","1580.711","0.4468","1580.711","0.4468","0.4468","0.4468"
"5.38","1583.219","0.4476333","1583.219","0.4476333","0.4476333","0.4476333"
"5.39","1585.729","0.4484667","1585.729","0.4484667","0.4484667","0.4484667"
"5.4","1588.242","0.4493","1588.242","0.4493","0.4493","0.4493"
"5.41","1590.758","0.4501333","1590.758","0.4501334","0.4501333","0.4501334"
"5.42","1593.276","0.4509583","1593.276","0.4509584","0.4509583","0.4509584"
"5.43","1595.8","0.4518","1595.8","0.4518","0.4518","0.4518"
"5.44","1598.33","0.452625","1598.33","0.452625","0.452625","0.452625"
"5.45","1600.866","0.4534583","1600.866","0.4534584","0.4534583","0.4534584"
"5.46","1603.408","0.4543","1603.408","0.4543","0.4543","0.4543"
"5.47","1605.954","0.455125","1605.954","0.455125","0.455125","0.455125"
"5.48","1608.504","0.4559667","1608.504","0.4559667","0.4559667","0.4559667"
"5.49","1611.058","0.4567917","1611.058","0.4567916","0.4567917","0.4567916"
"5.5","1613.613","0.4576333","1613.613","0.4576333","0.4576333","0.4576333"
"5.51","1616.169","0.4584667","1616.169","0.4584667","0.4584667","0.4584667"
"5.52","1618.724","0.4593","1618.724","0.4593","0.4593","0.4593"
"5.53","1621.281","0.4601333","1621.281","0.4601333","0.4601333","0.4601333"
"5.54","1623.841","0.4609667","1623.841","0.4609667","0.4609667","0.4609667"
"5.55","1626.402","0.4618083","1626.402","0.4618083","0.4618083","0.4618083"
"5.56","1628.966","0.4626333","1628.966","0.4626333","0.4626333","0.4626333"
"5.57","1631.532","0.4634667","1631.532","0.4634667","0.4634667","0.4634667"
"5.58","1634.098","0.4643","1634.098","0.4643","0.4643","0.4643"
"5.59","1636.666","0.4651333","1636.666","0.4651333","0.4651333","0.4651333"
"5.6","1639.234","0.465975","1639.234","0.465975","0.465975","0.465975"
"5.61","1641.802","0.4668","1641.802","0.4668","0.4668","0.4668"
"5.62","1644.371","0.4676333","1644.371","0.4676333","0.4676333","0.4676333"
"5.63","1646.939","0.4684667","1646.939","0.4684667","0.4684667","0.4684667"
"5.64","1649.505","0.4693","1649.505","0.4693","0.4693","0.4693"
"5.65","1652.072","0.4701333","1652.072","0.4701333","0.4701333","0.4701333"
"5.66","1654.64","0.4709667","1654.64","0.4709667","0.4709667","0.4709667"
"5.67","1657.212","0.4717917","1657.212","0.4717917","0.4717917","0.4717917"
"5.68","1659.787","0.4726333","1659.787","0.4726334","0.4726333","0.4726334"
"5.69","1662.365","0.4734583","1662.365","0.4734584","0.4734583","0.4734584"
"5.7","1664.945","0.4742917","1664.945","0.4742917","0.4742917","0.4742917"
"5.71","1667.526","0.475125","1667.526","0.475125","0.475125","0.475125"
"5.72","1670.107","0.47595","1670.107","0.47595","0.47595","0.47595"
"5.73","1672.688","0.4767917","1672.688","0.4767917","0.4767917","0.4767917"
"5.74","1675.267","0.477625","1675.267","0.477625","0.477625","0.477625"
"5.75","1677.845","0.4784667","1677.845","0.4784667","0.4784667","0.4784667"
"5.76","1680.423","0.4793","1680.423","0.4793","0.4793","0.4793"
"5.77","1683.002","0.4801333","1683.002","0.4801334","0.4801333","0.4801334"
"5.78","1685.582","0.4809583","1685.582","0.4809583","0.4809583","0.4809583"
"5.79","1688.165","0.4817917","1688.165","0.4817916","0.4817917","0.4817916"
"5.8","1690.752","0.4826334","1690.752","0.4826334","0.4826334","0.4826334"
"5.81","1693.343","0.4834667","1693.343","0.4834667","0.4834667","0.4834667"
"5.82","1695.937","0.4843","1695.937","0.4843","0.4843","0.4843"
"5.83","1698.534","0.4851333","1698.534","0.4851333","0.4851333","0.4851333"
"5.84","1701.135","0.4859583","1701.135","0.4859583","0.4859583","0.4859583"
"5.85","1703.741","0.4867917","1703.741","0.4867917","0.4867917","0.4867917"
"5.86","1706.348","0.487625","1706.348","0.487625","0.487625","0.487625"
"5.87","1708.956","0.4884667","1708.956","0.4884667","0.4884667","0.4884667"
"5.88","1711.564","0.4892917","1711.564","0.4892917","0.4892917","0.4892917"
"5.89","1714.171","0.4901333","1714.171","0.4901333","0.4901333","0.4901333"
"5.9","1716.777","0.4909583","1716.777","0.4909583","0.4909583","0.4909583"
"5.91","1719.385","0.4917917","1719.385","0.4917917","0.4917917","0.4917917"
"5.92","1721.995","0.492625","1721.995","0.492625","0.492625","0.492625"
"5.93","1724.611","0.4934667","1724.611","0.4934667","0.4934667","0.4934667"
"5.94","1727.232","0.4943","1727.232","0.4943","0.4943","0.4943"
"5.95","1729.859","0.4951333","1729.859","0.4951334","0.4951333","0.4951334"
"5.96","1732.489","0.4959667","1732.489","0.4959667","0.4959667","0.4959667"
"5.97","1735.121","0.4967917","1735.121","0.4967917","0.4967917","0.4967917"
"5.98","1737.756","0.497625","1737.756","0.497625","0.497625","0.497625"
"5.99","1740.391","0.4984667","1740.391","0.4984667","0.4984667","0.4984667"
"6","1743.029","0.4993","1743.029","0.4993","0.4993","0.4993"
"6.01","1745.669","0.5001333","1745.669","0.5001333","0.5001333","0.5001333"
"6.02","1748.31","0.5009667","1748.31","0.5009667","0.5009667","0.5009667"
"6.03","1750.949","0.5018","1750.949","0.5018","0.5018","0.5018"
"6.04","1753.588","0.5026417","1753.588","0.5026417","0.5026417","0.5026417"
"6.05","1756.229","0.503475","1756.229","0.503475","0.503475","0.503475"
"6.06","1758.874","0.5043083","1758.874","0.5043083","0.5043083","0.5043083"
"6.07","1761.522","0.5051417","1761.522","0.5051417","0.5051417","0.5051417"
"6.08","1764.176","0.505975","1764.176","0.505975","0.505975","0.505975"
"6.09","1766.834","0.5068083","1766.834","0.5068083","0.5068083","0.5068083"
"6.1","1769.496","0.5076417","1769.496","0.5076417","0.5076417","0.5076417"
"6.11","1772.162","0.5084667","1772.162","0.5084667","0.5084667","0.5084667"
"6.12","1774.83","0.5093083","1774.83","0.5093083","0.5093083","0.5093083"
"6.13","1777.501","0.5101417","1777.501","0.5101417","0.5101417","0.5101417"
"6.14","1780.175","0.5109667","1780.175","0.5109667","0.5109667","0.5109667"
"6.15","1782.851","0.5118","1782.851","0.5118","0.5118","0.5118"
"6.16","1785.529","0.5126333","1785.529","0.5126333","0.5126333","0.5126333"
"6.17","1788.21","0.513475","1788.21","0.513475","0.513475","0.513475"
"6.18","1790.893","0.5143","1790.893","0.5143","0.5143","0.5143"
"6.19","1793.581","0.5151333","1793.581","0.5151333","0.5151333","0.5151333"
"6.2","1796.275","0.5159584","1796.275","0.5159584","0.5159584","0.5159584"
"6.21","1798.973","0.5168","1798.973","0.5168","0.5168","0.5168"
"6.22","1801.674","0.517625","1801.674","0.517625","0.517625","0.517625"
"6.23","1804.378","0.5184584","1804.378","0.5184584","0.5184584","0.5184584"
"6.24","1807.083","0.5192917","1807.083","0.5192917","0.5192917","0.5192917"
"6.25","1809.79","0.520125","1809.79","0.520125","0.520125","0.520125"
"6.26","1812.499","0.5209666","1812.499","0.5209666","0.5209666","0.5209666"
"6.27","1815.209","0.5217917","1815.209","0.5217917","0.5217917","0.5217917"
"6.28","1817.92","0.522625","1817.92","0.522625","0.522625","0.522625"
"6.29","1820.631","0.523475","1820.631","0.523475","0.523475","0.523475"
"6.3","1823.341","0.5243","1823.341","0.5243","0.5243","0.5243"
"6.31","1826.052","0.5251417","1826.052","0.5251417","0.5251417","0.5251417"
"6.32","1828.763","0.5259666","1828.763","0.5259666","0.5259666","0.5259666"
"6.33","1831.475","0.5268","1831.475","0.5268","0.5268","0.5268"
"6.34","1834.188","0.5276334","1834.188","0.5276334","0.5276334","0.5276334"
"6.35","1836.903","0.5284667","1836.903","0.5284667","0.5284667","0.5284667"
"6.36","1839.621","0.5293","1839.621","0.5293","0.5293","0.5293"
"6.37","1842.342","0.5301334","1842.342","0.5301334","0.5301334","0.5301334"
"6.38","1845.065","0.5309667","1845.065","0.5309667","0.5309667","0.5309667"
"6.39","1847.789","0.5317917","1847.789","0.5317917","0.5317917","0.5317917"
"6.4","1850.511","0.5326334","1850.511","0.5326334","0.5326334","0.5326334"
"6.41","1853.234","0.5334584","1853.234","0.5334584","0.5334584","0.5334584"
"6.42","1855.957","0.5342917","1855.957","0.5342917","0.5342917","0.5342917"
"6.43","1858.68","0.535125","1858.68","0.535125","0.535125","0.535125"
"6.44","1861.406","0.5359583","1861.406","0.5359583","0.5359583","0.5359583"
"6.45","1864.134","0.5368","1864.134","0.5368","0.5368","0.5368"
"6.46","1866.865","0.537625","1866.865","0.537625","0.537625","0.537625"
"6.47","1869.599","0.5384583","1869.599","0.5384583","0.5384583","0.5384583"
"6.48","1872.338","0.5392917","1872.338","0.5392917","0.5392917","0.5392917"
"6.49","1875.082","0.540125","1875.082","0.540125","0.540125","0.540125"
"6.5","1877.831","0.54095","1877.831","0.54095","0.54095","0.54095"
"6.51","1880.583","0.5417833","1880.583","0.5417833","0.5417833","0.5417833"
"6.52","1883.339","0.542625","1883.339","0.542625","0.542625","0.542625"
"6.53","1886.098","0.54345","1886.098","0.54345","0.54345","0.54345"
"6.54","1888.859","0.5442917","1888.859","0.5442917","0.5442917","0.5442917"
"6.55","1891.623","0.545125","1891.623","0.545125","0.545125","0.545125"
"6.56","1894.389","0.54595","1894.389","0.54595","0.54595","0.54595"
"6.57","1897.157","0.5467833","1897.157","0.5467833","0.5467833","0.5467833"
"6.58","1899.928","0.547625","1899.928","0.547625","0.547625","0.547625"
"6.59","1902.703","0.5484583","1902.703","0.5484583","0.5484583","0.5484583"
"6.6","1905.482","0.5492917","1905.482","0.5492917","0.5492917","0.5492917"
"6.61","1908.264","0.550125","1908.264","0.550125","0.550125","0.550125"
"6.62","1911.047","0.55095","1911.047","0.55095","0.55095","0.55095"
"6.63","1913.829","0.5517833","1913.829","0.5517833","0.5517833","0.5517833"
"6.64","1916.609","0.552625","1916.609","0.552625","0.552625","0.552625"
"6.65","1919.387","0.5534583","1919.387","0.5534583","0.5534583","0.5534583"
"6.66","1922.164","0.5542917","1922.164","0.5542917","0.5542917","0.5542917"
"6.67","1924.942","0.5551167","1924.942","0.5551167","0.5551167","0.5551167"
"6.68","1927.722","0.5559583","1927.722","0.5559583","0.5559583","0.5559583"
"6.69","1930.506","0.5567917","1930.506","0.5567917","0.5567917","0.5567917"
"6.7","1933.296","0.557625","1933.296","0.557625","0.557625","0.557625"
"6.71","1936.093","0.5584583","1936.093","0.5584583","0.5584583","0.5584583"
"6.72","1938.896","0.5592917","1938.896","0.5592917","0.5592917","0.5592917"
"6.73","1941.706","0.560125","1941.706","0.560125","0.560125","0.560125"
"6.74","1944.52","0.5609583","1944.52","0.5609583","0.5609583","0.5609583"
"6.75","1947.338","0.5618","1947.338","0.5618","0.5618","0.5618"
"6.76","1950.157","0.562625","1950.157","0.562625","0.562625","0.562625"
"6.77","1952.979","0.5634667","1952.979","0.5634667","0.5634667","0.5634667"
"6.78","1955.804","0.5642917","1955.804","0.5642917","0.5642917","0.5642917"
"6.79","1958.631","0.565125","1958.631","0.565125","0.565125","0.565125"
"6.8","1961.461","0.5659583","1961.461","0.5659583","0.5659583","0.5659583"
"6.81","1964.292","0.5667917","1964.292","0.5667917","0.5667917","0.5667917"
"6.82","1967.125","0.5676333","1967.125","0.5676333","0.5676333","0.5676333"
"6.83","1969.96","0.5684667","1969.96","0.5684667","0.5684667","0.5684667"
"6.84","1972.798","0.5693","1972.798","0.5693","0.5693","0.5693"
"6.85","1975.639","0.5701417","1975.639","0.5701417","0.5701417","0.5701417"
"6.86","1978.482","0.5709667","1978.482","0.5709667","0.5709667","0.5709667"
"6.87","1981.328","0.5718","1981.328","0.5718","0.5718","0.5718"
"6.88","1984.176","0.5726333","1984.176","0.5726333","0.5726333","0.5726333"
"6.89","1987.026","0.5734667","1987.026","0.5734667","0.5734667","0.5734667"
"6.9","1989.878","0.5743","1989.878","0.5743","0.5743","0.5743"
"6.91","1992.731","0.5751333","1992.731","0.5751333","0.5751333","0.5751333"
"6.92","1995.586","0.5759583","1995.586","0.5759583","0.5759583","0.5759583"
"6.93","1998.442","0.5768","1998.442","0.5768","0.5768","0.5768"
"6.94","2001.297","0.5776333","2001.297","0.5776333","0.5776333","0.5776333"
"6.95","2004.154","0.5784667","2004.154","0.5784667","0.5784667","0.5784667"
"6.96","2007.011","0.5793083","2007.011","0.5793083","0.5793083","0.5793083"
"6.97","2009.868","0.5801417","2009.868","0.5801417","0.5801417","0.5801417"
"6.98","2012.725","0.580975","2012.725","0.580975","0.580975","0.580975"
"6.99","2015.582","0.5818","2015.582","0.5818","0.5818","0.5818"
"7","2018.44","0.5826333","2018.44","0.5826333","0.5826333","0.5826333"
"7.01","2021.301","0.5834666","2021.301","0.5834666","0.5834666","0.5834666"
"7.02","2024.166","0.5843","2024.166","0.5843","0.5843","0.5843"
"7.03","2027.035","0.585125","2027.035","0.585125","0.585125","0.585125"
"7.04","2029.906","0.5859584","2029.906","0.5859584","0.5859584","0.5859584"
"7.05","2032.778","0.5868","2032.778","0.5868","0.5868","0.5868"
"7.06","2035.652","0.5876333","2035.652","0.5876333","0.5876333","0.5876333"
"7.07","2038.528","0.5884666","2038.528","0.5884666","0.5884666","0.5884666"
"7.08","2041.408","0.5893","2041.408","0.5893","0.5893","0.5893"
"7.09","2044.291","0.5901334","2044.291","0.5901334","0.5901334","0.5901334"
"7.1","2047.175","0.5909667","2047.175","0.5909667","0.5909667","0.5909667"
"7.11","2050.059","0.5918","2050.059","0.5918","0.5918","0.5918"
"7.12","2052.943","0.5926417","2052.943","0.5926417","0.5926417","0.5926417"
"7.13","2055.826","0.593475","2055.826","0.593475","0.593475","0.593475"
"7.14","2058.712","0.5943","2058.712","0.5943","0.5943","0.5943"
