"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0.61","187.2062","0.003","2.32E-05","2.32E-05","9.28E-05","9.28E-05"
"0.62","187.2054","0.0031","1.8E-05","1.8E-05","7.2E-05","7.2E-05"
"0.63","187.2028","0.003208333","1.38E-05","1.38E-05","5.519999E-05","5.519999E-05"
"0.64","187.1988","0.003308333","1.06E-05","1.06E-05","4.24E-05","4.24E-05"
"0.65","187.1938","0.003408333","8.7E-06","8.7E-06","3.48E-05","3.48E-05"
"0.66","187.1888","0.003508333","8.4E-06","8.4E-06","3.36E-05","3.36E-05"
"0.67","187.1868","0.003608333","9.8E-06","9.8E-06","3.92E-05","3.92E-05"
"0.68","187.19","0.003708333","1.26E-05","1.26E-05","5.04E-05","5.04E-05"
"0.69","187.2026","0.003816667","1.67E-05","1.67E-05","6.68E-05","6.68E-05"
"0.7","187.2302","0.003916667","2.18E-05","2.18E-05","8.72E-05","8.72E-05"
"0.71","187.279","0.004025","2.81E-05","2.81E-05","0.0001124","0.0001124"
"0.72","187.3552","0.004133333","3.54E-05","3.54E-05","0.0001416","0.0001416"
"0.73","187.4642","0.00425","4.35E-05","4.35E-05","0.000174","0.000174"
"0.74","187.6108","0.004366667","5.17E-05","5.17E-05","0.0002068","0.0002068"
"0.75","187.8004","0.0045","5.98E-05","5.98E-05","0.0002392","0.0002392"
"0.76","188.0398","0.004625","6.78E-05","6.78E-05","0.0002712","0.0002712"
"0.77","188.3348","0.00475","7.6E-05","7.6E-05","0.000304","0.000304"
"0.78","188.6916","0.004883334","8.5E-05","8.5E-05","0.00034","0.00034"
"0.79","189.1142","0.005016667","9.61E-05","9.61E-05","0.0003844","0.0003844"
"0.8","189.604","0.00515","0.0001102","0.0001102","0.0004408","0.0004408"
"0.81","190.1612","0.005283333","0.0001282","0.0001282","0.0005128","0.0005128"
"0.82","190.7832","0.005425","0.0001498","0.0001498","0.0005992","0.0005992"
"0.83","191.4668","0.005558333","0.0001742","0.0001742","0.0006968","0.0006968"
"0.84","192.207","0.0057","0.0002009","0.0002009","0.0008036001","0.0008036001"
"0.85","192.9978","0.005841667","0.0002302","0.0002302","0.0009208","0.0009208"
"0.86","193.833","0.005983334","0.0002612","0.0002612","0.0010448","0.0010448"
"0.87","194.7054","0.006133333","0.0002936","0.0002936","0.0011744","0.0011744"
"0.88","195.6086","0.006275","0.000327","0.000327","0.001308","0.001308"
"0.89","196.5376","0.006416667","0.0003619","0.0003619","0.0014476","0.0014476"
"0.9","197.4882","0.006566667","0.0003979","0.0003979","0.0015916","0.0015916"
"0.91","198.4572","0.006716667","0.0004343","0.0004343","0.0017372","0.0017372"
"0.92","199.4426","0.006875","0.0004707","0.0004707","0.0018828","0.0018828"
"0.93","200.4414","0.007025","0.0005066","0.0005066","0.0020264","0.0020264"
"0.94","201.4508","0.007183333","0.0005418","0.0005418","0.0021672","0.0021672"
"0.95","202.4678","0.007341667","0.0005764","0.0005764","0.0023056","0.0023056"
"0.96","203.491","0.0075","0.0006115","0.0006115","0.002446","0.002446"
"0.97","204.5198","0.007658334","0.0006474","0.0006474","0.0025896","0.0025896"
"0.98","205.5542","0.007825","0.0006847","0.0006847","0.0027388","0.0027388"
"0.99","206.5944","0.007983333","0.0007239","0.0007239","0.0028956","0.0028956"
"1","207.642","0.00815","0.0007648","0.0007648","0.0030592","0.0030592"
"1.01","208.6974","0.008316667","0.0008069","0.0008069","0.0032276","0.0032276"
"1.02","209.7612","0.008491667","0.0008495","0.0008495","0.003398","0.003398"
"1.03","210.8334","0.008658334","0.0008923","0.0008923","0.0035692","0.0035692"
"1.04","211.913","0.008816667","0.0009351","0.0009351","0.0037404","0.0037404"
"1.05","212.9994","0.008991667","0.0009778","0.0009778","0.0039112","0.0039112"
"1.06","214.0922","0.009158334","0.0010199","0.0010199","0.0040796","0.0040796"
"1.07","215.1906","0.009333333","0.0010616","0.0010616","0.0042464","0.0042464"
"1.08","216.2924","0.0095","0.0011029","0.0011029","0.0044116","0.0044116"
"1.09","217.3962","0.009666666","0.0011437","0.0011437","0.0045748","0.0045748"
"1.1","218.5014","0.009841667","0.0011841","0.0011841","0.0047364","0.0047364"
"1.11","219.6056","0.01000833","0.0012241","0.0012241","0.0048964","0.0048964"
"1.12","220.706","0.010175","0.0012638","0.0012638","0.0050552","0.0050552"
"1.13","221.7988","0.01033333","0.0013025","0.0013025","0.00521","0.00521"
"1.14","222.8814","0.01050833","0.0013396","0.0013396","0.0053584","0.0053584"
"1.15","223.9522","0.010675","0.0013744","0.0013744","0.0054976","0.0054976"
"1.16","225.011","0.01084167","0.001407","0.001407","0.005628","0.005628"
"1.17","226.0572","0.011","0.0014382","0.0014382","0.0057528","0.0057528"
"1.18","227.09","0.01116667","0.0014688","0.0014688","0.0058752","0.0058752"
"1.19","228.1082","0.01134167","0.0014995","0.0014995","0.005998","0.005998"
"1.2","229.1116","0.01150833","0.0015309","0.0015309","0.0061236","0.0061236"
"1.21","230.0994","0.011675","0.0015633","0.0015633","0.0062532","0.0062532"
"1.22","231.072","0.01183333","0.0015964","0.0015964","0.0063856","0.0063856"
"1.23","232.0294","0.01200833","0.0016298","0.0016298","0.0065192","0.0065192"
"1.24","232.9704","0.012175","0.0016629","0.0016629","0.0066516","0.0066516"
"1.25","233.894","0.01234167","0.0016954","0.0016954","0.0067816","0.0067816"
"1.26","234.8012","0.01250833","0.0017274","0.0017274","0.0069096","0.0069096"
"1.27","235.6952","0.012675","0.0017589","0.0017589","0.0070356","0.0070356"
"1.28","236.5776","0.01284167","0.0017897","0.0017897","0.0071588","0.0071588"
"1.29","237.45","0.01300833","0.0018197","0.0018197","0.0072788","0.0072788"
"1.3","238.3134","0.01318333","0.001849","0.001849","0.007396","0.007396"
"1.31","239.1688","0.01334167","0.0018776","0.0018776","0.0075104","0.0075104"
"1.32","240.0176","0.01350833","0.001906","0.001906","0.007624","0.007624"
"1.33","240.8606","0.013675","0.0019348","0.0019348","0.0077392","0.0077392"
"1.34","241.6992","0.01384167","0.0019642","0.0019642","0.0078568","0.0078568"
"1.35","242.5338","0.01400833","0.0019943","0.0019943","0.0079772","0.0079772"
"1.36","243.365","0.014175","0.0020255","0.0020255","0.008102","0.008102"
"1.37","244.1936","0.01434167","0.0020577","0.0020577","0.0082308","0.0082308"
"1.38","245.0196","0.01450833","0.0020908","0.0020908","0.0083632","0.0083632"
"1.39","245.844","0.014675","0.0021245","0.0021245","0.008498","0.008498"
"1.4","246.6674","0.01484167","0.002158","0.002158","0.008632","0.008632"
"1.41","247.4908","0.01500833","0.0021909","0.0021909","0.0087636","0.0087636"
"1.42","248.3148","0.015175","0.002223","0.002223","0.008892","0.008892"
"1.43","249.1388","0.01535","0.0022538","0.0022538","0.0090152","0.0090152"
"1.44","249.9626","0.01550833","0.0022828","0.0022828","0.0091312","0.0091312"
"1.45","250.7874","0.015675","0.0023102","0.0023102","0.0092408","0.0092408"
"1.46","251.6124","0.01584167","0.0023367","0.0023367","0.0093468","0.0093468"
"1.47","252.4364","0.01601667","0.0023629","0.0023629","0.0094516","0.0094516"
"1.48","253.2586","0.016175","0.0023897","0.0023897","0.0095588","0.0095588"
"1.49","254.0782","0.01634167","0.0024178","0.0024178","0.0096712","0.0096712"
"1.5","254.8944","0.01650833","0.0024471","0.0024471","0.0097884","0.0097884"
"1.51","255.7066","0.016675","0.0024767","0.0024767","0.0099068","0.0099068"
"1.52","256.515","0.01684167","0.0025064","0.0025064","0.0100256","0.0100256"
"1.53","257.3206","0.01700833","0.0025363","0.0025363","0.0101452","0.0101452"
"1.54","258.1242","0.017175","0.0025664","0.0025664","0.0102656","0.0102656"
"1.55","258.9288","0.01734167","0.0025967","0.0025967","0.0103868","0.0103868"
"1.56","259.7362","0.01751667","0.0026274","0.0026274","0.0105096","0.0105096"
"1.57","260.5466","0.017675","0.0026585","0.0026585","0.010634","0.010634"
"1.58","261.3576","0.01784167","0.0026905","0.0026905","0.010762","0.010762"
"1.59","262.1674","0.01800833","0.0027236","0.0027236","0.0108944","0.0108944"
"1.6","262.9756","0.018175","0.0027571","0.0027571","0.0110284","0.0110284"
"1.61","263.7844","0.01834167","0.0027902","0.0027902","0.0111608","0.0111608"
"1.62","264.594","0.01850833","0.0028226","0.0028226","0.0112904","0.0112904"
"1.63","265.4036","0.018675","0.002854","0.002854","0.011416","0.011416"
"1.64","266.213","0.01884167","0.0028844","0.0028844","0.0115376","0.0115376"
"1.65","267.0212","0.01901667","0.0029139","0.0029139","0.0116556","0.0116556"
"1.66","267.8276","0.019175","0.0029426","0.0029426","0.0117704","0.0117704"
"1.67","268.63","0.01934167","0.0029711","0.0029711","0.0118844","0.0118844"
"1.68","269.4268","0.01950833","0.0029999","0.0029999","0.0119996","0.0119996"
"1.69","270.2176","0.01968333","0.0030286","0.0030286","0.0121144","0.0121144"
"1.7","271.0026","0.01984167","0.0030576","0.0030576","0.0122304","0.0122304"
"1.71","271.7816","0.02000833","0.0030869","0.0030869","0.0123476","0.0123476"
"1.72","272.5542","0.020175","0.0031164","0.0031164","0.0124656","0.0124656"
"1.73","273.3216","0.02035","0.0031461","0.0031461","0.0125844","0.0125844"
"1.74","274.0844","0.02051667","0.0031752","0.0031752","0.0127008","0.0127008"
"1.75","274.8434","0.020675","0.0032033","0.0032033","0.0128132","0.0128132"
"1.76","275.6004","0.02084167","0.0032303","0.0032303","0.0129212","0.0129212"
"1.77","276.3562","0.02100833","0.0032567","0.0032567","0.0130268","0.0130268"
"1.78","277.1112","0.02118333","0.0032834","0.0032834","0.0131336","0.0131336"
"1.79","277.8658","0.02135","0.0033106","0.0033106","0.0132424","0.0132424"
"1.8","278.6192","0.02151667","0.003338","0.003338","0.013352","0.013352"
"1.81","279.3706","0.021675","0.0033655","0.0033655","0.013462","0.013462"
"1.82","280.1186","0.02185","0.0033935","0.0033935","0.013574","0.013574"
"1.83","280.8612","0.02201667","0.0034222","0.0034222","0.0136888","0.0136888"
"1.84","281.5974","0.02218333","0.0034507","0.0034507","0.0138028","0.0138028"
"1.85","282.3278","0.02235","0.0034779","0.0034779","0.0139116","0.0139116"
"1.86","283.0536","0.02251667","0.0035034","0.0035034","0.0140136","0.0140136"
"1.87","283.777","0.02268333","0.0035276","0.0035276","0.0141104","0.0141104"
"1.88","284.5004","0.02285","0.0035519","0.0035519","0.0142076","0.0142076"
"1.89","285.2248","0.02301667","0.0035771","0.0035771","0.0143084","0.0143084"
"1.9","285.9498","0.02318333","0.0036037","0.0036037","0.0144148","0.0144148"
"1.91","286.675","0.02335","0.003632","0.003632","0.014528","0.014528"
"1.92","287.3994","0.02351667","0.0036616","0.0036616","0.0146464","0.0146464"
"1.93","288.1226","0.023675","0.0036917","0.0036917","0.0147668","0.0147668"
"1.94","288.8448","0.02385","0.0037217","0.0037217","0.0148868","0.0148868"
"1.95","289.5662","0.02401667","0.0037514","0.0037514","0.0150056","0.0150056"
"1.96","290.2866","0.02418333","0.0037811","0.0037811","0.0151244","0.0151244"
"1.97","291.0044","0.02435","0.0038104","0.0038104","0.0152416","0.0152416"
"1.98","291.719","0.02451667","0.0038389","0.0038389","0.0153556","0.0153556"
"1.99","292.4306","0.02468333","0.0038664","0.0038664","0.0154656","0.0154656"
"2","293.1396","0.02485","0.0038932","0.0038932","0.0155728","0.0155728"
"2.01","293.8442","0.02501667","0.0039195","0.0039195","0.015678","0.015678"
"2.02","294.5442","0.02518333","0.0039453","0.0039453","0.0157812","0.0157812"
"2.03","295.2408","0.02535","0.00397","0.00397","0.01588","0.01588"
"2.04","295.9342","0.02551667","0.0039932","0.0039932","0.0159728","0.0159728"
"2.05","296.6246","0.02568333","0.0040152","0.0040152","0.0160608","0.0160608"
"2.06","297.3126","0.02585","0.0040362","0.0040362","0.0161448","0.0161448"
"2.07","297.9992","0.02600833","0.0040563","0.0040563","0.0162252","0.0162252"
"2.08","298.6852","0.02618333","0.0040757","0.0040757","0.0163028","0.0163028"
"2.09","299.3708","0.02635","0.0040954","0.0040954","0.0163816","0.0163816"
"2.1","300.0558","0.02651667","0.004116","0.004116","0.016464","0.016464"
"2.11","300.7394","0.02668333","0.0041378","0.0041378","0.0165512","0.0165512"
"2.12","301.4216","0.02685","0.0041614","0.0041614","0.0166456","0.0166456"
"2.13","302.1016","0.02701667","0.0041867","0.0041867","0.0167468","0.0167468"
"2.14","302.7788","0.02718333","0.0042135","0.0042135","0.016854","0.016854"
"2.15","303.4534","0.02735","0.0042413","0.0042413","0.0169652","0.0169652"
"2.16","304.1256","0.02751667","0.0042694","0.0042694","0.0170776","0.0170776"
"2.17","304.7934","0.02768333","0.0042974","0.0042974","0.0171896","0.0171896"
"2.18","305.4554","0.02785","0.0043247","0.0043247","0.0172988","0.0172988"
"2.19","306.1106","0.02801667","0.0043515","0.0043515","0.017406","0.017406"
"2.2","306.7604","0.02818333","0.0043781","0.0043781","0.0175124","0.0175124"
"2.21","307.407","0.02835","0.0044047","0.0044047","0.0176188","0.0176188"
"2.22","308.0512","0.02851667","0.0044311","0.0044311","0.0177244","0.0177244"
"2.23","308.6938","0.02868333","0.0044573","0.0044573","0.0178292","0.0178292"
"2.24","309.3348","0.02885","0.0044831","0.0044831","0.0179324","0.0179324"
"2.25","309.9748","0.02901667","0.004508","0.004508","0.018032","0.018032"
"2.26","310.6142","0.02918333","0.0045314","0.0045314","0.0181256","0.0181256"
"2.27","311.253","0.02935","0.0045536","0.0045536","0.0182144","0.0182144"
