"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0.62","-11.9694","0.00305","0.0001409","0.0001409","0.0002818","0.0002818"
"0.63","-10.8216","0.003158333","0.0001561","0.0001561","0.0003122","0.0003122"
"0.64","-9.6114","0.003258333","0.000173","0.000173","0.000346","0.000346"
"0.65","-8.343","0.003366667","0.0001903","0.0001903","0.0003806","0.0003806"
"0.66","-7.0216","0.003475","0.0002074","0.0002074","0.0004148","0.0004148"
"0.67","-5.6528","0.003583333","0.0002237","0.0002237","0.0004474","0.0004474"
"0.68","-4.2414","0.003691667","0.000239","0.000239","0.000478","0.000478"
"0.69","-2.7922","0.003808333","0.0002533","0.0002533","0.0005066","0.0005066"
"0.7","-1.3104","0.003925","0.0002668","0.0002668","0.0005336","0.0005336"
"0.71","0.199","0.004041667","0.00028","0.00028","0.00056","0.00056"
"0.72","1.7312","0.004158333","0.0002925","0.0002925","0.000585","0.000585"
"0.73","3.2824","0.004283333","0.0003045","0.0003045","0.000609","0.000609"
"0.74","4.8492","0.0044","0.0003168","0.0003168","0.0006336","0.0006336"
"0.75","6.4288","0.004525","0.0003298","0.0003298","0.0006596","0.0006596"
"0.76","8.0196","0.004641667","0.0003433","0.0003433","0.0006866","0.0006866"
"0.77","9.621","0.004775","0.0003581","0.0003581","0.0007162","0.0007162"
"0.78","11.2304","0.004908334","0.0003742","0.0003742","0.0007484","0.0007484"
"0.79","12.8438","0.005033333","0.0003906","0.0003906","0.0007812","0.0007812"
"0.8","14.4586","0.005166667","0.0004066","0.0004066","0.0008132","0.0008132"
"0.81","16.072","0.0053","0.0004225","0.0004225","0.000845","0.000845"
"0.82","17.6824","0.005433334","0.000439","0.000439","0.000878","0.000878"
"0.83","19.2888","0.005575","0.0004565","0.0004565","0.000913","0.000913"
"0.84","20.893","0.005708334","0.0004743","0.0004743","0.0009485999","0.0009485999"
"0.85","22.4978","0.00585","0.0004925","0.0004925","0.000985","0.000985"
"0.86","24.105","0.005991667","0.0005108","0.0005108","0.0010216","0.0010216"
"0.87","25.7156","0.006133333","0.0005287","0.0005287","0.0010574","0.0010574"
"0.88","27.3298","0.006275","0.0005454","0.0005454","0.0010908","0.0010908"
"0.89","28.9488","0.006425","0.0005611","0.0005611","0.0011222","0.0011222"
"0.9","30.5744","0.006575","0.0005764","0.0005764","0.0011528","0.0011528"
"0.91","32.2076","0.006725","0.0005915","0.0005915","0.001183","0.001183"
"0.92","33.85","0.006875","0.0006067","0.0006067","0.0012134","0.0012134"
"0.93","35.5032","0.007025","0.0006222","0.0006222","0.0012444","0.0012444"
"0.94","37.1684","0.007175","0.0006385","0.0006385","0.001277","0.001277"
"0.95","38.8462","0.007333334","0.0006554","0.0006554","0.0013108","0.0013108"
"0.96","40.5358","0.007491667","0.0006726","0.0006726","0.0013452","0.0013452"
"0.97","42.238","0.00765","0.0006897","0.0006897","0.0013794","0.0013794"
"0.98","43.954","0.007816667","0.0007065","0.0007065","0.001413","0.001413"
"0.99","45.6854","0.007975","0.0007227","0.0007227","0.0014454","0.0014454"
"1","47.4346","0.008141667","0.0007387","0.0007387","0.0014774","0.0014774"
"1.01","49.2016","0.008308333","0.0007549","0.0007549","0.0015098","0.0015098"
"1.02","50.9882","0.008466667","0.0007718","0.0007718","0.0015436","0.0015436"
"1.03","52.7966","0.008641667","0.0007899","0.0007899","0.0015798","0.0015798"
"1.04","54.628","0.008808333","0.0008092","0.0008092","0.0016184","0.0016184"
"1.05","56.4828","0.008975","0.0008292","0.0008292","0.0016584","0.0016584"
"1.06","58.36","0.009141667","0.0008495","0.0008495","0.001699","0.001699"
"1.07","60.2582","0.009308334","0.0008697","0.0008697","0.0017394","0.0017394"
"1.08","62.177","0.009475","0.0008899","0.0008899","0.0017798","0.0017798"
"1.09","64.1156","0.009641667","0.000911","0.000911","0.001822","0.001822"
"1.1","66.073","0.009808334","0.0009333","0.0009333","0.0018666","0.0018666"
"1.11","68.048","0.009975","0.0009562","0.0009562","0.0019124","0.0019124"
"1.12","70.038","0.01014167","0.0009791","0.0009791","0.0019582","0.0019582"
"1.13","72.0392","0.01030833","0.0010023","0.0010023","0.0020046","0.0020046"
"1.14","74.0484","0.010475","0.0010255","0.0010255","0.002051","0.002051"
"1.15","76.0632","0.01064167","0.0010485","0.0010485","0.002097","0.002097"
"1.16","78.08099","0.01080833","0.0010711","0.0010711","0.0021422","0.0021422"
"1.17","80.101","0.010975","0.001093","0.001093","0.002186","0.002186"
"1.18","82.1224","0.01114167","0.0011138","0.0011138","0.0022276","0.0022276"
"1.19","84.146","0.01130833","0.0011334","0.0011334","0.0022668","0.0022668"
"1.2","86.1728","0.011475","0.0011522","0.0011522","0.0023044","0.0023044"
"1.21","88.203","0.01164167","0.0011706","0.0011706","0.0023412","0.0023412"
"1.22","90.2372","0.01180833","0.0011888","0.0011888","0.0023776","0.0023776"
"1.23","92.27579","0.011975","0.0012066","0.0012066","0.0024132","0.0024132"
"1.24","94.31821","0.01214167","0.0012242","0.0012242","0.0024484","0.0024484"
"1.25","96.364","0.01230833","0.0012417","0.0012417","0.0024834","0.0024834"
"1.26","98.4134","0.012475","0.0012593","0.0012593","0.0025186","0.0025186"
"1.27","100.4676","0.01264167","0.0012764","0.0012764","0.0025528","0.0025528"
"1.28","102.5276","0.01281667","0.0012936","0.0012936","0.0025872","0.0025872"
"1.29","104.5942","0.01298333","0.0013112","0.0013112","0.0026224","0.0026224"
"1.3","106.6664","0.01314167","0.0013294","0.0013294","0.0026588","0.0026588"
"1.31","108.742","0.01331667","0.0013483","0.0013483","0.0026966","0.0026966"
"1.32","110.8194","0.01348333","0.0013681","0.0013681","0.0027362","0.0027362"
"1.33","112.8982","0.01364167","0.0013891","0.0013891","0.0027782","0.0027782"
"1.34","114.9776","0.01380833","0.001411","0.001411","0.002822","0.002822"
"1.35","117.0558","0.013975","0.0014337","0.0014337","0.0028674","0.0028674"
"1.36","119.1306","0.01415","0.0014573","0.0014573","0.0029146","0.0029146"
"1.37","121.2008","0.01431667","0.0014814","0.0014814","0.0029628","0.0029628"
"1.38","123.2668","0.01448333","0.0015053","0.0015053","0.0030106","0.0030106"
"1.39","125.3296","0.01465","0.0015282","0.0015282","0.0030564","0.0030564"
"1.4","127.3902","0.01481667","0.0015502","0.0015502","0.0031004","0.0031004"
"1.41","129.448","0.01498333","0.0015719","0.0015719","0.0031438","0.0031438"
"1.42","131.5032","0.01515","0.0015928","0.0015928","0.0031856","0.0031856"
"1.43","133.5558","0.01531667","0.0016128","0.0016128","0.0032256","0.0032256"
"1.44","135.6056","0.01548333","0.0016322","0.0016322","0.0032644","0.0032644"
"1.45","137.6522","0.01565","0.0016521","0.0016521","0.0033042","0.0033042"
"1.46","139.695","0.01581667","0.0016729","0.0016729","0.0033458","0.0033458"
"1.47","141.7338","0.01598333","0.0016945","0.0016945","0.003389","0.003389"
"1.48","143.7688","0.01615","0.0017165","0.0017165","0.003433","0.003433"
"1.49","145.7996","0.01631667","0.0017389","0.0017389","0.0034778","0.0034778"
"1.5","147.8244","0.01648333","0.0017613","0.0017613","0.0035226","0.0035226"
"1.51","149.8428","0.01665","0.0017835","0.0017835","0.003567","0.003567"
"1.52","151.8556","0.01681667","0.0018058","0.0018058","0.0036116","0.0036116"
"1.53","153.8626","0.01698333","0.001828","0.001828","0.003656","0.003656"
"1.54","155.8632","0.01715","0.0018493","0.0018493","0.0036986","0.0036986"
"1.55","157.8568","0.01731667","0.001869","0.001869","0.003738","0.003738"
"1.56","159.8434","0.01748333","0.0018875","0.0018875","0.003775","0.003775"
"1.57","161.8232","0.01765","0.0019059","0.0019059","0.0038118","0.0038118"
"1.58","163.7972","0.01781667","0.0019249","0.0019249","0.0038498","0.0038498"
"1.59","165.7658","0.01798333","0.0019447","0.0019447","0.0038894","0.0038894"
"1.6","167.73","0.01815","0.0019649","0.0019649","0.0039298","0.0039298"
"1.61","169.6894","0.01831667","0.0019855","0.0019855","0.003971","0.003971"
"1.62","171.6446","0.01848333","0.002006","0.002006","0.004012","0.004012"
"1.63","173.5948","0.01865","0.0020256","0.0020256","0.0040512","0.0040512"
"1.64","175.54","0.01881667","0.0020443","0.0020443","0.0040886","0.0040886"
"1.65","177.4808","0.01898333","0.0020628","0.0020628","0.0041256","0.0041256"
"1.66","179.4172","0.01915","0.0020822","0.0020822","0.0041644","0.0041644"
"1.67","181.3482","0.01931667","0.0021034","0.0021034","0.0042068","0.0042068"
"1.68","183.2744","0.01948333","0.0021265","0.0021265","0.004253","0.004253"
"1.69","185.1954","0.01965","0.0021512","0.0021512","0.0043024","0.0043024"
"1.7","187.1104","0.01981667","0.0021764","0.0021764","0.0043528","0.0043528"
"1.71","189.0194","0.01998333","0.0022019","0.0022019","0.0044038","0.0044038"
"1.72","190.9228","0.02015","0.0022273","0.0022273","0.0044546","0.0044546"
"1.73","192.8226","0.020325","0.002252","0.002252","0.004504","0.004504"
"1.74","194.7208","0.02048333","0.0022757","0.0022757","0.0045514","0.0045514"
"1.75","196.6176","0.02065","0.0022979","0.0022979","0.0045958","0.0045958"
"1.76","198.5114","0.02081667","0.0023186","0.0023186","0.0046372","0.0046372"
"1.77","200.4008","0.02098333","0.0023379","0.0023379","0.0046758","0.0046758"
"1.78","202.2846","0.02115","0.0023563","0.0023563","0.0047126","0.0047126"
"1.79","204.1624","0.02131667","0.0023745","0.0023745","0.004749","0.004749"
"1.8","206.0324","0.02148333","0.0023933","0.0023933","0.0047866","0.0047866"
"1.81","207.8926","0.02165","0.0024133","0.0024133","0.0048266","0.0048266"
"1.82","209.7418","0.02181667","0.0024351","0.0024351","0.0048702","0.0048702"
"1.83","211.5812","0.02198333","0.0024589","0.0024589","0.0049178","0.0049178"
"1.84","213.4118","0.02215","0.0024837","0.0024837","0.0049674","0.0049674"
"1.85","215.2356","0.02231667","0.0025083","0.0025083","0.0050166","0.0050166"
"1.86","217.0548","0.02248333","0.002532","0.002532","0.005064","0.005064"
"1.87","218.871","0.02265","0.0025548","0.0025548","0.0051096","0.0051096"
"1.88","220.684","0.02281667","0.002577","0.002577","0.005154","0.005154"
"1.89","222.494","0.02298333","0.0025992","0.0025992","0.0051984","0.0051984"
"1.9","224.3022","0.02315","0.0026218","0.0026218","0.0052436","0.0052436"
"1.91","226.1094","0.02331667","0.0026442","0.0026442","0.0052884","0.0052884"
"1.92","227.9162","0.02348333","0.0026658","0.0026658","0.0053316","0.0053316"
"1.93","229.7222","0.02365","0.0026868","0.0026868","0.0053736","0.0053736"
"1.94","231.5274","0.02381667","0.0027077","0.0027077","0.0054154","0.0054154"
"1.95","233.3318","0.02398333","0.0027284","0.0027284","0.0054568","0.0054568"
"1.96","235.134","0.02415","0.0027487","0.0027487","0.0054974","0.0054974"
"1.97","236.9336","0.02431667","0.0027683","0.0027683","0.0055366","0.0055366"
"1.98","238.7306","0.02448333","0.0027873","0.0027873","0.0055746","0.0055746"
"1.99","240.5236","0.02465833","0.0028057","0.0028057","0.0056114","0.0056114"
"2","242.3112","0.024825","0.0028236","0.0028236","0.0056472","0.0056472"
"2.01","244.092","0.02498333","0.0028417","0.0028417","0.0056834","0.0056834"
"2.02","245.8658","0.02515","0.0028603","0.0028603","0.0057206","0.0057206"
"2.03","247.635","0.02531667","0.0028796","0.0028796","0.0057592","0.0057592"
"2.04","249.4018","0.02548333","0.0028994","0.0028994","0.0057988","0.0057988"
"2.05","251.1666","0.02565","0.0029186","0.0029186","0.0058372","0.0058372"
"2.06","252.929","0.02581667","0.0029366","0.0029366","0.0058732","0.0058732"
"2.07","254.6882","0.02598333","0.0029534","0.0029534","0.0059068","0.0059068"
"2.08","256.4448","0.02615","0.0029691","0.0029691","0.0059382","0.0059382"
"2.09","258.1982","0.02631667","0.0029847","0.0029847","0.0059694","0.0059694"
"2.1","259.9482","0.02648333","0.0030005","0.0030005","0.006001","0.006001"
"2.11","261.695","0.02665","0.0030164","0.0030164","0.0060328","0.0060328"
"2.12","263.4388","0.026825","0.0030323","0.0030323","0.0060646","0.0060646"
"2.13","265.1798","0.02698333","0.0030485","0.0030485","0.006097","0.006097"
"2.14","266.9194","0.02715","0.0030648","0.0030648","0.0061296","0.0061296"
"2.15","268.6588","0.02731667","0.0030814","0.0030814","0.0061628","0.0061628"
"2.16","270.3972","0.02748333","0.0030986","0.0030986","0.0061972","0.0061972"
"2.17","272.1334","0.02765","0.0031171","0.0031171","0.006234201","0.006234201"
"2.18","273.867","0.02781667","0.0031373","0.0031373","0.006274601","0.006274601"
"2.19","275.5996","0.02798333","0.003159","0.003159","0.006318","0.006318"
"2.2","277.3328","0.02815","0.0031812","0.0031812","0.0063624","0.0063624"
"2.21","279.0672","0.02831667","0.0032031","0.0032031","0.0064062","0.0064062"
"2.22","280.8028","0.02848333","0.0032247","0.0032247","0.0064494","0.0064494"
"2.23","282.5382","0.02865","0.0032461","0.0032461","0.0064922","0.0064922"
"2.24","284.272","0.02881667","0.0032676","0.0032676","0.006535199","0.006535199"
"2.25","286.0038","0.02898333","0.0032887","0.0032887","0.0065774","0.0065774"
"2.26","287.7336","0.02915","0.0033087","0.0033087","0.0066174","0.0066174"
"2.27","289.461","0.02931667","0.0033278","0.0033278","0.0066556","0.0066556"
"2.28","291.1852","0.02948333","0.0033461","0.0033461","0.0066922","0.0066922"
"2.29","292.905","0.02965833","0.0033641","0.0033641","0.006728199","0.006728199"
"2.3","294.6196","0.02981667","0.003382","0.003382","0.006764","0.006764"
"2.31","296.3292","0.02998333","0.0034","0.0034","0.0068","0.0068"
"2.32","298.0338","0.03015","0.0034187","0.0034187","0.0068374","0.0068374"
"2.33","299.735","0.03031667","0.0034383","0.0034383","0.0068766","0.0068766"
"2.34","301.4346","0.03048333","0.0034583","0.0034583","0.006916599","0.006916599"
"2.35","303.1346","0.03065","0.003478","0.003478","0.006955999","0.006955999"
"2.36","304.8356","0.03081667","0.0034976","0.0034976","0.0069952","0.0069952"
"2.37","306.5386","0.03098333","0.0035174","0.0035174","0.0070348","0.0070348"
"2.38","308.2436","0.03115","0.0035374","0.0035374","0.0070748","0.0070748"
"2.39","309.951","0.03131667","0.0035565","0.0035565","0.007113","0.007113"
"2.4","311.6602","0.03148333","0.0035742","0.0035742","0.0071484","0.0071484"
"2.41","313.371","0.03165","0.0035906","0.0035906","0.0071812","0.0071812"
"2.42","315.084","0.03181667","0.0036057","0.0036057","0.0072114","0.0072114"
"2.43","316.7988","0.03198333","0.0036196","0.0036196","0.0072392","0.0072392"
"2.44","318.5166","0.03215","0.0036327","0.0036327","0.0072654","0.0072654"
"2.45","320.2374","0.03231667","0.003646","0.003646","0.007292001","0.007292001"
"2.46","321.9608","0.03248333","0.0036607","0.0036607","0.007321401","0.007321401"
"2.47","323.6876","0.03265","0.003677","0.003677","0.007354","0.007354"
"2.48","325.4176","0.03281667","0.0036951","0.0036951","0.0073902","0.0073902"
"2.49","327.1518","0.03298333","0.0037146","0.0037146","0.0074292","0.0074292"
"2.5","328.8908","0.03315","0.0037351","0.0037351","0.007470199","0.007470199"
"2.51","330.6344","0.03331667","0.0037564","0.0037564","0.0075128","0.0075128"
"2.52","332.3826","0.03348333","0.0037788","0.0037788","0.0075576","0.0075576"
"2.53","334.1368","0.03365","0.0038023","0.0038023","0.0076046","0.0076046"
"2.54","335.8984","0.03381667","0.0038263","0.0038263","0.0076526","0.0076526"
"2.55","337.669","0.03398333","0.00385","0.00385","0.007699999","0.007699999"
"2.56","339.449","0.03415","0.0038724","0.0038724","0.0077448","0.0077448"
"2.57","341.2384","0.03431667","0.0038936","0.0038936","0.0077872","0.0077872"
"2.58","343.0372","0.03448333","0.0039139","0.0039139","0.0078278","0.0078278"
"2.59","344.8446","0.03465","0.0039335","0.0039335","0.007867","0.007867"
"2.6","346.6608","0.03481667","0.0039523","0.0039523","0.0079046","0.0079046"
"2.61","348.4854","0.03498333","0.0039697","0.0039697","0.0079394","0.0079394"
"2.62","350.3186","0.03515","0.003985","0.003985","0.00797","0.00797"
"2.63","352.1592","0.03531667","0.0039986","0.0039986","0.0079972","0.0079972"
"2.64","354.006","0.03548333","0.0040116","0.0040116","0.0080232","0.0080232"
"2.65","355.8584","0.03565","0.0040247","0.0040247","0.0080494","0.0080494"
"2.66","357.7164","0.03581667","0.0040383","0.0040383","0.0080766","0.0080766"
"2.67","359.581","0.03598334","0.0040525","0.0040525","0.008105","0.008105"
"2.68","361.4536","0.03615833","0.0040676","0.0040676","0.0081352","0.0081352"
"2.69","363.336","0.03631667","0.0040836","0.0040836","0.0081672","0.0081672"
"2.7","365.228","0.03648333","0.0041006","0.0041006","0.0082012","0.0082012"
"2.71","367.1292","0.03665","0.004119","0.004119","0.008238","0.008238"
"2.72","369.0388","0.036825","0.0041386","0.0041386","0.0082772","0.0082772"
"2.73","370.9552","0.03698333","0.0041591","0.0041591","0.0083182","0.0083182"
"2.74","372.8772","0.03715","0.0041803","0.0041803","0.0083606","0.0083606"
"2.75","374.804","0.03731667","0.0042025","0.0042025","0.008405","0.008405"
"2.76","376.7348","0.03749167","0.0042262","0.0042262","0.0084524","0.0084524"
"2.77","378.6694","0.03765","0.0042511","0.0042511","0.0085022","0.0085022"
"2.78","380.6072","0.03781667","0.0042761","0.0042761","0.0085522","0.0085522"
"2.79","382.547","0.03798334","0.0043007","0.0043007","0.0086014","0.0086014"
"2.8","384.488","0.03815","0.0043244","0.0043244","0.0086488","0.0086488"
"2.81","386.43","0.038325","0.0043467","0.0043467","0.0086934","0.0086934"
"2.82","388.3744","0.03849167","0.0043678","0.0043678","0.0087356","0.0087356"
"2.83","390.3224","0.03865833","0.0043882","0.0043882","0.0087764","0.0087764"
"2.84","392.2748","0.03881667","0.0044087","0.0044087","0.0088174","0.0088174"
"2.85","394.2332","0.03898333","0.0044303","0.0044303","0.0088606","0.0088606"
"2.86","396.1986","0.03915","0.0044529","0.0044529","0.0089058","0.0089058"
"2.87","398.1694","0.03931667","0.0044759","0.0044759","0.0089518","0.0089518"
"2.88","400.1428","0.03948333","0.0044987","0.0044987","0.0089974","0.0089974"
"2.89","402.1172","0.03965","0.0045208","0.0045208","0.0090416","0.0090416"
"2.9","404.094","0.039825","0.0045412","0.0045412","0.0090824","0.0090824"
"2.91","406.0746","0.03998333","0.00456","0.00456","0.00912","0.00912"
"2.92","408.0588","0.04015","0.0045774","0.0045774","0.0091548","0.0091548"
"2.93","410.0438","0.04031667","0.0045939","0.0045939","0.0091878","0.0091878"
"2.94","412.0294","0.04049167","0.00461","0.00461","0.00922","0.00922"
"2.95","414.015","0.04065","0.0046262","0.0046262","0.0092524","0.0092524"
"2.96","416.0008","0.04081667","0.0046427","0.0046427","0.0092854","0.0092854"
"2.97","417.9866","0.04098333","0.0046591","0.0046591","0.0093182","0.0093182"
"2.98","419.9712","0.04115833","0.0046754","0.0046754","0.0093508","0.0093508"
"2.99","421.9546","0.04131667","0.0046919","0.0046919","0.0093838","0.0093838"
"3","423.9376","0.04148334","0.0047083","0.0047083","0.0094166","0.0094166"
"3.01","425.9202","0.04165","0.0047243","0.0047243","0.0094486","0.0094486"
"3.02","427.9028","0.04181667","0.00474","0.00474","0.00948","0.00948"
"3.03","429.886","0.04198333","0.0047562","0.0047562","0.0095124","0.0095124"
"3.04","431.8696","0.04215834","0.0047735","0.0047735","0.009547","0.009547"
"3.05","433.8534","0.042325","0.0047919","0.0047919","0.0095838","0.0095838"
"3.06","435.8378","0.04248333","0.0048112","0.0048112","0.0096224","0.0096224"
"3.07","437.8234","0.04265833","0.0048303","0.0048303","0.0096606","0.0096606"
"3.08","439.8112","0.042825","0.0048486","0.0048486","0.0096972","0.0096972"
"3.09","441.8004","0.04298333","0.0048668","0.0048668","0.0097336","0.0097336"
"3.1","443.7906","0.04315","0.0048848","0.0048848","0.0097696","0.0097696"
"3.11","445.7814","0.04331667","0.004903","0.004903","0.009806","0.009806"
"3.12","447.7718","0.04348334","0.0049211","0.0049211","0.0098422","0.0098422"
"3.13","449.7612","0.04365","0.0049389","0.0049389","0.0098778","0.0098778"
"3.14","451.7486","0.04381667","0.0049562","0.0049562","0.0099124","0.0099124"
"3.15","453.7338","0.04399167","0.004973","0.004973","0.009946","0.009946"
"3.16","455.7174","0.04415833","0.0049889","0.0049889","0.0099778","0.0099778"
"3.17","457.6996","0.04431667","0.0050048","0.0050048","0.0100096","0.0100096"
"3.18","459.6812","0.04449167","0.0050212","0.0050212","0.0100424","0.0100424"
"3.19","461.663","0.04465833","0.0050384","0.0050384","0.0100768","0.0100768"
"3.2","463.6442","0.044825","0.005057","0.005057","0.010114","0.010114"
"3.21","465.624","0.04498333","0.0050768","0.0050768","0.0101536","0.0101536"
"3.22","467.6018","0.04515","0.005097","0.005097","0.010194","0.010194"
"3.23","469.5748","0.04531667","0.0051163","0.0051163","0.0102326","0.0102326"
"3.24","471.5424","0.04548333","0.0051344","0.0051344","0.0102688","0.0102688"
"3.25","473.5046","0.04565834","0.0051508","0.0051508","0.0103016","0.0103016"
"3.26","475.4626","0.04581667","0.0051659","0.0051659","0.0103318","0.0103318"
"3.27","477.4188","0.04598333","0.0051801","0.0051801","0.0103602","0.0103602"
"3.28","479.374","0.04615","0.005194","0.005194","0.010388","0.010388"
"3.29","481.3294","0.046325","0.0052086","0.0052086","0.0104172","0.0104172"
"3.3","483.2848","0.04649167","0.0052244","0.0052244","0.0104488","0.0104488"
"3.31","485.2406","0.04665","0.0052414","0.0052414","0.0104828","0.0104828"
"3.32","487.196","0.046825","0.0052592","0.0052592","0.0105184","0.0105184"
"3.33","489.1516","0.04699167","0.0052775","0.0052775","0.010555","0.010555"
"3.34","491.1072","0.04715","0.005296","0.005296","0.010592","0.010592"
"3.35","493.0628","0.04731667","0.0053135","0.0053135","0.010627","0.010627"
"3.36","495.0188","0.04748333","0.00533","0.00533","0.01066","0.01066"
"3.37","496.9742","0.04765","0.0053451","0.0053451","0.0106902","0.0106902"
"3.38","498.927","0.04781667","0.0053582","0.0053582","0.0107164","0.0107164"
"3.39","500.8762","0.04798333","0.0053695","0.0053695","0.010739","0.010739"
"3.4","502.8224","0.04815","0.0053803","0.0053803","0.0107606","0.0107606"
