"1 _ 1",,,,,,
"时间","载荷","行程","引伸计1","位移","位移(应变)","引伸计1(应变)"
"sec","N","mm","mm","mm","%","%"
"0.61","537.246","0.0029","1.77E-05","1.77E-05","7.08E-05","7.08E-05"
"0.62","537.4906","0.002991667","2.09E-05","2.09E-05","8.36E-05","8.36E-05"
"0.63","537.8048","0.003091667","2.48E-05","2.48E-05","9.92E-05","9.92E-05"
"0.64","538.1962","0.0032","2.92E-05","2.92E-05","0.0001168","0.0001168"
"0.65","538.6738","0.003308333","3.41E-05","3.41E-05","0.0001364","0.0001364"
"0.66","539.2438","0.003416667","4E-05","4E-05","0.00016","0.00016"
"0.67","539.9098","0.003525","4.75E-05","4.75E-05","0.00019","0.00019"
"0.68","540.6708","0.003641667","5.65E-05","5.65E-05","0.000226","0.000226"
"0.69","541.5248","0.003758333","6.7E-05","6.7E-05","0.000268","0.000268"
"0.7","542.468","0.003866667","7.9E-05","7.9E-05","0.000316","0.000316"
"0.71","543.4952","0.003983333","9.23E-05","9.23E-05","0.0003692","0.0003692"
"0.72","544.601","0.0041","0.0001071","0.0001071","0.0004284","0.0004284"
"0.73","545.781","0.004225","0.0001235","0.0001235","0.000494","0.000494"
"0.74","547.031","0.004341667","0.0001423","0.0001423","0.0005692","0.0005692"
"0.75","548.3456","0.004466667","0.0001634","0.0001634","0.0006536","0.0006536"
"0.76","549.719","0.004591667","0.0001857","0.0001857","0.0007428","0.0007428"
"0.77","551.1454","0.004716667","0.0002079","0.0002079","0.0008316","0.0008316"
"0.78","552.6196","0.004841667","0.0002289","0.0002289","0.0009156","0.0009156"
"0.79","554.1366","0.004975","0.0002486","0.0002486","0.0009944","0.0009944"
"0.8","555.6926","0.0051","0.0002671","0.0002671","0.0010684","0.0010684"
"0.81","557.2838","0.005233333","0.0002846","0.0002846","0.0011384","0.0011384"
"0.82","558.9066","0.005375","0.0003017","0.0003017","0.0012068","0.0012068"
"0.83","560.559","0.005508333","0.0003188","0.0003188","0.0012752","0.0012752"
"0.84","562.2402","0.005641667","0.0003363","0.0003363","0.0013452","0.0013452"
"0.85","563.947","0.005783333","0.0003541","0.0003541","0.0014164","0.0014164"
"0.86","565.6784","0.005925","0.0003715","0.0003715","0.001486","0.001486"
"0.87","567.4352","0.006066667","0.0003875","0.0003875","0.00155","0.00155"
"0.88","569.2198","0.006208333","0.0004024","0.0004024","0.0016096","0.0016096"
"0.89","571.0334","0.006358333","0.0004167","0.0004167","0.0016668","0.0016668"
"0.9","572.8762","0.0065","0.0004317","0.0004317","0.0017268","0.0017268"
"0.91","574.7482","0.006658333","0.0004488","0.0004488","0.0017952","0.0017952"
"0.92","576.6478","0.0068","0.0004682","0.0004682","0.0018728","0.0018728"
