frame,time_s,incident_energy_cm2,reflected_energy_cm2,reflection_incident_energy_ratio,in_stable_window
105,3.500000,0.2340882421,0.0041291877,0.0176394489,1
106,3.533333,0.2368714511,0.0043101488,0.0181961507,1
107,3.566667,0.2384681553,0.0045425384,0.0190488268,1
108,3.600000,0.2387284338,0.0048439400,0.0202905871,1
109,3.633333,0.2375826836,0.0052326513,0.0220245477,1
110,3.666667,0.2350543886,0.0057262140,0.0243612304,1
111,3.700000,0.2312580794,0.0063396450,0.0274137240,1
112,3.733333,0.2263831198,0.0070834383,0.0312896036,1
113,3.766667,0.2206665128,0.0079616737,0.0360801183,1
114,3.800000,0.2143605053,0.0089707673,0.0418489724,1
115,3.833333,0.2077008784,0.0100993617,0.0486245491,1
116,3.866667,0.2008818984,0.0113296555,0.0563995838,1
117,3.900000,0.1940419376,0.0126402425,0.0651418045,1
118,3.933333,0.1872621179,0.0140104014,0.0748170614,1
119,3.966667,0.1805769354,0.0154254772,0.0854232982,1
120,4.000000,0.1739938110,0.0168824978,0.0970292985,0
121,4.033333,0.1675161272,0.0183946826,0.1098084301,0
122,4.066667,0.1611640155,0.0199934561,0.1240565777,0
123,4.100000,0.1549875289,0.0217270758,0.1401859671,0
124,4.133333,0.1490694731,0.0236559138,0.1586905271,0
125,4.166667,0.1435175687,0.0258451384,0.1800834388,0
126,4.200000,0.1384489983,0.0283562411,0.2048136294,0
127,4.233333,0.1339725852,0.0312391967,0.2331760377,0
128,4.266667,0.1301736385,0.0345270671,0.2652385533,0
129,4.300000,0.1271054447,0.0382341407,0.3008064628,0
130,4.333333,0.1247878820,0.0423573442,0.3394347429,0
131,4.366667,0.1232118979,0.0468794517,0.3804782927,0
132,4.400000,0.1223461628,0.0517723002,0.4231624305,0
133,4.433333,0.1221431643,0.0569986068,0.4666540921,0
134,4.466667,0.1225428581,0.0625122711,0.5101257563,0
135,4.500000,0.1234740391,0.0682575703,0.5528090596,0
136,4.533333,0.1248551756,0.0741683617,0.5940351486,0
137,4.566667,0.1265968829,0.0801682398,0.6332560182,0
138,4.600000,0.1286070943,0.0861724541,0.6700443029,0
139,4.633333,0.1307985634,0.0920919925,0.7040749788,0
140,4.666667,0.1330966353,0.0978391096,0.7350983024,0
141,4.700000,0.1354447454,0.1033334658,0.7629197240,0
142,4.733333,0.1378062665,0.1085075885,0.7873922586,0
143,4.766667,0.1401621103,0.1133112088,0.8084296584,0
144,4.800000,0.1425047368,0.1177140549,0.8260360956,0
145,4.833333,0.1448300034,0.1217071712,0.8403450251,0
146,4.866667,0.1471286267,0.1253023297,0.8516516089,0
147,4.900000,0.1493790150,0.1285291612,0.8604231477,0
148,4.933333,0.1515432596,0.1314301789,0.8672782779,0
149,4.966667,0.1535672694,0.1340541393,0.8729343414,0
150,5.000000,0.1553852409,0.1364491880,0.8781347871,0
151,5.033333,0.1569277644,0.1386563927,0.8835682869,0
152,5.066667,0.1581319124,0.1407046169,0.8897926807,0
153,5.100000,0.1589510739,0.1426070780,0.8971759081,0
154,5.133333,0.1593623906,0.1443599313,0.9058594704,0
155,5.166667,0.1593693644,0.1459426284,0.9157508612,0
156,5.200000,0.1589987576,0.1473201364,0.9265489578,0
157,5.233333,0.1582904905,0.1484444737,0.9377977848,0
158,5.266667,0.1572829485,0.1492558718,0.9489641190,0
159,5.300000,0.1559983194,0.1496844441,0.9595260024,0
160,5.333333,0.1544303894,0.1496521980,0.9690592289,0
161,5.366667,0.1525380909,0.1490753591,0.9772992134,0
162,5.400000,0.1502472460,0.1478685439,0.9841680527,0
163,5.433333,0.1474612802,0.1459514797,0.9897613525,0
164,5.466667,0.1440810263,0.1432598680,0.9943007231,0
165,5.500000,0.1400310397,0.1397606879,0.9980693460,0
166,5.533333,0.1352884024,0.1354708076,1.0013482571,0
167,5.566667,0.1299087405,0.1304758936,1.0043658018,0
168,5.600000,0.1240436509,0.1249450594,1.0072668791,0
169,5.633333,0.1179448217,0.1191364378,1.0101031065,0
170,5.666667,0.1119515300,0.1133886501,1.0128369331,0
171,5.700000,0.1064609289,0.1080956757,1.0153553486,0
172,5.733333,0.1018838808,0.1036660820,1.0174925327,0
173,5.766667,0.0985929221,0.1004721820,1.0190608501,0
174,5.800000,0.0968710482,0.0987982452,1.0198944807,0
