frame,time_s,status,mean_brightness,surface_amplitude_px,surface_amplitude_cm,peak_count,peak_x_px,peak_prominence_px,spacings_px,spacings_cm,frame_spacing_px,frame_spacing_cm,included_in_average
0,0.0,flat_or_no_resolvable_wave,72.18996527777777,2.150294177130683,0.06282833950430865,0,,,,,,,False
1,0.03333333333333333,flat_or_no_resolvable_wave,72.31988679108797,2.119614903850838,0.06193193759899185,0,,,,,,,False
2,0.06666666666666667,flat_or_no_resolvable_wave,72.3521755642361,2.0925038715513726,0.06113979429146729,0,,,,,,,False
3,0.1,flat_or_no_resolvable_wave,72.48484085648148,1.9621883391478883,0.05733217178120401,0,,,,,,,False
4,0.13333333333333333,flat_or_no_resolvable_wave,72.50913447627315,1.7843022024574648,0.05213460825340372,0,,,,,,,False
5,0.16666666666666666,flat_or_no_resolvable_wave,72.6755396412037,1.769630029400679,0.051705909575854504,0,,,,,,,False
6,0.2,flat_or_no_resolvable_wave,72.67281141493055,1.8590420747697025,0.05431839413818341,0,,,,,,,False
7,0.23333333333333334,flat_or_no_resolvable_wave,72.73416666666667,1.5656400796044467,0.04574563216006087,0,,,,,,,False
8,0.26666666666666666,flat_or_no_resolvable_wave,72.703779296875,1.441700520531459,0.04212430593490096,0,,,,,,,False
9,0.3,flat_or_no_resolvable_wave,72.81154333043982,1.3991204027134545,0.04088017937451895,0,,,,,,,False
10,0.3333333333333333,flat_or_no_resolvable_wave,72.71863028067129,1.2648224752273833,0.036956197310781494,0,,,,,,,False
11,0.36666666666666664,flat_or_no_resolvable_wave,72.72956090856482,1.205996490317695,0.03523739111631324,0,,,,,,,False
12,0.4,flat_or_no_resolvable_wave,72.53514503761573,1.1888141605490308,0.034735349460961164,0,,,,,,,False
13,0.43333333333333335,flat_or_no_resolvable_wave,72.60434172453704,1.205288367694853,0.0352167008456369,0,,,,,,,False
14,0.4666666666666667,flat_or_no_resolvable_wave,72.54940791377315,1.4156343638198439,0.04136269230972007,0,,,,,,,False
15,0.5,flat_or_no_resolvable_wave,72.59587131076388,1.3570932200006243,0.03965220874055912,0,,,,,,,False
16,0.5333333333333333,flat_or_no_resolvable_wave,72.46237377025463,1.4182038763218117,0.04143776957382242,0,,,,,,,False
17,0.5666666666666667,flat_or_no_resolvable_wave,72.7783716724537,1.3967002948901701,0.04080946748887304,0,,,,,,,False
18,0.6,flat_or_no_resolvable_wave,72.75255172164351,1.3708487489351733,0.0400541244649994,0,,,,,,,False
19,0.6333333333333333,flat_or_no_resolvable_wave,72.77839662905093,1.4446244270707078,0.04220973805608724,0,,,,,,,False
20,0.6666666666666666,flat_or_no_resolvable_wave,72.66948314525463,1.3424163500477924,0.03922337282682029,0,,,,,,,False
21,0.7,flat_or_no_resolvable_wave,72.6979564525463,1.4594116669288448,0.042641798811317674,0,,,,,,,False
22,0.7333333333333333,flat_or_no_resolvable_wave,72.59521158854167,1.3951507720496037,0.04076419277803013,0,,,,,,,False
23,0.7666666666666667,flat_or_no_resolvable_wave,72.53066442418981,1.318209700924995,0.038516091197393104,0,,,,,,,False
24,0.8,flat_or_no_resolvable_wave,72.33059461805556,1.315232116930697,0.03842909070225808,0,,,,,,,False
25,0.8333333333333334,flat_or_no_resolvable_wave,72.33543258101852,1.3918683145596318,0.04066828434104426,0,,,,,,,False
26,0.8666666666666667,flat_or_no_resolvable_wave,72.30618815104167,1.639235608302568,0.04789598205740129,0,,,,,,,False
27,0.9,flat_or_no_resolvable_wave,72.44209743923611,1.6691716651589432,0.04877066830433257,0,,,,,,,False
28,0.9333333333333333,flat_or_no_resolvable_wave,72.49591796875,1.64115809587932,0.047952154233027115,0,,,,,,,False
29,0.9666666666666667,flat_or_no_resolvable_wave,72.7985593894676,1.6172874922908256,0.047254691345213345,0,,,,,,,False
30,1.0,flat_or_no_resolvable_wave,72.85009078414352,1.616518473609226,0.047232221783919566,0,,,,,,,False
31,1.0333333333333334,flat_or_no_resolvable_wave,73.02215603298612,1.6202377689870444,0.047340893962451995,0,,,,,,,False
32,1.0666666666666667,flat_or_no_resolvable_wave,72.8431615306713,1.7361279754852337,0.050727030295113495,0,,,,,,,False
33,1.1,flat_or_no_resolvable_wave,73.02411603009259,1.8600714302371295,0.05434847034611158,0,,,,,,,False
34,1.1333333333333333,flat_or_no_resolvable_wave,72.97730866608796,1.902492599402403,0.05558795266756863,0,,,,,,,False
35,1.1666666666666667,flat_or_no_resolvable_wave,72.99429615162038,2.0160367610035737,0.05890554112113067,0,,,,,,,False
36,1.2,flat_or_no_resolvable_wave,72.79722764756944,2.0560407036427706,0.06007439574408285,0,,,,,,,False
37,1.2333333333333334,flat_or_no_resolvable_wave,72.88581163194445,2.147008314192182,0.06273233156527389,0,,,,,,,False
38,1.2666666666666666,flat_or_no_resolvable_wave,72.71891167534723,2.6261921364801246,0.07673335718859234,0,,,,,,,False
39,1.3,flat_or_no_resolvable_wave,72.60391167534722,3.0182016595113126,0.08818728180219591,1,461,3.21,,,,,False
40,1.3333333333333333,flat_or_no_resolvable_wave,72.404931640625,3.1693128801169035,0.09260252282925728,1,461,3.25,,,,,False
41,1.3666666666666667,flat_or_no_resolvable_wave,72.5640089699074,3.0812236629344447,0.09002868930328203,0,,,,,,,False
42,1.4,flat_or_no_resolvable_wave,72.60473922164351,2.8993529476865807,0.08471470242417893,0,,,,,,,False
43,1.4333333333333333,flat_or_no_resolvable_wave,72.79585611979167,2.489021458837498,0.07272543771570095,0,,,,,,,False
44,1.4666666666666666,flat_or_no_resolvable_wave,72.79735387731482,2.0828282423607116,0.06085708705904581,0,,,,,,,False
45,1.5,flat_or_no_resolvable_wave,73.05289460358796,1.5389122272864544,0.04496468479131682,0,,,,,,,False
46,1.5333333333333334,flat_or_no_resolvable_wave,73.07344798900463,1.3168703696158024,0.038476957964788165,0,,,,,,,False
47,1.5666666666666667,flat_or_no_resolvable_wave,73.1458933738426,1.3366979708937805,0.03905629044770972,0,,,,,,,False
48,1.6,flat_or_no_resolvable_wave,73.00196252893518,5.114935034607968,0.1494506557822025,0,,,,,,,False
49,1.6333333333333333,flat_or_no_resolvable_wave,73.08879991319445,5.121803355703847,0.14965133772341127,0,,,,,,,False
50,1.6666666666666667,flat_or_no_resolvable_wave,73.1597044994213,4.273572265499728,0.12486730980748795,0,,,,,,,False
51,1.7,flat_or_no_resolvable_wave,73.29290726273148,3.1396282818807073,0.09173518382240502,0,,,,,,,False
52,1.7333333333333334,flat_or_no_resolvable_wave,73.08631148726852,5.6713837112668095,0.16570924344228538,1,185,4.84,,,,,False
53,1.7666666666666666,one_visible_peak_only,73.13476345486112,16.15208444376956,0.4719394471362798,1,320,9.70,,,,,False
54,1.8,one_visible_peak_only,72.90903501157408,20.80265346491674,0.6078220312293762,1,312,13.11,,,,,False
55,1.8333333333333333,one_visible_peak_only,72.82739619502316,23.250198976783196,0.6793356045847148,1,455,17.01,,,,,False
56,1.8666666666666667,one_visible_peak_only,72.45029296875,21.17804477301545,0.6187903967688596,1,535,19.32,,,,,False
57,1.9,one_visible_peak_only,72.5635279224537,19.082462180973742,0.5575606469270017,1,599,18.60,,,,,False
