px_per_cm,34.224909
candidate_px_per_cm,score,y1,y2,frequency
33.368635,274.616500,488,505,0.029968262
34.168926,687.641054,488,505,0.292663574
34.276151,2184.299547,500,515,0.029174805
34.126224,92.603024,500,515,0.293029785
34.492632,861.554457,515,532,0.028991699
34.119117,565.306298,515,532,0.293090820
