series,frame_local,time_s,period_cm,autocorr_value
direct_raw,40,1.3333333333333333,9.259838104248047,-0.004846277921635861
direct_raw,41,1.3666666666666667,9.259838104248047,-0.005019154448515528
direct_raw,42,1.4,9.259838104248047,-0.005019154448515528
direct_raw,43,1.4333333333333333,9.259838104248047,-0.004873276971026896
direct_raw,44,1.4666666666666666,9.259838104248047,-0.005116781340094766
direct_raw,45,1.5,9.259838104248047,-0.005116781340094766
direct_raw,46,1.5333333333333334,9.259838104248047,-0.005116781340094766
direct_raw,47,1.5666666666666667,9.259838104248047,-0.005116781340094766
direct_raw,48,1.6,9.385822296142578,0.005236648882838394
direct_raw,49,1.6333333333333333,9.385822296142578,0.0052347705231108954
direct_raw,50,1.6666666666666667,9.385822296142578,0.0052347705231108954
direct_raw,51,1.7,9.385822296142578,0.00519215889959459
direct_raw,52,1.7333333333333334,9.385822296142578,0.0050873361733265975
direct_raw,53,1.7666666666666666,9.385822296142578,0.0050873361733265975
direct_raw,54,1.8,9.385822296142578,0.004863837474297753
direct_raw,55,1.8333333333333333,11.212593078613281,0.010665349306801183
direct_raw,56,1.8666666666666667,9.385822296142578,0.0045048580546419095
direct_raw,57,1.9,9.385822296142578,0.004366354307645135
direct_raw,58,1.9333333333333333,9.385822296142578,0.004366354307645135
direct_raw,59,1.9666666666666666,9.385822296142578,0.0045048580546419095
direct_raw,60,2.0,6.236217498779297,0.3149137220930591
direct_raw,61,2.033333333333333,6.236217498779297,0.3149137220930591
incident_separated,40,1.3333333333333333,11.181097030639648,0.17029908635402138
incident_separated,41,1.3666666666666667,11.149600982666016,0.17398450964226866
incident_separated,42,1.4,11.118104934692383,0.17287227933075852
incident_separated,43,1.4333333333333333,11.118104934692383,0.1778406532422084
incident_separated,44,1.4666666666666666,11.118104934692383,0.18022943506280237
incident_separated,45,1.5,11.08660888671875,0.1776233608772599
incident_separated,46,1.5333333333333334,11.08660888671875,0.1773250470961873
incident_separated,47,1.5666666666666667,11.055112838745117,0.16429127796841744
incident_separated,48,1.6,10.803144454956055,0.19110730506452625
incident_separated,49,1.6333333333333333,10.834640502929688,0.26385891850909327
incident_separated,50,1.6666666666666667,10.834640502929688,0.25935420990235347
incident_separated,51,1.7,10.897632598876953,0.2917819348088575
incident_separated,52,1.7333333333333334,10.897632598876953,0.2872069049607175
incident_separated,53,1.7666666666666666,10.929128646850586,0.3093404809796111
incident_separated,54,1.8,10.929128646850586,0.30437433694168675
incident_separated,55,1.8333333333333333,10.992120742797852,0.317937755624377
incident_separated,56,1.8666666666666667,10.992120742797852,0.31358108189413497
incident_separated,57,1.9,11.023616790771484,0.3383091706597561
incident_separated,58,1.9333333333333333,11.023616790771484,0.34617071082476775
incident_separated,59,1.9666666666666666,5.543304443359375,0.4463069198442065
incident_separated,60,2.0,5.7952728271484375,0.5727628435952539
incident_separated,61,2.033333333333333,5.921257019042969,0.4851930063985683
