start_frame,end_frame,center_s,incident_rms,reflected_rms,reflection_energy_ratio,reflection_amplitude_ratio
0,27,0.43333333333333335,0.1996616694361685,0.1336654969688633,0.4481766630871704,0.6694599787046052
3,30,0.5333333333333333,0.18249054257128322,0.10365097659476621,0.32260126935185107,0.5679799902741742
6,33,0.6333333333333333,0.16566687506574504,0.08070630086148252,0.23732501853741644,0.48716015696833875
9,36,0.7333333333333333,0.15244187319853217,0.07414694404510519,0.23657996285005226,0.4863948630999841
12,39,0.8333333333333334,0.14818335023788223,0.0685620121991724,0.21407615274516228,0.4626836421845517
15,42,0.9333333333333333,0.14223578216526217,0.06563662303879098,0.21294856946019483,0.4614635082649492
18,45,1.0333333333333334,0.14028872876929205,0.06364648175583329,0.20582742639658325,0.45368207634485985
21,48,1.1333333333333333,0.1368057259495837,0.06268611625865601,0.2099588462594744,0.45821266488332074
24,51,1.2333333333333334,0.13483361704838467,0.06109954189104171,0.2053428275490146,0.4531476884515848
27,54,1.3333333333333333,0.1321484852909002,0.06003730780452221,0.20640396682951687,0.4543170333913498
30,57,1.4333333333333333,0.13029054460920944,0.05858958941554163,0.20221581136015823,0.44968412398055396
33,60,1.5333333333333334,0.1285845631014458,0.05754102005753394,0.2002522691556536,0.44749555210711717
36,63,1.6333333333333333,0.1268332633141704,0.05654762023660409,0.19877526088517355,0.4458421928050031
39,66,1.7333333333333334,0.126526085367795,0.05652351754787898,0.19957136086633637,0.4467341053315007
42,69,1.8333333333333333,0.12497012258091252,0.05569829247179882,0.19864213347338716,0.4456928689954408
45,72,1.9333333333333333,0.12886209754266809,0.060663032121557936,0.2216143279313556,0.4707593099784173
48,75,2.033333333333333,0.13527153146255952,0.0775519617050973,0.32867960933443424,0.5733058601954407
51,78,2.1333333333333333,0.13728277963440982,0.08577926338249797,0.3904203954440235,0.6248362949157351
54,81,2.2333333333333334,0.13657703417550304,0.08638622790192045,0.4000678628652346,0.6325091800640008
57,84,2.3333333333333335,0.1397359690699839,0.08921471457750374,0.40762100795946926,0.6384520404536814
60,87,2.433333333333333,0.14924127713735813,0.10493097129507233,0.49434423306801145,0.7030961762575668
63,90,2.533333333333333,0.15758593634155418,0.11929205308260099,0.5730441892881357,0.7569968225086124
66,93,2.6333333333333333,0.1576204048865181,0.12169018109878714,0.5960548104782811,0.7720458603465736
69,96,2.7333333333333334,0.15876238461783462,0.12445647229882842,0.6145252707273462,0.7839166223058076
72,99,2.8333333333333335,0.1548764627175328,0.12351539434213153,0.6360208258503798,0.7975091384118302
75,102,2.933333333333333,0.14796211603186657,0.11424431428163588,0.5961672618610232,0.7721186837922155
78,105,3.033333333333333,0.14631342198099814,0.1101317942894566,0.5665745915317273,0.7527114928920159
81,108,3.1333333333333333,0.14620971466905258,0.1099223703496515,0.565222850063282,0.7518130419614187
84,111,3.2333333333333334,0.14397150767185574,0.10874228812620679,0.570484473373436,0.7553042257087114
87,114,3.3333333333333335,0.13341786402692518,0.09689200312809425,0.5274094439236457,0.7262296082670038
90,117,3.433333333333333,0.12411667803938398,0.08441088927375219,0.46252654734408283,0.6800930431522461
93,120,3.533333333333333,0.12287333653425003,0.08325977938218908,0.4591506556420649,0.6776065640488328
96,123,3.6333333333333333,0.12338709915193415,0.0850451881922321,0.4750726021216617,0.6892551067069882
99,126,3.7333333333333334,0.12555174417868473,0.09108222674473905,0.5262859528477464,0.7254556863432434
102,129,3.8333333333333335,0.13343674958522111,0.1032323582726993,0.5985229234169148,0.7736426328847932
105,132,3.933333333333333,0.1399994276535301,0.12107928844293404,0.7479752019322853,0.864855595999867
108,135,4.033333333333333,0.14172870192988352,0.13344881815083026,0.8865716605388282,0.9415793437298995
111,138,4.133333333333334,0.14741565737082046,0.14238998348567042,0.9329785358060135,0.9659081404595437
114,141,4.233333333333333,0.15850386200535982,0.14699251567803065,0.8600243514340942,0.9273749788699791
117,144,4.333333333333333,0.16856578902546293,0.14891865519639208,0.7804756100525231,0.8834453067691984
120,147,4.433333333333334,0.1771167776868883,0.15063646490351262,0.7233372414820808,0.8504923523948236
123,150,4.533333333333333,0.1818086305995313,0.1478441153689275,0.6612704175858993,0.8131853525401815
126,153,4.633333333333334,0.18777757746691356,0.14377085242634655,0.5862113618748592,0.7656444095497983
129,156,4.733333333333333,0.19650065045490073,0.1367913328049194,0.48460643580706025,0.6961367938897213
132,159,4.833333333333333,0.20306093614606305,0.12134989305504136,0.3571297483924182,0.5976033369990651
135,162,4.933333333333334,0.20768127933680847,0.10757572081598399,0.26830812770067103,0.5179846790211763
138,165,5.033333333333333,0.20550874505046332,0.09531555910538163,0.2151131624370237,0.463802934916354
141,168,5.133333333333334,0.19808010161843623,0.08447838666080879,0.1818902928744142,0.4264859820374102
144,171,5.233333333333333,0.1897908377790569,0.07815295321323834,0.16956659582843558,0.4117846473928279
147,174,5.333333333333333,0.18486176413935818,0.07541228453790608,0.16641405708235976,0.40793879085269613
150,177,5.433333333333334,0.1842411564413693,0.08252027175384857,0.20060788405566984,0.4478927148946161
153,180,5.533333333333333,0.17730362157578491,0.08522180096069082,0.23102884262320547,0.4806545980464615
156,183,5.633333333333334,0.16659379612602943,0.08918247542066464,0.286577042702839,0.5353289107668658
159,186,5.733333333333333,0.15829197245454446,0.09720759580780214,0.37712265481577417,0.614103130439647
162,189,5.833333333333333,0.15193547534826238,0.10090698676306735,0.4410868367998905,0.6641436868629337
165,192,5.933333333333334,0.15092821532972742,0.1024033110112924,0.46034891559162633,0.6784901735409484
168,195,6.033333333333333,0.1502977635002473,0.10333144557065313,0.4726721059964638,0.6875115315370818
171,198,6.133333333333334,0.15146146437052052,0.10259022965150731,0.4587834059572847,0.6773355194859374
174,201,6.233333333333333,0.14936939810727143,0.10110144044939098,0.45813284050280184,0.6768551104208358
177,204,6.333333333333333,0.14451189972472359,0.09750076146334383,0.45520685603804273,0.6746901926351403
180,207,6.433333333333334,0.1454196738632143,0.09647782399115151,0.4401580678270446,0.6634440954798261
183,210,6.533333333333333,0.14215647120003239,0.08939512111930907,0.39545253665025665,0.6288501702713108
186,213,6.633333333333334,0.13782205757998608,0.07804633065316129,0.32067678468440186,0.5662833077924881
189,216,6.733333333333333,0.13697499947659364,0.0737666171007652,0.2900261248743136,0.5385407365040398
192,219,6.833333333333333,0.13770983209327017,0.07213235448175227,0.27436601727237353,0.5237995964797735
195,222,6.933333333333334,0.14172187528017463,0.07266524418948005,0.26289340653933785,0.5127313200296407
198,225,7.033333333333333,0.14309683494489966,0.07068914833469266,0.24403124890091457,0.493995191171852
201,228,7.133333333333334,0.1443444952728143,0.06829334555788343,0.22384960090869252,0.4731274679287734
204,231,7.233333333333333,0.14654366070899935,0.06331900354051671,0.1866955949956333,0.432082856632421
207,234,7.333333333333333,0.14736021404122382,0.058209399338752056,0.15603633763554065,0.3950143511766891
210,237,7.433333333333334,0.14926478305882382,0.05961308138538718,0.15950284498230552,0.39937807273597975
213,240,7.533333333333333,0.14990915759181322,0.06462709879973906,0.18585446247197343,0.43110841150686613
216,243,7.633333333333334,0.15015351184581288,0.06411890136770125,0.18234806395749378,0.4270223225517535
219,246,7.733333333333333,0.14884045787680603,0.06392441223657273,0.18445545030151791,0.4294827706689966
222,249,7.833333333333333,0.1436420222871402,0.067901775495805,0.22345971429495845,0.4727152570998301
225,252,7.933333333333334,0.1409444897517108,0.07315105401905067,0.26936736185954785,0.5190061289229134
228,255,8.033333333333333,0.13967189901602978,0.07616091571609494,0.29733513984986304,0.5452844577373016
231,258,8.133333333333333,0.13568587039739652,0.07625689633794391,0.3158559054362555,0.5620105919253262
234,261,8.233333333333333,0.13385364451274195,0.07737535779104948,0.3341526730049306,0.5780594026611198
237,264,8.333333333333334,0.12995290126799747,0.07587069644937762,0.34086011148743034,0.583832263143645
240,267,8.433333333333334,0.1278323346506243,0.07073372220034403,0.30617630917954397,0.5533320062851452
243,270,8.533333333333333,0.12965369239737923,0.0691812068706459,0.284712469998193,0.5335845481254053
246,273,8.633333333333333,0.12880326322057709,0.06666767772087322,0.26790259643562847,0.5175930799727025
249,276,8.733333333333333,0.13145997400498943,0.05956227801688999,0.20528419534059875,0.4530829894628563
252,279,8.833333333333334,0.13261772539928812,0.05283884343310142,0.15874624319268066,0.3984297217737159
255,282,8.933333333333334,0.1304788658273825,0.050034647176644555,0.14704875008403934,0.38346936003289667
258,285,9.033333333333333,0.13161649849264098,0.05077719279450707,0.14883898826855088,0.3857965633187404
261,288,9.133333333333333,0.13172010518613358,0.04890574501671791,0.13785280921152632,0.3712853474236848
264,291,9.233333333333333,0.1329027045964816,0.04982050144849744,0.14052336820783265,0.37486446645131977
267,294,9.333333333333334,0.13402898293285245,0.04955798114508558,0.13671928176801762,0.369755705524631
270,297,9.433333333333334,0.13328440339818207,0.050326204760724566,0.14257050760139284,0.37758509981379407
273,300,9.533333333333333,0.1355701623987448,0.04998401426539336,0.13593585747153167,0.3686948026098709
276,303,9.633333333333333,0.1361968676055472,0.04930058986457856,0.13102977410409272,0.36198035043920923
279,306,9.733333333333333,0.1373202434179171,0.048032783782665116,0.12235067942880216,0.34978661985387915
282,309,9.833333333333334,0.1398446590853535,0.046836388757509256,0.11216956487183588,0.3349172507826909
285,312,9.933333333333334,0.14224088927719908,0.04711597216733569,0.10972040336031415,0.33124070305491465
288,315,10.033333333333333,0.14482164504353903,0.047893917632369505,0.10936888213744751,0.330709664414948
291,318,10.133333333333333,0.14753319753625083,0.050862071500457996,0.11885257021054671,0.3447500111828087
294,321,10.233333333333333,0.15014189627630772,0.05293842175410914,0.1243191940219076,0.35258927099659115
297,324,10.333333333333334,0.15184137399108624,0.053071811240843106,0.1221652165416421,0.34952141070561343
300,327,10.433333333333334,0.15291739793850231,0.05265570664234329,0.11857062033205305,0.3443408490610039
303,330,10.533333333333333,0.15316627641882485,0.05419373995440527,0.12519066235044415,0.3538229251340904
306,333,10.633333333333333,0.15416081427800188,0.05594236267641508,0.13168418424793288,0.36288315508980695
309,336,10.733333333333333,0.15451621216674047,0.05756332275144662,0.13878534310585247,0.3725390491020404
312,339,10.833333333333334,0.15627254725105688,0.05924988905708484,0.14375061139847756,0.3791445784901553
315,342,10.933333333333334,0.15825324315155542,0.05927278755190788,0.14028313621887883,0.37454390426074063
318,345,11.033333333333333,0.15670468983045271,0.0548777881864922,0.12263917204940458,0.35019876077651185
321,348,11.133333333333333,0.15501418156017746,0.05303229612078769,0.11704099325279574,0.3421125447170795
324,351,11.233333333333333,0.15414521178371637,0.05154284267756474,0.11180897249478977,0.33437848688991606
327,354,11.333333333333334,0.1537957225160399,0.05198510702993359,0.11425346278674958,0.3380139979153964
330,357,11.433333333333334,0.15481082975814128,0.051189630893106845,0.10933553120968055,0.3306592372967683
333,360,11.533333333333333,0.1547362416783939,0.05005268341579934,0.10463347355829303,0.3234709779227389
336,363,11.633333333333333,0.1552878153838014,0.04830059279500444,0.09674536361947725,0.31103916733986614
