start_s,end_s,center_s,wavelength_cm,peak_k_cycles_per_cm,energy
0.0,1.2,0.6,20.221171080813505,0.04945312,66124317.02449122
0.13333333333333333,1.3333333333333333,0.7333333333333333,20.221171080813505,0.04945312,65926525.53344938
0.26666666666666666,1.4666666666666666,0.8666666666666667,20.221171080813505,0.04945312,67461357.99429826
0.4,1.6,1.0,20.221171080813505,0.04945312,64432960.047770746
0.5333333333333333,1.7333333333333334,1.1333333333333333,20.221171080813505,0.04945312,59223700.680897675
0.6666666666666666,1.8666666666666667,1.2666666666666666,20.221171080813505,0.04945312,58347105.473743
0.8,2.0,1.4,20.221171080813505,0.04945312,68889963.02160001
0.9333333333333333,2.1333333333333333,1.5333333333333334,20.221171080813505,0.04945312,111984629.92689961
1.0666666666666667,2.2666666666666666,1.6666666666666667,20.221171080813505,0.04945312,189877610.72797215
1.2,2.4,1.8,20.221171080813505,0.04945312,414015090.10978746
1.3333333333333333,2.533333333333333,1.9333333333333333,20.22117108081351,0.04945312,1546144277.1964169
1.4666666666666666,2.6666666666666665,2.066666666666667,20.221171080813505,0.04945312,4274397254.0340962
1.6,2.8,2.2,20.22117108081351,0.04945312,7733340126.418873
1.7333333333333334,2.933333333333333,2.3333333333333335,20.221171080813505,0.04945312,10531855918.347212
1.8666666666666667,3.066666666666667,2.466666666666667,20.221171080813505,0.04945312,12323857343.892956
2.0,3.2,2.6,20.22117108081351,0.04945312,14074183212.296385
2.1333333333333333,3.3333333333333335,2.7333333333333334,20.22117108081351,0.04945312,16642247991.960434
2.2666666666666666,3.466666666666667,2.8666666666666667,20.221171080813505,0.04945312,19543227542.047592
2.4,3.6,3.0,20.221171080813505,0.04945312,21448546851.98461
2.533333333333333,3.7333333333333334,3.1333333333333333,20.221171080813505,0.04945312,21699297713.788406
2.6666666666666665,3.8666666666666667,3.2666666666666666,20.221171080813505,0.04945312,20457563006.95733
