frame,time_s,x1,x2,d_px,y1,y2,prom1,prom2,n_peaks
105,3.5,349,706,357,334.99999999999994,334.99999999999994,3.4100949707863606,3.4100949707863606,2
135,4.5,410,682,272,334.99999999999994,334.99999999999994,2.364183547955463,2.5053504037745142,2
145,4.833333333333333,53,411,358,330.34815601857395,334.99999999999994,2.145649872970125,4.000000000000057,3
150,5.0,69,418,349,331.0,334.99999999999994,2.1847319230403173,4.000000000000057,3
160,5.333333333333333,104,577,473,330.00404030277105,334.99999999999994,4.9869301227302,4.959829022455949,2
165,5.5,105,464,359,330.00175468365813,334.99999999999994,7.649058331997992,4.000000000000057,2
170,5.666666666666667,156,479,323,330.0,334.99999999999994,9.0,4.000000000000057,2
180,6.0,195,491,296,328.0883275240026,322.0061568013609,10.684055141008685,16.993843198639127,2
185,6.166666666666667,223,491,268,328.03645185556456,318.981447563431,9.963548144435379,21.00057652068398,2
190,6.333333333333333,239,491,252,327.3971869819187,322.14303561163797,11.602813018081292,18.386902531283567,2
210,7.0,312,686,374,327.0007749384989,334.99999999999994,11.999225061501079,3.869027526936577,2
215,7.166666666666667,329,704,375,327.00105205747957,335.27446373204157,11.99894794252043,3.7255362679584323,2
250,8.333333333333334,451,764,313,328.0887177553959,336.00000000000006,10.911282244604081,2.226102294341956,2
255,8.5,469,724,255,327.1142225757432,334.99999999999994,11.885777424256787,2.020633942891436,2
260,8.666666666666666,486,851,365,327.0161612110842,335.0405569835309,11.815076805779142,2.430784912933575,2
265,8.833333333333334,180,505,325,315.6906588767059,327.00230485226234,15.721871727380574,11.913620981717088,2
270,9.0,101,516,415,327.00368557457176,327.01296199735674,3.9963144254282383,11.497116929215736,2
275,9.166666666666666,180,533,353,312.8518627582325,327.6785872099243,18.148137241767472,11.238200666897114,2
280,9.333333333333334,144,557,413,327.0,329.87271123448033,6.623193600678405,8.980961020589689,2
285,9.5,151,585,434,327.0,330.31790822602227,7.295989815776977,8.573739574914498,2
290,9.666666666666666,180,587,407,310.3055905700446,330.0013768832681,26.993343687720824,8.96895369870083,2
295,9.833333333333334,209,608,399,327.0,331.0,11.361403801559163,7.844054436169131,3
300,10.0,181,623,442,308.91538132930305,331.0,29.997768430069016,7.983838788915875,3
305,10.166666666666666,244,638,394,327.0,331.0,11.988396487125783,8.0,2
310,10.333333333333334,277,665,388,326.0923211423625,331.0,12.907678857637507,7.980332279356503,2
