start_frame,end_frame,center_s,incident_rms,reflected_rms,reflection_energy_ratio,reflection_amplitude_ratio
0,27,0.43333333333333335,0.0019582523250818197,0.0015476442188807863,0.6246042828510556,0.790319101914572
3,30,0.5333333333333333,0.0021686644014216176,0.0014691458974982815,0.45892863052929483,0.67744271383586
6,33,0.6333333333333333,0.0022402562031338656,0.0014755132147781223,0.4338012806363604,0.6586359241920838
9,36,0.7333333333333333,0.002294381564638335,0.001505543496572735,0.43058145951580434,0.6561870613748829
12,39,0.8333333333333334,0.0024948820128776754,0.0015933885971064698,0.40789030782541186,0.6386629062544746
15,42,0.9333333333333333,0.0026018349804211604,0.0016536431213657447,0.40394671512719643,0.6355680255701953
18,45,1.0333333333333334,0.002752592610899674,0.0017176863888012438,0.3894071030444159,0.624024921813557
21,48,1.1333333333333333,0.0029603355748423514,0.0016695388688344995,0.31806155686950266,0.5639694644832313
24,51,1.2333333333333334,0.0030651235588711164,0.0015570458906808344,0.25805177640871385,0.5079879687637433
27,54,1.3333333333333333,0.003101376758313501,0.0015555985661349075,0.25158573475834717,0.5015832281469818
30,57,1.4333333333333333,0.003049738865501596,0.0015809478948480612,0.26872607225510164,0.5183879553530364
33,60,1.5333333333333334,0.003079875430544244,0.0016320303349615967,0.28079550490216165,0.5299014105493225
36,63,1.6333333333333333,0.003143069195022322,0.0016481173781251915,0.274959287079876,0.5243656044020012
39,66,1.7333333333333334,0.00310800156962171,0.0016397818338431504,0.27836182984101443,0.5276000661874621
42,69,1.8333333333333333,0.0031319934232482594,0.0016286730702072363,0.27041211693093703,0.5200116507646122
45,72,1.9333333333333333,0.003111045499213993,0.0015866388335578534,0.26010184553651744,0.5100018093463173
48,75,2.033333333333333,0.0029902379522777963,0.0015373435380011476,0.26432020035761966,0.5141208032725574
51,78,2.1333333333333333,0.0028531133574994354,0.0014776785738702825,0.2682389857366877,0.517917933399383
54,81,2.2333333333333334,0.0027980076436685507,0.0014280618935062228,0.2604931263248376,0.5103852724411605
57,84,2.3333333333333335,0.002797631658419629,0.0014438506198151601,0.26635659813930657,0.5160974696114161
60,87,2.433333333333333,0.0027623723396052644,0.0014601191115960691,0.2793908234748792,0.5285743310783065
63,90,2.533333333333333,0.0026889087740834955,0.0014167958992312294,0.2776274766252652,0.5269036692083907
66,93,2.6333333333333333,0.0026477157388662942,0.0013719289402574933,0.2684853052478968,0.5181556766531626
69,96,2.7333333333333334,0.0026455733142454955,0.0013725686161537218,0.2691711602762392,0.5188170778571569
72,99,2.8333333333333335,0.0026227566176489766,0.001410629087959803,0.28927419053731257,0.5378421613608518
75,102,2.933333333333333,0.0026635840804331845,0.001448431188836188,0.2957078914611065,0.5437903009994813
78,105,3.033333333333333,0.0027795939016827297,0.00145567880865471,0.2742637558475881,0.523701972354113
81,108,3.1333333333333333,0.002901562220917231,0.0015100755192604949,0.27085294250615705,0.5204353394093805
84,111,3.2333333333333334,0.0029938267703303123,0.001643157772953803,0.3012348375724529,0.5488486472356955
87,114,3.3333333333333335,0.003088062352025418,0.0016889659478365494,0.29913667757955914,0.5469338877593517
90,117,3.433333333333333,0.0030620288967580737,0.0017290256452632108,0.31884844256118955,0.5646666649990856
