track_id,n_frames,frame_start,frame_end,time_start_s,time_end_s,x_start_px,x_end_px,velocity_px_s,velocity_cm_s,intercept_px,rmse_px,valid_for_spacing
0,10,21,32,0.7,1.0666666666666667,290.0,1093.0,2246.6237942122175,67.66939139193425,-1326.0289389067498,47.55883139575555,True
1,12,35,47,1.1666666666666667,1.5666666666666667,327.0,1098.0,1945.2716514254982,58.59251962124994,-1958.6869284561599,13.653657374183261,True
2,13,49,61,1.6333333333333333,2.033333333333333,301.0,1014.0,1820.60439560439,54.83748179531295,-2677.8516483516373,10.141580170350535,True
3,14,63,76,2.1,2.533333333333333,298.0,1047.0,1840.7472527472505,55.44419435985694,-3587.540659340652,22.519860413195836,True
4,15,78,92,2.6,3.066666666666667,307.0,1109.0,1796.892857142853,54.123278829604004,-4358.863095238084,23.532006235345307,True
5,11,94,106,3.1333333333333333,3.533333333333333,417.0,1080.0,1721.4120603015053,51.84976085245498,-4975.187437185922,34.082063783201875,True
