frame,time_s,interval_index,spacing_cm,valid
93,3.2068925925925926,1,7.968503937007874,True
94,3.241375308641975,1,14.141732283464567,True
98,3.379306172839506,1,11.244094488188976,True
99,3.4137888888888885,1,10.866141732283465,True
100,3.4482716049382716,1,5.102362204724409,True
100,3.4482716049382716,2,6.330708661417323,True
101,3.482754320987654,1,12.913385826771654,True
102,3.5172370370370367,1,6.456692913385827,True
104,3.5862024691358023,1,8.251968503937007,True
105,3.620685185185185,1,8.283464566929133,True
106,3.655167901234568,1,8.251968503937007,True
107,3.6896506172839505,1,8.535433070866143,True
107,3.6896506172839505,2,9.88976377952756,True
108,3.724133333333333,1,7.559055118110236,True
109,3.7586160493827157,1,7.496062992125984,True
109,3.7586160493827157,2,9.354330708661417,True
110,3.7930987654320987,1,8.503937007874017,True
111,3.8275814814814813,1,9.007874015748031,True
111,3.8275814814814813,2,12.220472440944881,True
111,3.8275814814814813,3,6.582677165354331,True
112,3.862064197530864,1,9.5748031496063,True
112,3.862064197530864,2,10.11023622047244,True
112,3.862064197530864,3,8.566929133858268,True
113,3.896546913580247,1,9.88976377952756,True
113,3.896546913580247,2,11.149606299212598,True
113,3.896546913580247,3,8.409448818897637,True
114,3.9310296296296294,1,9.795275590551181,True
114,3.9310296296296294,2,5.732283464566929,True
114,3.9310296296296294,3,6.047244094488189,True
115,3.965512345679012,1,9.511811023622048,True
115,3.965512345679012,2,5.732283464566929,True
115,3.965512345679012,3,6.519685039370079,True
116,3.999995061728395,1,8.598425196850394,True
116,3.999995061728395,2,13.259842519685039,True
117,4.034477777777777,1,9.133858267716535,True
117,4.034477777777777,2,6.834645669291339,True
117,4.034477777777777,3,6.519685039370079,True
118,4.06896049382716,1,7.748031496062992,True
118,4.06896049382716,2,14.11023622047244,True
119,4.103443209876543,1,8.188976377952756,True
119,4.103443209876543,2,7.118110236220472,True
119,4.103443209876543,3,15.811023622047244,False
120,4.137925925925925,1,9.637795275590552,True
120,4.137925925925925,2,6.110236220472441,True
120,4.137925925925925,3,15.37007874015748,False
121,4.172408641975308,1,9.165354330708661,True
121,4.172408641975308,2,6.488188976377953,True
121,4.172408641975308,3,13.952755905511811,True
122,4.206891358024691,1,7.118110236220472,True
122,4.206891358024691,2,8.598425196850394,True
122,4.206891358024691,3,6.299212598425197,True
122,4.206891358024691,4,7.4015748031496065,True
123,4.2413740740740735,1,8.15748031496063,True
123,4.2413740740740735,2,7.811023622047244,True
123,4.2413740740740735,3,5.7637795275590555,True
124,4.2758567901234565,1,8.661417322834646,True
124,4.2758567901234565,2,8.62992125984252,True
124,4.2758567901234565,3,4.78740157480315,False
125,4.31033950617284,1,9.606299212598426,True
125,4.31033950617284,2,9.291338582677165,True
125,4.31033950617284,3,8.15748031496063,True
125,4.31033950617284,4,4.818897637795276,False
126,4.344822222222222,1,9.637795275590552,True
126,4.344822222222222,2,9.700787401574804,True
126,4.344822222222222,3,8.976377952755906,True
127,4.379304938271605,1,9.543307086614174,True
127,4.379304938271605,2,10.4251968503937,True
127,4.379304938271605,3,9.32283464566929,True
128,4.413787654320988,1,10.173228346456693,True
128,4.413787654320988,2,9.448818897637794,True
128,4.413787654320988,3,10.078740157480315,True
129,4.44827037037037,1,7.559055118110236,True
129,4.44827037037037,2,12.15748031496063,True
129,4.44827037037037,3,10.4251968503937,True
