component,n,mean_cm,median_cm,std_cm,min_cm,max_cm
direct_raw_broad_peak_distance,6,24.000903359222985,22.827278652665385,4.681985646702335,17.22057863271249,30.102639392842367
direct_raw_local_peak_distance,18,10.494021862742535,10.379069679793766,1.7904905521756955,8.076317885884539,14.717587552376367
separated_incident_profile_peak_distance,9,23.023809804158446,22.259934007789198,3.501701297192802,17.087085775094558,28.500725101427253
