time_s,mean_eta_cm,rms_eta_cm,max_eta_cm,min_eta_cm
0.0,0.013084634766934,0.04853871726146053,0.09529752611176706,-0.06143940624343809
0.03333333333333333,0.013686374917087974,0.04874505172914149,0.09521186583924482,-0.050528626965630666
0.06666666666666667,0.013664678765630753,0.048869829049651634,0.09635988597622189,-0.05154017648756236
0.1,0.013416089913660518,0.049128302172378555,0.0947698075526413,-0.0499698993557129
0.13333333333333333,0.013783608050639273,0.049358968568028586,0.09344613265645203,-0.05021478872459664
0.16666666666666666,0.014248422030095945,0.049270857293571224,0.0939950813633422,-0.0492724944653842
0.2,0.012417404383636721,0.047374450596769334,0.089648589242622,-0.05176117484050975
0.23333333333333334,0.010446235246001067,0.04563868600741412,0.08562823848765837,-0.0547370907424728
0.26666666666666666,0.0034216721397935346,0.04393835924673835,0.0742956803187318,-0.06606964891139937
0.3,0.0028397522586582034,0.04376023904955191,0.07320467643404123,-0.06716065279608993
0.3333333333333333,0.0005172407661865888,0.04360585741042337,0.0702420968465953,-0.0700266858313197
0.36666666666666664,-0.0013347543854576019,0.04355433306795468,0.067126817486247,-0.072212717072848
0.4,-0.001025441924128329,0.04389594895484161,0.07033623066947639,-0.07209963880461717
0.43333333333333335,-0.0004982955608665036,0.043877630554229496,0.07193024150545647,-0.0717030541708883
0.4666666666666667,0.0013500597821485716,0.04379028333914319,0.07376517895441909,-0.0698681167219257
0.5,0.00047794151650328964,0.04348388448080917,0.07450524954661371,-0.0724134231455817
0.5333333333333333,0.0012974176959813634,0.04344596587180786,0.0754916252150617,-0.07142704747713371
0.5666666666666667,0.0017655102725203913,0.043281997898807864,0.07096084239849518,-0.07185296317853504
0.6,0.0012261884122777749,0.043043988421384516,0.06840341410688831,-0.07214393105857332
0.6333333333333333,0.0021088828671772196,0.04258511242180095,0.06727564703611683,-0.06850503726671098
0.6666666666666666,0.0034896868323545274,0.04118811953367785,0.06652322780964368,-0.0697520825703519
0.7,0.0074127385293042474,0.038700039979954276,0.07527521938565493,-0.06047886885494058
0.7333333333333333,0.007742715756653005,0.04005166833175281,0.08176222253044779,-0.0608151190968278
0.7666666666666667,0.011956478106649598,0.042490003410970485,0.09000736965618115,-0.052569971971094434
0.8,0.011708798433422065,0.043095211811193926,0.09153323765354354,-0.05075900380991089
0.8333333333333334,0.012285335126658447,0.043137966068607723,0.09466803728507976,-0.04837871564202768
0.8666666666666667,0.011971318849002583,0.04284866147533416,0.09378955634092875,-0.04793341970403055
0.9,0.013100764621089486,0.04324299856843998,0.09698855648519614,-0.0486688290609511
0.9333333333333333,0.01373392136407889,0.04351042563960227,0.09988099735977785,-0.04795818968570379
0.9666666666666667,0.01202966979492862,0.044511105010919746,0.10062438087411837,-0.05580694375106116
1.0,0.012515453455231699,0.04516644212625735,0.10276191607328757,-0.053669408551891964
1.0333333333333334,0.012878918627536703,0.04536423690641723,0.10640467639990787,-0.06642590106514448
1.0666666666666667,0.014364597144403213,0.045574985211816285,0.1109958198052236,-0.0654780438750672
1.1,0.0059253092270265435,0.03625936863927397,0.09888007541084196,-0.12735483398588365
1.1333333333333333,0.0031797225156141988,0.0338306452182016,0.07722039020183881,-0.12735483398588365
1.1666666666666667,0.0007691382905134844,0.033558385325393514,0.07722039020183881,-0.12735483398588365
1.2,-0.00230976271393347,0.03379530832507874,0.07722039020183881,-0.12735483398588365
1.2333333333333334,-0.005453089547154223,0.03254862707939659,0.06773033026610199,-0.12693011326525813
1.2666666666666666,-0.006909204734043529,0.03109166563474899,0.06958075690360803,-0.12490946259330821
1.3,-0.009589214067483441,0.028088156428215546,0.03876651364812609,-0.12376569915122441
1.3333333333333333,-0.011774611364819575,0.028250139450927518,0.024237728679575875,-0.12293306803637306
1.3666666666666667,-0.0106905829889079,0.027550710905601072,0.014768085994195549,-0.11986839308715358
1.4,-0.009384699254830122,0.026948182268239793,0.016459588093224963,-0.11745668712599058
1.4333333333333333,-0.008528464091592632,0.027080054897440278,0.018693242184039165,-0.11522303303517638
1.4666666666666666,-0.007840787201273614,0.027091564266786543,0.020324225300489402,-0.11359204991872614
1.5,-0.007761283370777971,0.02697530331977583,0.02118493632503925,-0.11273133889417629
1.5333333333333334,-0.006984909694932877,0.027070414001749282,0.022491851073276038,-0.1114244241459395
1.5666666666666667,-0.0066264497460122454,0.02734801847749136,0.02339798861510538,-0.11051828660411016
1.6,-0.007730802442609403,0.02794123541195929,0.028079092519173662,-0.1126768230153938
1.6333333333333333,-0.007735714611291081,0.027946638015421608,0.028079092519173662,-0.1126768230153938
1.6666666666666667,-0.007761869803598775,0.028082637633511615,0.02805613640733979,-0.11269977912722767
1.7,-0.007541467801741082,0.027980153053799466,0.028468867368559095,-0.11228704816600837
1.7333333333333334,-0.00662668518805818,0.0274576414028086,0.0295468431437014,-0.11120907239086607
1.7666666666666666,-0.005385306685937651,0.026678020697538857,0.026028621540937665,-0.10793709760272524
1.8,-0.003863752943494487,0.026130925364709512,0.02770680396092742,-0.10438777767463042
1.8333333333333333,-0.005365140207072745,0.030222590299138177,0.027277994803893233,-0.1035116089369792
1.8666666666666667,-0.008966480336844246,0.03592110007489491,0.027569237971318463,-0.10921835442748712
1.9,-0.008470927545347083,0.03522336944033374,0.027059895927667877,-0.11042588502004384
1.9333333333333333,-0.006109123769881828,0.03388200867239938,0.0889071223065537,-0.10972469452951156
1.9666666666666666,0.0013625699673411892,0.03308986336701922,0.16838480755545823,-0.0803611082339454
2.0,0.005503038071022516,0.04744888532394271,0.27152785702735593,-0.07391152037086851
2.033333333333333,0.01676591847642513,0.07490677233223235,0.29873011836443225,-0.08359502655615893
2.066666666666667,0.0306822533726829,0.09768358627871417,0.3005185267764429,-0.08623082892849954
2.1,0.0431652538018749,0.10797496866561529,0.3003224992938046,-0.08642685641113786
2.1333333333333333,0.03869329744129477,0.09824542968538184,0.29165510647369186,-0.0864267842086049
2.1666666666666665,0.020250229054303723,0.08625148411155653,0.2651200084246116,-0.295643216722873
2.2,-0.02105027348262644,0.14610553046657457,0.18260658025712098,-0.5653693337594292
2.2333333333333334,-0.06419326199614796,0.21031849121730098,0.18265815539173122,-0.645972984376076
2.2666666666666666,-0.13151693986689622,0.29944339722124924,0.14201350204886554,-0.797584466427371
2.3,-0.13151693986689622,0.29944339722124924,0.14201350204886554,-0.797584466427371
2.3333333333333335,-0.14259374869611033,0.2877236769791799,0.13022531183462008,-0.7492276860411069
