start_frame,end_frame,start_s,end_s,mean_ref_to_inc_amplitude_ratio,std_ref_to_inc_amplitude_ratio,energy_ratio,incident_rms_cm,usable_signal,score
0,28,0.0,0.9655142426490784,0.5860402584075928,0.3523179590702057,0.19136484076695154,0.11705385148525238,False,0.9769674420356751
1,29,0.034482650458812714,0.9999969005584717,0.5599471926689148,0.35617828369140625,0.10094685483966002,0.11812829971313477,False,0.9524185061454773
2,30,0.06896530091762543,1.0344796180725098,0.533220648765564,0.3582020699977875,0.08391053017763288,0.12597741186618805,False,0.926501476764679
3,31,0.10344795882701874,1.0689622163772583,0.5058832764625549,0.3573915660381317,0.06586610631976089,0.13312186300754547,False,0.8988399028778076
4,32,0.13793060183525085,1.1034448146820068,0.47773733735084534,0.3526192009449005,0.059710753732061486,0.14228853583335876,False,0.8687850177288056
5,33,0.17241325974464417,1.137927532196045,0.4484598636627197,0.3426245450973511,0.05288170845112323,0.1514013558626175,False,0.8355096817016602
6,34,0.20689591765403748,1.1724101305007935,0.4178459048271179,0.32605329155921936,0.04993682015464574,0.1608067899942398,True,0.5482672214508056
7,35,0.2413785606622696,1.2068928480148315,0.3860567808151245,0.30171576142311096,0.047002675150399534,0.16940619051456451,True,0.5067430853843689
8,36,0.2758612036705017,1.24137544631958,0.353774756193161,0.2691635489463806,0.04539955289420867,0.178474560379982,True,0.46144017577171326
9,37,0.310343861579895,1.2758581638336182,0.32220637798309326,0.2294447273015976,0.04472499037135993,0.18667109310626984,True,0.4139842689037323
10,38,0.34482651948928833,1.3103407621383667,0.2928873300552368,0.1855640858411789,0.04373489315066652,0.1953924298286438,True,0.3671129643917084
11,39,0.37930917739868164,1.3448234796524048,0.26732295751571655,0.14219653606414795,0.04230254029543086,0.2035953849554062,True,0.3242015719413757
12,40,0.41379183530807495,1.3793060779571533,0.24662338197231293,0.10472869127988815,0.04103588230234503,0.21178452670574188,True,0.28851485848426817
13,41,0.4482744634151459,1.4137886762619019,0.23126602172851562,0.07780423760414124,0.039160167776289036,0.21921904385089874,True,0.26238771677017214
14,42,0.4827571213245392,1.44827139377594,0.22097694873809814,0.06294140964746475,0.03714882427448616,0.22659359872341156,True,0.24615351259708404
15,43,0.5172398090362549,1.4827539920806885,0.21472035348415375,0.05686553567647934,0.03593964250092187,0.23527891933918,True,0.23746656775474548
16,44,0.5517224073410034,1.5172367095947266,0.21091334521770477,0.054713260382413864,0.038415301824042715,0.24176345765590668,True,0.23279864937067032
17,45,0.5862050652503967,1.551719307899475,0.2079266607761383,0.05373577028512955,0.03980840158959193,0.2468915432691574,True,0.22942096889019012
18,46,0.62068772315979,1.5862020254135132,0.20463579893112183,0.05296356976032257,0.03781582072435413,0.2536446154117584,True,0.22582122683525085
19,47,0.6551703810691833,1.6206846237182617,0.2006465345621109,0.051846396178007126,0.035806893567270716,0.25948479771614075,True,0.22138509303331375
20,48,0.6896530389785767,1.6551673412322998,0.19611069560050964,0.04970188066363335,0.03479855009137021,0.2652953267097473,True,0.21599144786596297
21,49,0.72413569688797,1.6896499395370483,0.19141916930675507,0.04599379375576973,0.03358243746105406,0.2710324227809906,True,0.20981668680906296
22,50,0.7586183547973633,1.7241326570510864,0.1870342642068863,0.040792956948280334,0.032693360606888655,0.2763455808162689,True,0.20335144698619842
23,51,0.7931010127067566,1.758615255355835,0.18345829844474792,0.034907955676317215,0.032080388108175366,0.28080710768699646,True,0.19742148071527482
24,52,0.8275836706161499,1.7930978536605835,0.18123012781143188,0.0299841295927763,0.03169390160237408,0.2846057415008545,True,0.1932237796485424
25,53,0.8620663285255432,1.8275805711746216,0.180880606174469,0.029009725898504257,0.031510336355657226,0.28801244497299194,True,0.1924844965338707
26,54,0.8965489268302917,1.8620631694793701,0.18278154730796814,0.03454294055700302,0.031757102644733706,0.29018327593803406,True,0.19659872353076935
27,55,0.9310315847396851,1.8965458869934082,0.18691332638263702,0.044587392359972,0.0337415184391999,0.2903437912464142,True,0.2047482833266258
28,56,0.9655142426490784,1.9310284852981567,0.19276063144207,0.05483437329530716,0.03810464470794661,0.28943851590156555,True,0.21469438076019287
29,57,0.9999969005584717,1.9655112028121948,0.1995071917772293,0.06238098070025444,0.04081501871641354,0.28945913910865784,True,0.22445958405733107
30,58,1.0344796180725098,1.9999938011169434,0.2063814401626587,0.06653668731451035,0.04202061469982383,0.28784263134002686,True,0.23299611508846282
31,59,1.0689622163772583,2.0344765186309814,0.21288345754146576,0.0681442990899086,0.045193259500163334,0.2849922180175781,True,0.2401411771774292
32,60,1.1034448146820068,2.0689592361450195,0.21884818375110626,0.06852751225233078,0.04732121142628383,0.2840021848678589,True,0.24625918865203858
33,61,1.137927532196045,2.1034417152404785,0.22443653643131256,0.06879424303770065,0.048158958693228754,0.28298890590667725,True,0.2519542336463928
34,62,1.1724101305007935,2.1379244327545166,0.23005394637584686,0.06972318887710571,0.05056608068332951,0.2810192406177521,True,0.25794322192668917
35,63,1.2068928480148315,2.1724071502685547,0.23619171977043152,0.07198423147201538,0.05365694316089084,0.27947571873664856,True,0.26498541235923767
36,64,1.24137544631958,2.2068896293640137,0.2432844191789627,0.076235830783844,0.05556349224051915,0.2775731682777405,True,0.2737787514925003
37,65,1.2758581638336182,2.2413723468780518,0.2516472637653351,0.08290446549654007,0.05893545830703691,0.27489033341407776,True,0.2848090499639511
38,66,1.3103407621383667,2.27585506439209,0.26148149371147156,0.0919002890586853,0.06285477545907628,0.27243754267692566,True,0.2982416093349457
39,67,1.3448234796524048,2.310337781906128,0.2729324400424957,0.10270561277866364,0.06741467793818401,0.2694185674190521,True,0.3140146851539612
40,68,1.3793060779571533,2.344820261001587,0.2861424386501312,0.1147848591208458,0.07293412420131218,0.26639989018440247,True,0.33205638229846957
41,69,1.4137886762619019,2.379302978515625,0.3011683523654938,0.1277371048927307,0.07790016519362968,0.26328539848327637,True,0.35226319432258607
42,70,1.44827139377594,2.413785696029663,0.3177376091480255,0.14094316959381104,0.08723755678219054,0.25945305824279785,True,0.3741148769855499
43,71,1.4827539920806885,2.448268175125122,0.3350813388824463,0.15316863358020782,0.09963735005316537,0.25528690218925476,True,0.3963487923145294
44,72,1.5172367095947266,2.48275089263916,0.3521393835544586,0.16278232634067535,0.11692896448531058,0.25045713782310486,True,0.41725231409072877
45,73,1.551719307899475,2.5172336101531982,0.3680838942527771,0.16857963800430298,0.13384845290109032,0.2480168491601944,True,0.4355157494544983
46,74,1.5862020254135132,2.5517163276672363,0.38272762298583984,0.1703757792711258,0.14211345226555558,0.24766992032527924,True,0.45087793469429016
47,75,1.6206846237182617,2.5861988067626953,0.39648282527923584,0.16882894933223724,0.15474054621039243,0.24616709351539612,True,0.46401440501213076
48,76,1.6551673412322998,2.6206815242767334,0.41001930832862854,0.16497653722763062,0.16955896270556486,0.24504326283931732,True,0.4760099232196808
49,77,1.6896499395370483,2.6551642417907715,0.4240085780620575,0.16002175211906433,0.18050774817077017,0.24436023831367493,True,0.4880172789096832
50,78,1.7241326570510864,2.6896469593048096,0.43909600377082825,0.15531086921691895,0.19537343867676024,0.2428249716758728,True,0.5012203514575958
51,79,1.758615255355835,2.7241294384002686,0.45593422651290894,0.152438685297966,0.21110679877963903,0.24030669033527374,True,0.5169097006320953
52,80,1.7930978536605835,2.7586121559143066,0.4751017391681671,0.15345332026481628,0.22719416077906943,0.23788899183273315,True,0.5364830672740937
53,81,1.8275805711746216,2.7930948734283447,0.4968698024749756,0.16057756543159485,0.2499672784402304,0.23573829233646393,True,0.5611008286476136
54,82,1.8620631694793701,2.8275773525238037,0.5209411382675171,0.17469851672649384,0.28671933988637155,0.23488540947437286,True,0.5908205449581146
55,83,1.8965458869934082,2.862060070037842,0.5464113354682922,0.1937146782875061,0.3218135834145246,0.23375706374645233,True,0.6238972067832946
56,84,1.9310284852981567,2.89654278755188,0.5721267461776733,0.2132459580898285,0.3413128430424862,0.23068265616893768,True,0.6574251294136048
57,85,1.9655112028121948,2.931025505065918,0.5972310900688171,0.22925284504890442,0.35889817999947227,0.22999563813209534,True,0.688932228088379
58,86,1.9999938011169434,2.965507984161377,0.6214195489883423,0.23966506123542786,0.38487419161039743,0.2287760227918625,True,0.7172855734825134
59,87,2.0344765186309814,2.999990701675415,0.6447374820709229,0.24415862560272217,0.4170104344784893,0.22849443554878235,True,0.7424009323120118
60,88,2.0689592361450195,3.034473419189453,0.6672876477241516,0.24337464570999146,0.4480842807950622,0.2303260713815689,True,0.7646375060081482
61,89,2.1034417152404785,3.068956136703491,0.6891716122627258,0.23845426738262177,0.48148619885182126,0.2307988703250885,True,0.7845533192157745
62,90,2.1379244327545166,3.10343861579895,0.7105487585067749,0.23080645501613617,0.5126859764329135,0.2315494865179062,True,0.8028713405132294
63,91,2.1724071502685547,3.1379213333129883,0.7315912842750549,0.22190029919147491,0.5477368424029881,0.2325906902551651,True,0.8203514039516449
64,92,2.2068896293640137,3.1724040508270264,0.7523503303527832,0.2130475789308548,0.5847929452060567,0.23429593443870544,True,0.8375693619251251
65,93,2.2413723468780518,3.2068865299224854,0.7726784944534302,0.2051982283592224,0.6146678628803223,0.2357981652021408,True,0.8547577857971191
66,94,2.27585506439209,3.2413692474365234,0.792285680770874,0.1987917125225067,0.6550865223728818,0.23916228115558624,True,0.8718023657798767
67,95,2.310337781906128,3.2758519649505615,0.8108760118484497,0.19378063082695007,0.6846798283299999,0.2435649186372757,True,0.8883882641792298
68,96,2.344820261001587,3.3103346824645996,0.8282256722450256,0.1898992508649826,0.7098728182512063,0.24663813412189484,True,0.9041853725910187
69,97,2.379302978515625,3.3448171615600586,0.8441523313522339,0.1869635134935379,0.7380312805724899,0.2514715790748596,True,0.9189377367496491
