frame,time_s,source,peak_mode,distance_class,x1_cm,x2_cm,distance_cm
25,0.8620663285255432,incident_component,broad,local_8_17_5cm,10.590277671813965,27.74305534362793,17.15277862548828
25,0.8620663285255432,incident_component,local,local_8_17_5cm,10.625,27.74305534362793,17.11805534362793
26,0.8965489268302917,raw_direct,local,local_8_17_5cm,17.74305534362793,31.52777862548828,13.784723281860352
26,0.8965489268302917,incident_component,broad,broad_17_5_32cm,12.048611640930176,30.104167938232422,18.055557250976562
26,0.8965489268302917,incident_component,local,broad_17_5_32cm,12.083333969116211,30.06944465637207,17.98611068725586
27,0.9310315847396851,raw_direct,local,local_8_17_5cm,13.75,22.048612594604492,8.298612594604492
27,0.9310315847396851,incident_component,broad,broad_17_5_32cm,13.50694465637207,32.083335876464844,18.576391220092773
27,0.9310315847396851,incident_component,local,broad_17_5_32cm,13.541666984558105,31.875,18.333332061767578
28,0.9655142426490784,incident_component,broad,broad_17_5_32cm,15.034722328186035,36.35416793823242,21.319446563720703
28,0.9655142426490784,incident_component,local,broad_17_5_32cm,15.034722328186035,36.38888931274414,21.354167938232422
29,0.9999969005584717,incident_component,broad,broad_17_5_32cm,16.5625,37.395835876464844,20.833335876464844
29,0.9999969005584717,incident_component,local,broad_17_5_32cm,16.5625,37.395835876464844,20.833335876464844
32,1.1034448146820068,raw_direct,local,local_8_17_5cm,2.1875,11.597222328186035,9.409722328186035
32,1.1034448146820068,raw_direct,local,local_8_17_5cm,11.597222328186035,21.5625,9.965277671813965
33,1.137927532196045,raw_direct,local,broad_17_5_32cm,2.6736111640930176,22.916667938232422,20.243057250976562
34,1.1724101305007935,raw_direct,local,broad_17_5_32cm,3.4375,23.64583396911621,20.20833396911621
34,1.1724101305007935,raw_direct,local,local_8_17_5cm,23.64583396911621,35.6944465637207,12.048612594604492
34,1.1724101305007935,incident_component,broad,broad_17_5_32cm,3.715277910232544,24.236112594604492,20.52083396911621
34,1.1724101305007935,incident_component,local,broad_17_5_32cm,3.784722328186035,24.20138931274414,20.416667938232422
35,1.2068928480148315,raw_direct,broad,local_8_17_5cm,25.76388931274414,37.1875,11.42361068725586
35,1.2068928480148315,raw_direct,local,local_8_17_5cm,27.53472328186035,36.84027862548828,9.30555534362793
35,1.2068928480148315,incident_component,broad,broad_17_5_32cm,5.0,26.041667938232422,21.041667938232422
35,1.2068928480148315,incident_component,local,broad_17_5_32cm,5.034722328186035,26.07638931274414,21.041667938232422
36,1.24137544631958,incident_component,broad,broad_17_5_32cm,6.215278148651123,27.56944465637207,21.35416603088379
36,1.24137544631958,incident_component,local,broad_17_5_32cm,6.25,27.56944465637207,21.31944465637207
37,1.2758581638336182,incident_component,broad,broad_17_5_32cm,7.465278148651123,29.0625,21.59722137451172
37,1.2758581638336182,incident_component,local,broad_17_5_32cm,7.465278148651123,29.02777862548828,21.5625
38,1.3103407621383667,raw_direct,local,local_8_17_5cm,19.75694465637207,31.00694465637207,11.25
38,1.3103407621383667,incident_component,broad,broad_17_5_32cm,8.923611640930176,30.9375,22.01388931274414
38,1.3103407621383667,incident_component,local,local_8_17_5cm,8.958333969116211,20.38194465637207,11.42361068725586
38,1.3103407621383667,incident_component,local,local_8_17_5cm,20.38194465637207,30.9375,10.55555534362793
39,1.3448234796524048,incident_component,broad,broad_17_5_32cm,10.76388931274414,32.8125,22.04861068725586
39,1.3448234796524048,incident_component,local,local_8_17_5cm,10.76388931274414,21.07638931274414,10.3125
39,1.3448234796524048,incident_component,local,local_8_17_5cm,21.07638931274414,32.84722137451172,11.770832061767578
40,1.3793060779571533,raw_direct,broad,broad_17_5_32cm,12.083333969116211,36.49305725097656,24.40972328186035
40,1.3793060779571533,raw_direct,local,broad_17_5_32cm,12.361111640930176,36.84027862548828,24.479167938232422
40,1.3793060779571533,incident_component,broad,broad_17_5_32cm,12.32638931274414,34.30555725097656,21.979167938232422
40,1.3793060779571533,incident_component,local,local_8_17_5cm,12.361111640930176,22.11805534362793,9.756943702697754
40,1.3793060779571533,incident_component,local,local_8_17_5cm,22.11805534362793,34.30555725097656,12.187501907348633
41,1.4137886762619019,raw_direct,broad,broad_17_5_32cm,13.57638931274414,36.3194465637207,22.743057250976562
41,1.4137886762619019,raw_direct,local,broad_17_5_32cm,13.81944465637207,36.28472137451172,22.46527671813965
41,1.4137886762619019,incident_component,broad,broad_17_5_32cm,13.784722328186035,36.07638931274414,22.291667938232422
41,1.4137886762619019,incident_component,local,local_8_17_5cm,21.354167938232422,36.07638931274414,14.722221374511719
42,1.44827139377594,raw_direct,broad,broad_17_5_32cm,15.0,38.29861068725586,23.29861068725586
42,1.44827139377594,raw_direct,local,broad_17_5_32cm,15.416666984558105,38.1944465637207,22.77777862548828
42,1.44827139377594,incident_component,broad,broad_17_5_32cm,15.277778625488281,38.26388931274414,22.98611068725586
42,1.44827139377594,incident_component,local,local_8_17_5cm,22.77777862548828,38.29861068725586,15.520832061767578
43,1.4827539920806885,incident_component,broad,broad_17_5_32cm,17.25694465637207,40.27777862548828,23.02083396911621
43,1.4827539920806885,incident_component,local,broad_17_5_32cm,17.25694465637207,40.3125,23.05555534362793
44,1.5172367095947266,incident_component,local,broad_17_5_32cm,19.791667938232422,42.43055725097656,22.63888931274414
