start_s,end_s,center_s,raw_mean_cm,incident_mean_cm,incident_se_cm,incident_std_cm,left_over_right_energy
0.0,1.8,0.9,20.737644994902876,22.960593857517857,0.054893688645089554,0.40338458183904086,0.9773876929897005
0.6,2.4,1.5,21.787636875134293,22.811908820207446,0.04525513595378101,0.3325559739811344,1.4007063467041885
1.2,3.0,2.1,22.886393390116403,22.837251046107813,0.04907207806608835,0.36060465563981636,1.1178539439945583
1.8,3.6,2.7,23.882115318825498,22.872876501049536,0.05710221991934812,0.41961390594777753,0.9248813906657644
2.4,4.2,3.3,24.024777642620155,22.889124469560507,0.0571751071311335,0.4201495153807226,0.8621349338981995
3.0,4.8,3.9,23.609298429125978,22.838290484358506,0.06661536518230121,0.4895209611774074,0.8744955882063455
3.6,5.4,4.5,23.35860505005282,22.497983452614466,0.1068526767338754,0.7852036069456636,0.457906139626835
4.2,6.0,5.1,22.02496595280516,21.996955739170325,0.11821412930270488,0.8686928915370598,0.23496693470629937
4.8,6.6,5.699999999999999,21.333136829052123,21.344405533023888,0.08911307099446603,0.6548446600465611,0.13756297145048904
5.4,7.2,6.300000000000001,20.516847214130216,20.73930330556276,0.1096152081845915,0.8055039843035987,0.23709628848610237
6.0,7.8,6.9,20.26817068680205,20.12088654982551,0.08869761371126159,0.6517916849852395,0.0829233057711958
6.6,8.4,7.5,20.282662166637362,19.85598678174375,0.05313640858963956,0.3904712634259742,0.07313634232092951
7.2,9.0,8.1,19.93872943490482,20.118601922616655,0.07471341195274592,0.5490292086797557,0.05578443303377808
7.8,9.6,8.7,20.629454249949433,20.680835550974766,0.09368780979835736,0.6884619873746931,0.06524888801500084
8.4,10.2,9.3,21.156595586792143,21.200243719434567,0.068594438511552,0.5040641206380542,0.07443132745080976
9.0,10.8,9.9,21.564907796122917,21.266670389054337,0.058913371083599834,0.4329230945461707,0.06732595310794647
9.6,11.4,10.5,21.412078778694234,20.870953810243513,0.08409377596527266,0.6179605249765259,0.06712492432586571
10.2,12.0,11.1,21.00838170427116,20.375407931509052,0.05641210832419937,0.4145426421266997,0.05899031264176879
10.8,12.6,11.7,20.79431627002691,20.262694414686187,0.0364503580645681,0.267854334599801,0.039542689504430725
11.4,13.2,12.3,21.24450426865651,20.882681432581244,0.13270245713702183,0.975159922797778,0.0486785326151245
12.0,13.8,12.9,22.06132389384382,21.952443758881117,0.1594073583088335,1.1714000673049516,0.0653840854947043
12.6,14.4,13.5,22.581706901679812,22.71453159907208,0.07451359001731714,0.547560823336108,0.06044438045093992
13.2,15.0,14.1,22.437677539596606,22.732068958805264,0.05809010461871994,0.42687334626226864,0.08144814102919047
13.8,15.6,14.7,22.008794572942094,22.436584592842145,0.0543961208245421,0.39972822002073094,0.06429707824007676
14.4,16.2,15.3,21.73521991618733,22.296896694748916,0.044997579409442275,0.33066332764050116,0.043458285953985376
15.0,16.8,15.9,21.390028912845082,22.07004844775012,0.06867468058170513,0.5046537770213935,0.061388125675066144
15.6,17.4,16.5,21.435219034192205,21.940365045274905,0.07637114125138103,0.5612109814197093,0.09961809114317363
16.2,18.0,17.1,21.64406415094123,22.04992406575984,0.09135558614140284,0.671323713597934,0.06393127277459873
16.8,18.6,17.700000000000003,22.044254881657302,22.370926033626024,0.07979136002523911,0.5863443538336287,0.08073256568854405
17.4,19.2,18.299999999999997,21.85502533000477,22.68976224788419,0.05378775469040989,0.39525766020449044,0.1274150006064239
18.0,19.8,18.9,21.555593464475713,22.576738048124202,0.05935527393361742,0.43617040404144486,0.09034769394799022
18.6,20.4,19.5,21.291151337818405,22.432460280680477,0.06844782318595469,0.5029867224294978,0.02200132490433415
19.2,21.0,20.1,21.309932350282352,22.084088309841604,0.06250291591495405,0.4593007542831582,0.14975099971041328
19.8,21.6,20.700000000000003,21.47220284081924,22.2252021760015,0.07201040138352834,0.5291662186879568,0.2206370707817716
20.4,22.2,21.299999999999997,22.004386298752994,22.270198984445372,0.07524558807376534,0.5529398885291293,0.04203061149648278
21.0,22.8,21.9,22.024084453657657,22.4369155556516,0.05524228928059018,0.4059462628820003,0.1916007715296685
21.6,23.4,22.5,21.872706297727138,22.089406090078683,0.056888386789089335,0.41804255977006916,0.23192646230577507
22.2,24.0,23.1,21.543297251428477,22.11490526773575,0.05289698998912263,0.388711903207381,0.07417843989033902
22.8,24.6,23.700000000000003,21.73643858571136,22.265621846398663,0.0702748976236995,0.5164129227131696,0.16366604442719576
23.4,25.2,24.299999999999997,22.02699598320282,22.659494406859952,0.05620885333590679,0.41304902909972313,0.4027344439016374
24.0,25.8,24.9,22.79779928844155,23.096537822234307,0.08322589671860949,0.6115829410384983,0.3003887798545892
24.6,26.4,25.5,22.929458039219842,23.21736727630063,0.07634774714524523,0.5610390705506456,0.20248116280279618
25.2,27.0,26.1,22.834227146110763,23.13092877758041,0.08251873956904908,0.6063864184853462,0.3866314936996367
25.8,27.6,26.700000000000003,22.181637575148397,22.661503812229927,0.06591829897991563,0.4843985916390545,0.2859479732215823
26.4,28.2,27.299999999999997,22.081213051537716,22.492398504265946,0.057298669247031364,0.42105750778718776,0.1692381105745551
27.0,28.8,27.9,22.251893452053285,22.427282399349377,0.05596414347480244,0.41125078621552413,0.47215198258817964
