frame,time_s,left_peak_x_px,right_peak_x_px,left_peak_x_cm,right_peak_x_cm,distance_cm,frame_quality_weight
0,0.0,663,1148,21.984061235469248,38.06591598539774,16.081854749928485,0.9014188262021182
1,0.034482758620689655,663,1142,21.984061235469248,37.86696520498625,15.882903969516999,0.9055592024150444
2,0.06896551724137931,664,1143,22.017219698871163,37.90012366838816,15.882903969516999,0.8993136257431651
3,0.10344827586206896,662,1146,21.950902772067334,37.99959905859391,16.04869628652657,0.8878116086794949
4,0.13793103448275862,418,1167,13.860237702000221,38.69592679003411,24.835689088033888,0.8256203051012176
5,0.1724137931034483,416,1145,13.793920775196392,37.96644059519199,24.1725198199956,0.8517046875750298
6,0.20689655172413793,570,1184,18.90032413909121,39.259620667866656,20.359296528775445,0.8038927404293459
8,0.27586206896551724,182,714,6.034840339148421,23.675142868966883,17.640302529818463,0.8130253107754452
9,0.3103448275862069,210,613,6.963277314402025,20.32613806537353,13.362860750971505,0.9030706516104317
10,0.3448275862068966,211,615,6.996435777803939,20.39245499217736,13.39601921437342,0.8873051886952394
10,0.3448275862068966,615,1033,20.39245499217736,34.252692694177576,13.860237702000221,0.8873051886952394
11,0.3793103448275862,211,610,6.996435777803939,20.226662675167788,13.230226897363847,0.8866310867935864
11,0.3793103448275862,610,1045,20.226662675167788,34.65059425500055,14.423931579832766,0.8866310867935864
12,0.41379310344827586,199,657,6.598534216980966,21.78511045505776,15.186576238076796,0.9142830424120305
12,0.41379310344827586,657,1046,21.78511045505776,34.68375271840247,12.898642263344703,0.9142830424120305
13,0.4482758620689655,198,652,6.565375753579052,21.61931813804819,15.053942384469138,0.9393365444358255
13,0.4482758620689655,652,1137,21.61931813804819,37.701172887976675,16.081854749928485,0.9393365444358255
14,0.4827586206896552,245,781,8.123823533469029,25.89675991689515,17.77293638342612,0.954279871007535
15,0.5172413793103449,596,1146,19.762444187540986,37.99959905859391,18.237154871052923,0.9449256470818713
16,0.5517241379310345,597,1140,19.7956026509429,37.80064827818242,18.00504562723952,0.9418239474920918
17,0.5862068965517241,601,1139,19.928236504550558,37.767489814780504,17.83925331022995,0.9477709122545798
18,0.6206896551724138,251,740,8.322774313880515,24.53726291741666,16.214488603536143,0.9381488149178309
18,0.6206896551724138,740,1139,24.53726291741666,37.767489814780504,13.230226897363847,0.9381488149178309
19,0.6551724137931034,566,1140,18.767690285483553,37.80064827818242,19.03295799269887,0.9623837506728321
20,0.6896551724137931,594,1127,19.696127260737157,37.36958825395753,17.673460993220377,0.7793869815162755
22,0.7586206896551724,619,1008,20.525088845785017,33.42373110912972,12.898642263344703,0.8028008745185049
24,0.8275862068965517,214,628,7.095911168009683,20.823515016402247,13.727603848392564,0.8854976934282495
25,0.8620689655172413,243,658,8.0575066066652,21.818268918459676,13.760762311794478,0.8841232464473819
27,0.9310344827586207,281,670,9.317528215937948,22.21617047928265,12.898642263344703,0.939794987644455
28,0.9655172413793104,290,728,9.615954386555178,24.139361356593685,14.52340697003851,0.8387458651799378
29,1.0,214,725,7.095911168009683,24.039885966387942,16.94397479837826,0.8095369865169891
30,1.0344827586206897,240,700,7.958031216459457,23.21092438134008,15.252893164880625,0.908889099997523
30,1.0344827586206897,700,1127,23.21092438134008,37.36958825395753,14.158663872617451,0.908889099997523
31,1.0689655172413792,255,692,8.455408167488173,22.945656674124766,14.490248506636595,0.9357609484443068
31,1.0689655172413792,692,1137,22.945656674124766,37.701172887976675,14.75551621385191,0.9357609484443068
32,1.103448275862069,265,731,8.786992801507317,24.23883674679943,15.451843945292111,0.9370277623261544
32,1.103448275862069,731,1145,24.23883674679943,37.96644059519199,13.727603848392564,0.9370277623261544
33,1.1379310344827587,253,669,8.389091240684344,22.183012015880735,13.793920775196392,0.9344082332517736
33,1.1379310344827587,669,1142,22.183012015880735,37.86696520498625,15.683953189105512,0.9344082332517736
34,1.1724137931034482,595,1134,19.72928572413907,37.601697497770935,17.872411773631864,0.887232243878267
35,1.206896551724138,649,1111,21.519842747842446,36.8390528395269,15.319210091684454,0.9061146888910867
37,1.2758620689655173,595,984,19.72928572413907,32.62792798748377,12.898642263344703,0.8734808385372163
