frame,time_s,left_peak_x_px,right_peak_x_px,left_peak_x_cm,right_peak_x_cm,distance_cm,frame_quality_weight
118,4.068965517241379,377,910,12.50074070252173,30.174201695742106,17.673460993220377,0.0
119,4.103448275862069,377,889,12.50074070252173,29.477873964301907,16.977133261780175,0.0
120,4.137931034482759,129,861,4.277441778846958,28.549436989048303,24.271995210201343,0.0
121,4.172413793103448,230,862,7.6264465824403125,28.582595452450217,20.956148870009905,0.0
122,4.206896551724138,208,856,6.896960387598196,28.38364467203873,21.486684284440532,0.0
123,4.241379310344827,407,897,13.495494604579163,29.74314167151722,16.247647066938057,0.3599602020172444
124,4.275862068965517,457,896,15.153417774674882,29.709983208115304,14.556565433440424,0.0
125,4.310344827586207,452,895,14.98762545766531,29.676824744713393,14.689199287048082,0.0
126,4.344827586206897,459,916,15.21973470147871,30.373152476153592,15.153417774674882,0.0
127,4.379310344827586,520,910,17.24240096899549,30.174201695742106,12.931800726746618,0.0
128,4.413793103448276,73,475,2.4205678283397516,15.750270115909341,13.32970228756959,0.0
128,4.413793103448276,475,914,15.750270115909341,30.306835549349763,14.556565433440424,0.0
129,4.448275862068965,471,1262,15.617636262301684,41.84598081321598,26.228344550914294,0.0
130,4.482758620689655,788,1262,26.12886916070855,41.84598081321598,15.717111652507427,0.0
131,4.517241379310345,365,826,12.102839141698757,27.3888907699813,15.28605162828254,0.0
131,4.517241379310345,826,1261,27.3888907699813,41.81282234981406,14.423931579832766,0.0
132,4.551724137931035,366,846,12.135997605100671,28.052060038019587,15.916062432918913,0.0
132,4.551724137931035,846,1261,28.052060038019587,41.81282234981406,13.760762311794478,0.0
133,4.586206896551724,366,896,12.135997605100671,29.709983208115304,17.573985603014634,0.0
134,4.620689655172414,116,965,3.8463817546220707,31.9979171828474,28.15153542822533,0.0
135,4.655172413793103,133,658,4.410075632454616,21.818268918459676,17.408193286005062,0.8755338996802303
135,4.655172413793103,658,1046,21.818268918459676,34.68375271840247,12.865483799942789,0.8755338996802303
