series,kind,frame_local,time_s,x1_cm,x2_cm,spacing_cm,prominence_threshold
direct_raw,crest,121,4.033333333333333,4.91338586807251,12.692913055419922,7.779527187347412,0.014395592639423188
direct_raw,crest,121,4.033333333333333,12.692913055419922,18.929134368896484,6.2362213134765625,0.014395592639423188
direct_raw,crest,121,4.033333333333333,18.929134368896484,28.724409103393555,9.79527473449707,0.014395592639423188
direct_raw,trough,121,4.033333333333333,9.0393705368042,16.34645652770996,7.307085990905762,0.014395592639423188
direct_raw,trough,121,4.033333333333333,16.34645652770996,24.377952575683594,8.031496047973633,0.014395592639423188
direct_raw,trough,121,4.033333333333333,24.377952575683594,31.275590896606445,6.897638320922852,0.014395592639423188
direct_raw,crest,122,4.066666666666666,5.102362155914307,12.818897247314453,7.7165350914001465,0.012377906680377708
direct_raw,crest,122,4.066666666666666,12.818897247314453,21.291337966918945,8.472440719604492,0.012377906680377708
direct_raw,crest,122,4.066666666666666,21.291337966918945,27.055118560791016,5.76378059387207,0.012377906680377708
direct_raw,crest,122,4.066666666666666,27.055118560791016,33.511810302734375,6.456691741943359,0.012377906680377708
direct_raw,trough,122,4.066666666666666,1.7637795209884644,9.574803352355957,7.811023712158203,0.012377906680377708
direct_raw,trough,122,4.066666666666666,9.574803352355957,17.57480239868164,7.999999046325684,0.012377906680377708
direct_raw,trough,122,4.066666666666666,17.57480239868164,24.031496047973633,6.456693649291992,0.012377906680377708
direct_raw,trough,122,4.066666666666666,24.031496047973633,30.20472526550293,6.173229217529297,0.012377906680377708
direct_raw,crest,123,4.1,5.102362155914307,13.480315208435059,8.377952575683594,0.013947617782459553
direct_raw,crest,123,4.1,13.480315208435059,21.858266830444336,8.377951622009277,0.013947617782459553
direct_raw,crest,123,4.1,25.57480239868164,33.511810302734375,7.937007904052734,0.013947617782459553
direct_raw,trough,123,4.1,10.141732215881348,17.9212589263916,7.779526710510254,0.013947617782459553
direct_raw,trough,123,4.1,17.9212589263916,24.283464431762695,6.362205505371094,0.013947617782459553
direct_raw,trough,123,4.1,24.283464431762695,29.732282638549805,5.448818206787109,0.013947617782459553
direct_raw,crest,124,4.133333333333334,7.77952766418457,16.0,8.22047233581543,0.014069641443252418
direct_raw,crest,124,4.133333333333334,16.0,23.023622512817383,7.023622512817383,0.014069641443252418
direct_raw,crest,124,4.133333333333334,23.023622512817383,33.54330825805664,10.519685745239258,0.014069641443252418
direct_raw,trough,124,4.133333333333334,10.992125511169434,21.417322158813477,10.425196647644043,0.014069641443252418
direct_raw,trough,124,4.133333333333334,25.00787353515625,30.677165985107422,5.669292449951172,0.014069641443252418
direct_raw,crest,125,4.166666666666667,1.5433070659637451,9.82677173614502,8.283464431762695,0.01183328461455719
direct_raw,crest,125,4.166666666666667,9.82677173614502,18.582677841186523,8.755906105041504,0.01183328461455719
direct_raw,crest,125,4.166666666666667,18.582677841186523,24.818897247314453,6.23621940612793,0.01183328461455719
direct_raw,trough,125,4.166666666666667,3.7165353298187256,12.188976287841797,8.472440719604492,0.01183328461455719
direct_raw,trough,125,4.166666666666667,12.188976287841797,20.78740119934082,8.598424911499023,0.01183328461455719
direct_raw,trough,125,4.166666666666667,20.78740119934082,27.87401580810547,7.086614608764648,0.01183328461455719
direct_raw,trough,125,4.166666666666667,27.87401580810547,34.67716598510742,6.803150177001953,0.01183328461455719
direct_raw,crest,126,4.2,1.5433070659637451,9.732283592224121,8.188976287841797,0.01182348315159908
direct_raw,crest,126,4.2,9.732283592224121,18.55118179321289,8.81889820098877,0.01182348315159908
direct_raw,crest,126,4.2,18.55118179321289,24.78740119934082,6.23621940612793,0.01182348315159908
direct_raw,trough,126,4.2,3.7165353298187256,12.188976287841797,8.472440719604492,0.01182348315159908
direct_raw,trough,126,4.2,12.188976287841797,20.78740119934082,8.598424911499023,0.01182348315159908
direct_raw,trough,126,4.2,20.78740119934082,27.842519760131836,7.055118560791016,0.01182348315159908
direct_raw,trough,126,4.2,27.842519760131836,34.67716598510742,6.834646224975586,0.01182348315159908
direct_raw,crest,127,4.233333333333333,2.2047243118286133,10.582676887512207,8.377952575683594,0.011126443219131409
direct_raw,crest,127,4.233333333333333,10.582676887512207,18.86614227294922,8.283465385437012,0.011126443219131409
direct_raw,crest,127,4.233333333333333,18.86614227294922,25.637794494628906,6.7716522216796875,0.011126443219131409
direct_raw,crest,127,4.233333333333333,25.637794494628906,30.834646224975586,5.19685173034668,0.011126443219131409
direct_raw,trough,127,4.233333333333333,6.39370059967041,14.330708503723145,7.937007904052734,0.011126443219131409
direct_raw,trough,127,4.233333333333333,14.330708503723145,23.401575088500977,9.070866584777832,0.011126443219131409
direct_raw,trough,127,4.233333333333333,23.401575088500977,28.472440719604492,5.070865631103516,0.011126443219131409
direct_raw,trough,127,4.233333333333333,28.472440719604492,34.74015808105469,6.267717361450195,0.011126443219131409
direct_raw,crest,128,4.266666666666667,11.716535568237305,21.165353775024414,9.44881820678711,0.01107231501940759
direct_raw,crest,128,4.266666666666667,21.165353775024414,26.960630416870117,5.795276641845703,0.01107231501940759
direct_raw,crest,128,4.266666666666667,26.960630416870117,33.41732406616211,6.456693649291992,0.01107231501940759
direct_raw,trough,128,4.266666666666667,6.582677364349365,15.401575088500977,8.818897247314453,0.01107231501940759
direct_raw,trough,128,4.266666666666667,15.401575088500977,23.77952766418457,8.377952575683594,0.01107231501940759
direct_raw,trough,128,4.266666666666667,23.77952766418457,31.307086944580078,7.527559280395508,0.01107231501940759
direct_raw,crest,129,4.3,4.755905628204346,12.881889343261719,8.125984191894531,0.01277525278780372
direct_raw,crest,129,4.3,12.881889343261719,21.259841918945312,8.377952575683594,0.01277525278780372
direct_raw,crest,129,4.3,21.259841918945312,32.97637939453125,11.716537475585938,0.01277525278780372
direct_raw,trough,129,4.3,9.448819160461426,16.598424911499023,7.149605751037598,0.01277525278780372
direct_raw,trough,129,4.3,16.598424911499023,24.44094467163086,7.842519760131836,0.01277525278780372
direct_raw,trough,129,4.3,24.44094467163086,31.307086944580078,6.866142272949219,0.01277525278780372
direct_raw,crest,130,4.333333333333333,5.259842395782471,13.259842872619629,8.0,0.015741776631525706
direct_raw,crest,130,4.333333333333333,13.259842872619629,22.89763832092285,9.637795448303223,0.015741776631525706
direct_raw,crest,130,4.333333333333333,22.89763832092285,32.69291305541992,9.79527473449707,0.015741776631525706
direct_raw,trough,130,4.333333333333333,3.118110179901123,9.448819160461426,6.330708980560303,0.015741776631525706
direct_raw,trough,130,4.333333333333333,9.448819160461426,17.385826110839844,7.937006950378418,0.015741776631525706
direct_raw,trough,130,4.333333333333333,17.385826110839844,26.393701553344727,9.007875442504883,0.015741776631525706
direct_raw,crest,131,4.366666666666666,5.700787544250488,13.354331016540527,7.653543472290039,0.01712326031013857
direct_raw,crest,131,4.366666666666666,13.354331016540527,23.842519760131836,10.488188743591309,0.01712326031013857
direct_raw,crest,131,4.366666666666666,23.842519760131836,32.69291305541992,8.850393295288086,0.01712326031013857
direct_raw,trough,131,4.366666666666666,3.1811022758483887,9.984251976013184,6.803149700164795,0.01712326031013857
direct_raw,trough,131,4.366666666666666,9.984251976013184,17.44881820678711,7.464566230773926,0.01712326031013857
direct_raw,trough,131,4.366666666666666,17.44881820678711,27.590551376342773,10.141733169555664,0.01712326031013857
direct_raw,crest,132,4.4,5.448818683624268,13.448819160461426,8.0,0.01662438437827686
direct_raw,crest,132,4.4,13.448819160461426,25.57480239868164,12.125983238220215,0.01662438437827686
direct_raw,crest,132,4.4,25.57480239868164,32.66141891479492,7.086616516113281,0.01662438437827686
direct_raw,trough,132,4.4,11.181102752685547,20.314960479736328,9.133857727050781,0.01662438437827686
direct_raw,trough,132,4.4,20.314960479736328,28.409448623657227,8.094488143920898,0.01662438437827686
direct_raw,crest,133,4.433333333333334,9.511811256408691,16.976377487182617,7.464566230773926,0.011050823281753962
direct_raw,crest,133,4.433333333333334,16.976377487182617,27.023622512817383,10.047245025634766,0.011050823281753962
direct_raw,crest,133,4.433333333333334,27.023622512817383,33.10236358642578,6.078741073608398,0.011050823281753962
direct_raw,trough,133,4.433333333333334,6.803149700164795,14.39370059967041,7.590550899505615,0.011050823281753962
direct_raw,trough,133,4.433333333333334,14.39370059967041,22.0787410736084,7.685040473937988,0.011050823281753962
direct_raw,trough,133,4.433333333333334,22.0787410736084,30.267717361450195,8.188976287841797,0.011050823281753962
direct_raw,crest,134,4.466666666666667,9.511811256408691,16.976377487182617,7.464566230773926,0.011080712658656539
direct_raw,crest,134,4.466666666666667,16.976377487182617,27.023622512817383,10.047245025634766,0.011080712658656539
direct_raw,crest,134,4.466666666666667,27.023622512817383,33.070865631103516,6.047243118286133,0.011080712658656539
direct_raw,trough,134,4.466666666666667,6.834645748138428,14.39370059967041,7.559054851531982,0.011080712658656539
direct_raw,trough,134,4.466666666666667,14.39370059967041,22.11023712158203,7.716536521911621,0.011080712658656539
direct_raw,trough,134,4.466666666666667,22.11023712158203,30.236221313476562,8.125984191894531,0.011080712658656539
direct_raw,crest,135,4.5,5.039370059967041,12.78740119934082,7.748031139373779,0.011117273522929893
direct_raw,crest,135,4.5,12.78740119934082,18.42519760131836,5.637796401977539,0.011117273522929893
direct_raw,crest,135,4.5,18.42519760131836,27.9055118560791,9.480314254760742,0.011117273522929893
direct_raw,crest,135,4.5,27.9055118560791,33.10236358642578,5.19685173034668,0.011117273522929893
direct_raw,trough,135,4.5,7.2125983238220215,15.307086944580078,8.094488143920898,0.011117273522929893
direct_raw,trough,135,4.5,15.307086944580078,22.20472526550293,6.897638320922852,0.011117273522929893
direct_raw,trough,135,4.5,22.20472526550293,30.740158081054688,8.535432815551758,0.011117273522929893
direct_raw,crest,136,4.533333333333333,5.007874011993408,13.16535472869873,8.157480239868164,0.013481596506120045
direct_raw,crest,136,4.533333333333333,13.16535472869873,19.77952766418457,6.61417293548584,0.013481596506120045
direct_raw,crest,136,4.533333333333333,19.77952766418457,27.33858299255371,7.559055328369141,0.013481596506120045
