处理版本,数据范围,页号,水位,视频序号,视频,NPZ路径,逐帧CSV路径,逐列CSV路径,审核PNG路径,宫格序号,帧号,时间_s,fps,视频总帧数,宽_px,ROI_top,ROI_bot,base_y,raw_y有效中位数,final_y有效中位数,final_y有效列,final_y_NaN列,final_y来源_raw列,final_y来源_空间插值列,final_y来源_无效NaN列,无效列数,无效列占比,修正列数,修正列占比,最长连续修正列,最长连续修正占比,最长连续无效列,最长连续无效占比,可靠性P10,可靠性中位数,风险等级,风险分,风险原因,整帧无效列,候选弱响应列,泡泡墙纹降权列,反光降权列,端部边界列,ROI边界列,局部跳变列,离群尖峰列,高水位上浮防护列,下方亮块防护列,备注
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,1,0,0.0000,29.000081,116,1280,197.00,300.00,236.00,236.5000,236.5000,1148,132,1148,0,132,132,0.1031,132,0.1031,63,0.0492,63,0.0492,0.0000,0.5055,低风险,26.67,候选弱响应481列；端部边界73列；高水位上浮防护59列；可靠性P10偏低,0,481,0,0,73,0,0,0,59,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；高水位采用偏下主边界防止整体上浮
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,2,16,0.5517,29.000081,116,1280,197.00,300.00,236.00,235.5000,235.4333,1204,76,1204,0,76,76,0.0594,76,0.0594,51,0.0398,51,0.0398,0.0000,0.4799,低风险,33.47,候选弱响应416列；泡泡/墙纹降权25列；端部边界78列；高水位上浮防护25列；可靠性P10偏低；端部弯折需核对,0,416,25,0,78,0,0,0,25,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；高水位采用偏下主边界防止整体上浮
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,3,33,1.1379,29.000081,116,1280,201.00,304.00,240.00,240.5000,240.5103,1226,54,1226,0,54,54,0.0422,54,0.0422,29,0.0227,29,0.0227,0.0000,0.4417,低风险,22.14,候选弱响应559列；端部边界59列；可靠性P10偏低,0,559,0,0,59,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；高水位采用偏下主边界防止整体上浮
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,4,49,1.6897,29.000081,116,1280,65.00,168.00,104.00,,,0,1280,0,0,1280,1280,1.0000,0,0.0000,0,0.0000,1280,1.0000,0.0000,0.0000,高风险,88.00,整帧无效1280列；高水位上浮防护1280列；无效列占比偏高；连续无效段偏长；可靠性P10偏低,1280,0,0,0,0,0,0,0,1280,0,高水位跨宫格一致性门禁：同视频候选分裂为上下两簇，本帧 base_y=104.0 明显偏上，按低可信整帧无效化
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,5,66,2.2759,29.000081,116,1280,188.00,291.00,227.00,226.5000,226.3304,1259,21,1259,0,21,21,0.0164,21,0.0164,21,0.0164,21,0.0164,0.0000,0.6352,低风险,20.68,候选弱响应284列；泡泡/墙纹降权90列；反光降权16列；可靠性P10偏低,0,284,90,16,0,0,0,0,0,0,regiondp_b：先以区域主水体灰绿边界建代价，再做列向动态规划；泡泡/墙纹/反光在候选阶段加代价，invalid_mask 列的 final_y_px 写 NaN；高水位采用偏下主边界防止整体上浮
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,6,82,2.8276,29.000081,116,1280,69.00,172.00,108.00,,,0,1280,0,0,1280,1280,1.0000,0,0.0000,0,0.0000,1280,1.0000,0.0000,0.0000,高风险,88.00,整帧无效1280列；高水位上浮防护1280列；无效列占比偏高；连续无效段偏长；可靠性P10偏低,1280,0,0,0,0,0,0,0,1280,0,高水位跨宫格一致性门禁：同视频候选分裂为上下两簇，本帧 base_y=108.0 明显偏上，按低可信整帧无效化
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,7,99,3.4138,29.000081,116,1280,67.00,170.00,106.00,,,0,1280,0,0,1280,1280,1.0000,0,0.0000,0,0.0000,1280,1.0000,0.0000,0.0000,高风险,88.00,整帧无效1280列；高水位上浮防护1280列；无效列占比偏高；连续无效段偏长；可靠性P10偏低,1280,0,0,0,0,0,0,0,1280,0,高水位跨宫格一致性门禁：同视频候选分裂为上下两簇，本帧 base_y=106.0 明显偏上，按低可信整帧无效化
batch_waterline_reprocess_v5_regiondp_b.0,v4_manifest抽样帧/回归集,0017,16,1,D:\虚拟C盘\5.6实验\16\81e2d919ff91e659deb65e7b8afa095a.mp4,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__同源final_y抽样帧数据.npz,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐帧汇总.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\同源数据\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__逐列数据.csv,D:\虚拟C盘\5.6实验\水线重处理_v5_regiondp_b_回归集_20260507_193627\审核图集\0017__水位_16cm__视频01_81e2d919ff91e659deb65e7b8afa095a__水线重处理_v5_regiondp_b__审核图.png,8,115,3.9655,29.000081,116,1280,89.00,192.00,128.00,,,0,1280,0,0,1280,1280,1.0000,0,0.0000,0,0.0000,1280,1.0000,0.0000,0.0000,高风险,88.00,整帧无效1280列；高水位上浮防护1280列；无效列占比偏高；连续无效段偏长；可靠性P10偏低,1280,0,0,0,0,0,0,0,1280,0,高水位跨宫格一致性门禁：同视频候选分裂为上下两簇，本帧 base_y=128.0 明显偏上，按低可信整帧无效化
