series,frame,time_s,period_cm,autocorr_value
direct_raw,66,2.2758606060606064,27.638468666614756,0.22079397347957685
direct_raw,67,2.3103433425160698,27.89637039600774,0.18694876162482602
direct_raw,68,2.3448260789715336,17.150465004633418,0.16060617631729385
direct_raw,69,2.3793088154269975,28.799026448883183,0.36406715992252975
direct_raw,70,2.4137915518824613,28.19725574696622,0.2685759872108976
direct_raw,71,2.4482742883379247,26.434927262780832,0.2684551284303614
direct_raw,72,2.4827570247933886,29.357813529234647,0.3158151713875367
direct_raw,73,2.5172397612488524,29.357813529234647,0.3158151713875367
direct_raw,74,2.5517224977043163,30.647322176199566,0.3320698480908484
direct_raw,75,2.5862052341597797,30.389420446806582,0.291532336603242
direct_raw,76,2.6206879706152435,27.638468666614756,0.2135749840535028
direct_raw,77,2.6551707070707073,28.283222990097215,0.2796279769384274
direct_raw,78,2.6896534435261708,27.767419531311248,0.305244207525558
direct_raw,79,2.7241361799816346,29.14289542140716,0.23057838938407504
direct_raw,80,2.7586189164370984,31.936830823164485,0.2085346307980222
direct_raw,81,2.7931016528925623,31.464010985944014,0.2417968674643347
direct_raw,82,2.8275843893480257,31.764896336902495,0.16955121004739285
direct_raw,83,2.8620671258034895,33.09738860543291,0.266824101616177
direct_raw,84,2.8965498622589534,33.09738860543291,0.266824101616177
direct_raw,85,2.9310325987144172,34.945684332749295,0.18265043727401828
direct_raw,86,2.9655153351698806,36.4501110875417,0.23183802097694212
direct_raw,87,2.9999980716253445,35.80535676405924,0.286514570997827
incident_separated,66,2.2758606060606064,28.111288503835226,0.2403206304018703
incident_separated,67,2.3103433425160698,29.357813529234647,0.22435847982521262
incident_separated,68,2.3448260789715336,28.02532126070423,0.28316555670280363
incident_separated,69,2.3793088154269975,28.36919023322821,0.3365775578808
incident_separated,70,2.4137915518824613,29.873616988020615,0.2954521508959101
incident_separated,71,2.4482742883379247,29.443780772365642,0.33780786926246115
incident_separated,72,2.4827570247933886,29.357813529234647,0.39545164652702475
incident_separated,73,2.5172397612488524,29.78764974488962,0.38322079491049343
incident_separated,74,2.5517224977043163,29.701682501758626,0.38072266212907907
incident_separated,75,2.5862052341597797,30.217485960544593,0.3370596955988638
incident_separated,76,2.6206879706152435,30.217485960544593,0.23744153516452718
incident_separated,77,2.6551707070707073,27.681452288180253,0.31078630037203747
incident_separated,78,2.6896534435261708,28.154272125400723,0.3369047565019446
incident_separated,79,2.7241361799816346,29.271846286103653,0.3238641298354959
incident_separated,80,2.7586189164370984,29.48676439393114,0.27894630305056345
incident_separated,81,2.7931016528925623,30.819256662461555,0.22861257489305437
incident_separated,82,2.8275843893480257,31.50699460750951,0.2592998189515311
incident_separated,83,2.8620671258034895,32.53860152508145,0.3170152070002508
incident_separated,84,2.8965498622589534,33.2263394701294,0.39339497138147184
incident_separated,85,2.9310325987144172,34.21496276613584,0.36147820678249526
incident_separated,86,2.9655153351698806,23.984860833547486,0.2381018823681009
incident_separated,87,2.9999980716253445,34.08601190143935,0.24979190265673284
