start_frame,end_frame,center_s,incident_rms,reflected_rms,reflection_energy_ratio,reflection_amplitude_ratio
0,27,0.43333333333333335,0.13130375977684974,0.0904961408352159,0.47501332741068675,0.6892121062566202
3,30,0.5333333333333333,0.11868000940807676,0.07045087602948528,0.3523851930278473,0.5936204115660506
6,33,0.6333333333333333,0.10712794706509356,0.05431765029497943,0.2570847908687755,0.5070352954861974
9,36,0.7333333333333333,0.09840146578182053,0.05076397879609273,0.2661387867138187,0.5158864087314364
12,39,0.8333333333333334,0.09572813749217067,0.0475142588915588,0.2463591521976567,0.49634579901280185
15,42,0.9333333333333333,0.0916342910653598,0.04546795318417372,0.24620380458830782,0.49618928302444
18,45,1.0333333333333334,0.09043751513171365,0.0443367606314647,0.24034255630983659,0.49024744396053366
21,48,1.1333333333333333,0.08806717625631513,0.043480510098907035,0.24375925718198743,0.49371981647690366
24,51,1.2333333333333334,0.08683064691344528,0.04260961028781197,0.24080696876980137,0.4907208664503695
27,54,1.3333333333333333,0.08489121368008677,0.04162217764781002,0.24039426997392993,0.49030018353446486
30,57,1.4333333333333333,0.08366237033724405,0.040666692520254316,0.23627478369746746,0.48608104642895456
33,60,1.5333333333333334,0.08232242830579325,0.03964987537721715,0.231978271527289,0.48164122698050776
36,63,1.6333333333333333,0.08111654319062583,0.03894464869703181,0.23050306876245752,0.480107351289748
39,66,1.7333333333333334,0.0807025375180529,0.0382749277872649,0.2249336233742871,0.474271676757412
42,69,1.8333333333333333,0.07969270608194397,0.0375141844502918,0.22159189449723388,0.4707354825135172
45,72,1.9333333333333333,0.0815524782618275,0.03954140722401486,0.23508770488738862,0.4848584379872012
48,75,2.033333333333333,0.08377852625269251,0.04746969736473738,0.3210461698553943,0.5666093626612556
51,78,2.1333333333333333,0.08394065146235624,0.050782223485432966,0.3659980351871657,0.6049777146202707
54,81,2.2333333333333334,0.08322487031493775,0.05067264640281681,0.3707156479640951,0.6088642278571595
57,84,2.3333333333333335,0.08491587279960922,0.05163967931541807,0.3698190831760621,0.6081275221333615
60,87,2.433333333333333,0.0893184175567996,0.05995847333786924,0.45062895360669986,0.6712890238985737
63,90,2.533333333333333,0.09260131204048173,0.0676550002408343,0.5337839604325632,0.7306052014820064
66,93,2.6333333333333333,0.09194297180819497,0.06907505687203407,0.5644239428628945,0.7512815336895314
69,96,2.7333333333333334,0.09218243812178434,0.07044325692414728,0.583959157607114,0.7641722041576192
