frame,time_s,incident_energy,reflected_energy,reflection_to_incident_ratio,in_low_reflection_window
83,2.7666666666666666,0.0048585366,0.0021619664,0.43440962,False
84,2.8,0.0055508157,0.0023492677,0.40990734,False
85,2.8333333333333335,0.006799121,0.0025258795,0.36443874,False
86,2.8666666666666667,0.008889085,0.0027049507,0.3074671,False
87,2.9,0.0118916845,0.0029047453,0.25555837,False
88,2.933333333333333,0.015115005,0.0031503155,0.22301234,False
89,2.966666666666667,0.017316256,0.0035369801,0.21508913,False
90,3.0,0.018056555,0.0040387367,0.22579154,False
91,3.033333333333333,0.017905802,0.0044019325,0.24310417,False
92,3.066666666666667,0.017232353,0.004475425,0.2591478,False
93,3.1,0.01619509,0.004428978,0.27300867,False
94,3.1333333333333333,0.015349086,0.0044154,0.28430268,False
95,3.1666666666666665,0.014941512,0.004376832,0.29180783,False
96,3.2,0.014473711,0.0042767483,0.29803225,False
97,3.2333333333333334,0.013598985,0.004136559,0.30784622,False
98,3.2666666666666666,0.012490696,0.0040049893,0.32363522,False
99,3.3,0.011427612,0.0039402973,0.3427541,False
100,3.3333333333333335,0.010717011,0.003913684,0.357841,False
101,3.3666666666666667,0.010537295,0.0038693426,0.3637697,False
102,3.4,0.010350542,0.0037380338,0.36477497,False
103,3.433333333333333,0.009494648,0.0034681624,0.36899105,False
104,3.466666666666667,0.008385053,0.0031654758,0.3796374,False
105,3.5,0.0074998667,0.0029332025,0.39779428,False
106,3.533333333333333,0.0064143306,0.0026978634,0.424491,False
107,3.566666666666667,0.005130961,0.0023878752,0.44883582,False
108,3.6,0.00433567,0.0020468747,0.44780883,False
109,3.6333333333333333,0.004102387,0.0017251705,0.41216093,False
110,3.6666666666666665,0.003965311,0.0014169276,0.3544258,True
111,3.7,0.0038991445,0.0011327587,0.28748423,True
112,3.7333333333333334,0.0043840185,0.0009364784,0.21925296,True
113,3.7666666666666666,0.005531677,0.0008275023,0.16040424,True
114,3.8,0.0066446094,0.00072788313,0.11945184,True
115,3.8333333333333335,0.007014008,0.0006246733,0.098093495,True
116,3.8666666666666667,0.0064862296,0.0005604983,0.09490183,True
117,3.9,0.0052905553,0.0005380565,0.10672424,True
118,3.933333333333333,0.0040920293,0.00052997493,0.1253628,True
119,3.966666666666667,0.0035976167,0.00052818685,0.13926966,True
120,4.0,0.0037748662,0.00054770673,0.143984,True
121,4.033333333333333,0.0040965644,0.000584019,0.14545742,True
122,4.066666666666666,0.0042712055,0.0006232419,0.15188393,True
123,4.1,0.0042450596,0.0006892995,0.16712224,True
124,4.133333333333334,0.004040698,0.00078226405,0.18447952,True
125,4.166666666666667,0.0039257025,0.000803804,0.18784536,True
126,4.2,0.0042877123,0.00073165196,0.17328532,True
127,4.233333333333333,0.0052933884,0.0007729117,0.15902592,True
128,4.266666666666667,0.006863841,0.001063276,0.16011247,True
129,4.3,0.008527234,0.0014476024,0.17709671,True
130,4.333333333333333,0.00929575,0.0018153596,0.21547405,True
131,4.366666666666666,0.008508383,0.002227173,0.29322755,True
132,4.4,0.00667206,0.0026390485,0.42435324,False
133,4.433333333333334,0.004910319,0.0029383951,0.59376603,False
134,4.466666666666667,0.0039049652,0.003117305,0.7457943,False
135,4.5,0.0035379743,0.003105893,0.8158068,False
136,4.533333333333333,0.0033652415,0.002772567,0.78047115,False
137,4.566666666666666,0.003200754,0.0021736664,0.6678444,False
138,4.6,0.0031293845,0.0015868761,0.53763145,False
139,4.633333333333334,0.0032011268,0.0013028586,0.44943538,False
140,4.666666666666667,0.0034784705,0.0014229489,0.4179689,False
141,4.7,0.004150449,0.0017860768,0.40249634,False
142,4.733333333333333,0.0053169876,0.002008242,0.35956225,False
143,4.766666666666667,0.0069332025,0.0019405133,0.29581147,False
144,4.8,0.008591565,0.0019099577,0.25246942,False
145,4.833333333333333,0.009242212,0.0021425204,0.25750393,False
146,4.866666666666666,0.008276963,0.002422392,0.31218684,False
147,4.9,0.0065712864,0.0025768545,0.4059875,False
148,4.933333333333334,0.005322226,0.0027734938,0.52502275,False
149,4.966666666666667,0.0048096096,0.00316476,0.653206,False
150,5.0,0.004606566,0.0035833784,0.78205496,False
151,5.033333333333333,0.004281721,0.0038855667,0.9166597,False
152,5.066666666666666,0.0038508186,0.004101438,1.0554973,False
153,5.1,0.0034321295,0.0041283234,1.1738492,False
154,5.133333333333334,0.0030827357,0.003951944,1.2382252,False
155,5.166666666666667,0.0030781706,0.0038854005,1.2312562,False
156,5.2,0.003612194,0.0042715017,1.1617976,False
157,5.233333333333333,0.0048444318,0.0051558274,1.0493786,False
158,5.266666666666667,0.0070632882,0.0063846507,0.92152107,False
159,5.3,0.009935397,0.007837936,0.8160147,False
160,5.333333333333333,0.012901648,0.009460854,0.75475323,False
161,5.366666666666666,0.015497076,0.011159836,0.7348913,False
162,5.4,0.015867414,0.011731872,0.74130803,False
163,5.433333333333334,0.012849123,0.009760269,0.75759834,False
164,5.466666666666667,0.008742083,0.0066955863,0.7829265,False
165,5.5,0.0060008657,0.0048826127,0.8303832,False
166,5.533333333333333,0.0047959923,0.004363411,0.8914854,False
167,5.566666666666666,0.0044887695,0.004287414,0.93256724,False
