type,distance_cm
direct_peak,24.493098
direct_peak,22.826687
direct_peak,24.304448
direct_peak,23.266871
direct_peak,24.430215
direct_peak,25.090491
direct_peak,23.707055
direct_peak,21.694785
direct_peak,24.115798
direct_peak,25.310583
direct_peak,24.524540
direct_peak,25.342025
direct_peak,25.027607
direct_peak,24.587423
direct_peak,24.052914
incident_peak,22.166411
incident_peak,23.078221
incident_peak,23.958589
incident_peak,24.555982
incident_peak,24.901840
incident_peak,24.996166
incident_peak,24.838957
incident_peak,24.398773
incident_peak,23.801380
incident_peak,23.015337
incident_peak,21.977761
incident_peak,23.864264
incident_peak,24.493098
incident_peak,24.964724
incident_peak,25.342025
incident_peak,25.467791
incident_peak,25.153374
incident_peak,24.713190
incident_peak,23.990031
