component,frame,time_s,left_peak_x_cm,right_peak_x_cm,spacing_cm,left_peak_eta_px,right_peak_eta_px,left_peak_prominence_px,peaks_in_frame
direction_filtered_incident_low_reflection_window,13,0.43333333333333335,3.487236202541355,30.27380879129308,26.786572588751728,11.976097460699778,15.985066730206832,3.4370653259560093,2
direction_filtered_incident_low_reflection_window,14,0.4666666666666667,4.71351706497348,32.151551361892274,27.438034296918794,13.11707826618572,14.46878857351427,5.364146648344881,2
direction_filtered_incident_low_reflection_window,15,0.5,7.2427213437397375,33.914330101638456,26.671608757898717,16.17597260085859,11.610192535519346,11.044502932972858,2
direction_filtered_incident_low_reflection_window,16,0.5333333333333333,9.005500083485916,37.24828119637579,28.242781112889876,20.419922153775534,9.62196092009324,17.8141334697058,2
direction_filtered_incident_low_reflection_window,17,0.5666666666666667,10.500029884575069,39.240987597827996,28.740957713252925,22.848004627566166,8.252238335637934,26.3771953720306,2
direction_filtered_incident_low_reflection_window,18,0.6,11.956238408713217,40.735517398917146,28.779278990203927,23.93492146004662,5.870729608291987,30.183376222925915,2
direction_filtered_incident_low_reflection_window,19,0.6333333333333333,13.795659702361405,44.83589403267457,31.04023433031316,25.38948538510492,3.5891091206488523,34.44272925237842,2
direction_filtered_incident_low_reflection_window,20,0.6666666666666666,15.82668738076461,46.100496172057696,30.273808791293085,24.86123520505972,4.418352211224566,36.5418569076144,2
direction_filtered_incident_low_reflection_window,28,0.9333333333333333,3.6788425872963746,36.75010459601274,33.07126200871637,12.509431685954128,26.10865676919275,4.412370371008356,2
direction_filtered_incident_low_reflection_window,29,0.9666666666666667,6.28468941996464,38.47456205880792,32.189872638843276,13.011070139514812,25.071718599005905,6.283576606257664,2
direction_filtered_incident_low_reflection_window,30,1.0,8.200753267514836,40.237340798554094,32.03658753103926,16.41386346231984,22.52059798931288,12.254215243964165,2
direction_filtered_incident_low_reflection_window,31,1.0333333333333334,9.503676683848967,43.1497578468304,33.64608116298143,20.41668135478621,20.32061180076936,19.830955138408246,2
direction_filtered_incident_low_reflection_window,32,1.0666666666666667,10.691636269330088,44.87421530962557,34.18257904029548,22.389262791392856,18.789364053907867,28.555938576145536,2
