component,frame,time_s,left_peak_x_cm,right_peak_x_cm,spacing_cm,left_peak_eta_px,right_peak_eta_px,left_peak_prominence_px,peaks_in_frame
direct_raw_low_reflection_window,14,0.4666666666666667,5.901476650454601,33.18622583956938,27.28474918911478,16.63229291185242,13.488829367194496,2.441470653497303,2
direct_raw_low_reflection_window,15,0.5,7.204400066788733,34.335864148099496,27.131464081310764,17.18102042479108,14.728809424405279,6.467910521038016,2
direct_raw_low_reflection_window,16,0.5333333333333333,8.35403837531885,35.21725351797259,26.863215142653736,20.765463719416704,10.54360217247604,19.126673962202222,2
direct_raw_low_reflection_window,17,0.5666666666666667,10.614993715428081,39.08770249002398,28.472708774595898,21.765665233834028,10.63998700916736,31.004871622808686,2
direct_raw_low_reflection_window,18,0.6,11.917917131762213,41.2336939992802,29.315776867517986,24.024006719295976,8.643432263720623,35.66257224694851,2
direct_raw_low_reflection_window,19,0.6333333333333333,13.565732040655382,43.60961317024244,30.043881129587056,26.234075225455943,7.192119643383818,43.074738533273404,2
direct_raw_low_reflection_window,29,0.9666666666666667,6.246368143013636,38.51288333575892,32.26651519274529,16.4274899261133,24.253791189241316,3.029593896550118,2
direct_raw_low_reflection_window,30,1.0,8.200753267514836,40.46726846026012,32.26651519274529,17.840704632938394,24.347431419953324,7.090564208982167,2
direct_raw_low_reflection_window,31,1.0333333333333334,9.388712852995956,42.72822380036935,33.33951094737339,20.500441993252632,22.106382361772344,16.298723378695552,2
direct_raw_low_reflection_window,32,1.0666666666666667,11.343097977497155,44.567645094017536,33.224547116520384,18.36824651998077,20.600509594241544,25.356817542567114,2
