series,frame_local,time_s,period_cm,autocorr_value
direct_raw,41,1.4137931034482758,7.244091033935547,0.2000353510150464
direct_raw,42,1.4482758620689655,7.244091033935547,0.2000353510150464
direct_raw,43,1.4827586206896552,7.244091033935547,0.2000353510150464
direct_raw,44,1.5172413793103448,7.244091033935547,0.2000353510150464
direct_raw,45,1.5517241379310345,7.244091033935547,0.2000353510150464
direct_raw,46,1.5862068965517242,6.866138458251953,0.04583513658883819
direct_raw,47,1.6206896551724137,10.204719543457031,-0.029232651468829352
direct_raw,48,1.6551724137931034,5.196847915649414,0.3651597609707109
direct_raw,49,1.6896551724137931,5.196847915649414,0.3629862627862582
direct_raw,50,1.7241379310344827,7.968500137329102,0.04274279491145757
direct_raw,51,1.7586206896551724,7.716531753540039,0.0636620819330396
direct_raw,52,1.793103448275862,7.716531753540039,0.0636620819330396
direct_raw,53,1.8275862068965518,5.385824203491211,0.04439993353810247
direct_raw,54,1.8620689655172413,5.385824203491211,0.04446027428811578
direct_raw,55,1.896551724137931,5.417320251464844,0.0637105334616216
direct_raw,56,1.9310344827586208,5.385824203491211,0.053696049806605556
direct_raw,57,1.9655172413793103,5.385824203491211,0.053696049806605556
direct_raw,58,2.0,5.385824203491211,0.053696049806605556
direct_raw,59,2.0344827586206895,5.385824203491211,0.053696049806605556
direct_raw,60,2.0689655172413794,5.417320251464844,0.04719386515220554
direct_raw,61,2.103448275862069,5.417320251464844,0.047554333358663305
direct_raw,62,2.1379310344827585,5.417320251464844,0.04987069657732345
incident_separated,41,1.4137931034482758,11.496057510375977,0.27459090010384946
incident_separated,42,1.4482758620689655,6.173225402832031,0.3337147980643793
incident_separated,43,1.4827586206896552,11.559049606323242,0.28797705084747977
incident_separated,44,1.5172413793103448,6.141729354858398,0.3595523257085105
incident_separated,45,1.5517241379310345,11.65353775024414,0.33270159256781484
incident_separated,46,1.5862068965517242,6.141729354858398,0.4471588997288791
incident_separated,47,1.6206896551724137,6.2992095947265625,0.5416524157428241
incident_separated,48,1.6551724137931034,6.519681930541992,0.5530626138369198
incident_separated,49,1.6896551724137931,6.929130554199219,0.5097323348433114
incident_separated,50,1.7241379310344827,6.992122650146484,0.4548407437617857
incident_separated,51,1.7586206896551724,7.149602890014648,0.22591369805586695
incident_separated,52,1.793103448275862,6.488185882568359,0.19637173953009035
incident_separated,53,1.8275862068965518,6.488185882568359,0.2098417957198905
incident_separated,54,1.8620689655172413,11.149600982666016,0.25319141000455475
incident_separated,55,1.896551724137931,6.425193786621094,0.32517265571872006
incident_separated,56,1.9310344827586208,6.236217498779297,0.25678148645854554
incident_separated,57,1.9655172413793103,6.456689834594727,0.3476389048083013
incident_separated,58,2.0,11.118104934692383,0.2563385542568119
incident_separated,59,2.0344827586206895,6.330705642700195,0.3928819480277654
incident_separated,60,2.0689655172413794,10.992120742797852,0.3214012609288409
incident_separated,61,2.103448275862069,6.141729354858398,0.4525045561537942
incident_separated,62,2.1379310344827585,10.86613655090332,0.4436699747707465
