video,experiment_folder,frame,time_s,crest1_px,crest2_px,dx_px,distance_cm
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,91,3.033333333333333,254.4924372168986,1037.802489967686,783.3100527507873,26.051886809566287
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,121,4.033333333333333,339.20760523511336,1142.2307979717336,803.0231927366203,26.707520539490403
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,122,4.066666666666666,392.454055437771,1147.500899417403,755.046843979632,25.111888767672728
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,128,4.266666666666667,60.552966251486005,643.0006556241705,582.4476893726844,19.371462453142055
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,129,4.3,102.80030877040689,654.9648404241185,552.1645316537116,18.36428350227785
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,132,4.4,210.00782005141838,1107.8652948560998,897.8574748046815,29.861587021118524
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,133,4.433333333333334,233.78829907447354,1108.124719444812,874.3364203703384,29.079306944904427
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,144,4.8,136.88436819670093,494.6773960169224,357.7930278202215,11.89973680190975
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,145,4.833333333333333,195.07725728890728,1032.9537358865846,837.8764785976773,27.8666960856296
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,146,4.866666666666666,218.66834887711047,1070.8424955008009,852.1741466236904,28.34221817007928
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,147,4.9,232.4908975913658,1109.6984391475444,877.2075415561785,29.174796749851243
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,148,4.933333333333334,244.3933446928545,1143.3869124541914,898.9935677613369,29.89937201444012
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,160,5.333333333333333,199.80186943837336,1074.8204085133139,875.0185390749405,29.101993337375166
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,161,5.366666666666666,213.79875473459995,1096.1841377761384,882.3853830415385,29.347005110794356
8b5f4cdec73a03c1e7ed911633b86d5b.mp4,10.0,162,5.4,227.4308546308614,1115.7506314715374,888.319776840676,29.544375430498025
