frame,px_per_cm,ruler_y1,ruler_y2,strip_estimates
0,30.01738252107525,454,487,30.001|30.339|30.034|29.970
15,30.05794184002729,454,487,30.076|30.220|30.040|29.984
30,29.99813486802156,454,487,29.994|30.123|30.003|29.957
45,30.063919496594885,456,488,30.064|30.258|30.064|29.994
60,30.05421690828885,456,488,30.045|30.203|30.064|29.991
75,30.070692516470896,456,488,30.052|30.221|30.089|29.995
91,30.090545833819874,456,488,30.057|30.338|30.125|30.029
106,30.072592867493334,456,488,30.034|30.313|30.111|30.020
121,30.14419862886257,456,487,30.059|30.351|30.230|30.038
136,30.10742713268753,456,487,30.068|30.349|30.147|30.016
151,30.08003371589808,456,488,30.069|30.319|30.091|30.026
167,29.96094764741842,454,488,29.849|29.931|30.167|29.991
