frame,time_s,incident_energy,reflected_energy,reflection_to_incident_ratio,in_low_reflection_window
0,0.0,0.020203745,0.01330647,0.6378646,False
1,0.03333333333333333,0.013874388,0.008446792,0.6116987,False
2,0.06666666666666667,0.007132644,0.0039978563,0.5963937,False
3,0.1,0.003665441,0.0021865135,0.6329905,False
4,0.13333333333333333,0.002545236,0.0018243942,0.72591686,False
5,0.16666666666666666,0.0021846113,0.0018433168,0.8518656,False
6,0.2,0.0019874068,0.0019534158,1.0038421,False
7,0.23333333333333334,0.0018405203,0.0021355727,1.2055458,False
8,0.26666666666666666,0.0017282009,0.0024588779,1.5053216,False
9,0.3,0.0016957634,0.0031435352,1.9567281,False
10,0.3333333333333333,0.0018147406,0.0045866426,2.5546672,False
11,0.36666666666666664,0.0020260639,0.006636656,3.1734574,False
12,0.4,0.0020902324,0.00794359,3.6174526,False
13,0.43333333333333335,0.001955325,0.0076892283,3.7493365,False
14,0.4666666666666667,0.0018615688,0.0068153343,3.5761604,False
15,0.5,0.0019272326,0.0062047997,3.2356417,False
16,0.5333333333333333,0.0020791679,0.0059056696,2.8813906,False
17,0.5666666666666667,0.0022687712,0.005791417,2.587221,False
18,0.6,0.002485126,0.0058025597,2.358665,False
19,0.6333333333333333,0.002744823,0.0059360815,2.1807897,False
20,0.6666666666666666,0.003077248,0.0062307334,2.0440576,False
21,0.7,0.0035466782,0.006808338,1.9556285,False
22,0.7333333333333333,0.004117074,0.007754701,1.9435749,False
23,0.7666666666666667,0.004368529,0.008616925,2.0413506,False
24,0.8,0.0038491334,0.00851802,2.2508986,False
25,0.8333333333333334,0.0029741453,0.007575283,2.510572,False
26,0.8666666666666667,0.002401765,0.0067127883,2.7186966,False
27,0.9,0.002196285,0.0062899464,2.8161683,False
28,0.9333333333333333,0.002173339,0.0061654965,2.8245394,False
29,0.9666666666666667,0.0022313453,0.006226609,2.7982166,False
30,1.0,0.002324962,0.006438074,2.7690196,False
31,1.0333333333333334,0.0024568252,0.0067773443,2.7201252,False
32,1.0666666666666667,0.0027403897,0.0073306095,2.5906973,False
33,1.1,0.0035254194,0.008478216,2.3255932,False
34,1.1333333333333333,0.0054516005,0.010604197,1.9475669,False
35,1.1666666666666667,0.008499007,0.012791341,1.5561888,False
36,1.2,0.010794713,0.012806029,1.2353218,False
37,1.2333333333333334,0.010889628,0.0105322655,1.0047786,False
38,1.2666666666666666,0.009865236,0.008128158,0.847772,False
39,1.3,0.009028728,0.006579879,0.73869616,False
40,1.3333333333333333,0.008636339,0.0056115547,0.6553143,True
41,1.3666666666666667,0.008576677,0.0049718297,0.5867512,True
42,1.4,0.008667608,0.004552822,0.5303566,True
43,1.4333333333333333,0.008759406,0.0042253104,0.48223016,True
44,1.4666666666666666,0.008968419,0.0039244476,0.436171,True
45,1.5,0.0095949,0.003726977,0.38956302,True
46,1.5333333333333334,0.010463638,0.0035879887,0.3436018,True
47,1.5666666666666667,0.010333242,0.0030903467,0.29885244,True
48,1.6,0.008267853,0.0020893111,0.25745142,True
49,1.6333333333333333,0.005614478,0.001193817,0.2298416,True
50,1.6666666666666667,0.0039921883,0.00083921105,0.2312019,True
51,1.7,0.0033611385,0.0008603542,0.26519507,True
52,1.7333333333333334,0.0031583218,0.0010057118,0.31909993,True
53,1.7666666666666666,0.0031223854,0.0011864696,0.37813488,True
54,1.8,0.0031818184,0.001391534,0.43488887,True
55,1.8333333333333333,0.0033369928,0.0016334135,0.4876018,True
56,1.8666666666666667,0.0036370251,0.0019524497,0.5378672,True
57,1.9,0.0041458877,0.0024342644,0.5883335,True
58,1.9333333333333333,0.0050149397,0.0032249072,0.636499,True
59,1.9666666666666666,0.006252901,0.004283628,0.6728099,True
60,2.0,0.0072257672,0.0050497297,0.69041836,True
61,2.033333333333333,0.00740891,0.0051478124,0.69311184,True
62,2.066666666666667,0.007208986,0.00496683,0.6900998,False
63,2.1,0.0071491166,0.0049070753,0.6876289,False
64,2.1333333333333333,0.007398513,0.0050726314,0.6882565,False
65,2.1666666666666665,0.007978511,0.005507368,0.69389033,False
66,2.2,0.008844496,0.006216951,0.70584786,False
67,2.2333333333333334,0.010029122,0.007226544,0.72492296,False
68,2.2666666666666666,0.011990558,0.008945909,0.75357354,False
69,2.3,0.0159462,0.0125792455,0.79374725,False
70,2.3333333333333335,0.023031889,0.019416854,0.8413276,False
71,2.3666666666666667,0.03001458,0.026762571,0.8883843,False
72,2.4,0.02974202,0.027743666,0.9306774,False
73,2.433333333333333,0.022298612,0.021633478,0.9686736,False
74,2.466666666666667,0.014717983,0.01476415,1.0060271,False
75,2.5,0.010101402,0.01050715,1.0514454,False
76,2.533333333333333,0.007565434,0.008335922,1.1161956,False
77,2.566666666666667,0.0061266045,0.0073191407,1.2050323,False
78,2.6,0.005335782,0.006990835,1.3099009,False
79,2.6333333333333333,0.005087133,0.0072730733,1.4066112,False
80,2.6666666666666665,0.005657844,0.0085167885,1.456903,False
81,2.7,0.008158248,0.0119783925,1.4348388,False
82,2.7333333333333334,0.0142620485,0.019340362,1.3586764,False
83,2.7666666666666666,0.022177102,0.027989384,1.2697796,False
84,2.8,0.025272127,0.030044986,1.1853043,False
85,2.8333333333333335,0.021836612,0.024193779,1.0943633,False
86,2.8666666666666667,0.017904812,0.017812693,0.9843375,False
87,2.9,0.0173756,0.014908958,0.8580026,False
88,2.933333333333333,0.01959425,0.014167946,0.72944325,False
89,2.966666666666667,0.021369904,0.012852406,0.6130956,False
90,3.0,0.019538179,0.009773125,0.5242093,False
91,3.033333333333333,0.015749313,0.007032134,0.4824802,False
92,3.066666666666667,0.013711817,0.0064912774,0.49911025,False
93,3.1,0.014713655,0.008185087,0.5589744,False
94,3.1333333333333333,0.01845024,0.011842426,0.62810534,False
95,3.1666666666666665,0.022134041,0.015385155,0.6778776,False
96,3.2,0.021073751,0.015008201,0.6972731,False
97,3.2333333333333334,0.01566339,0.010942417,0.6890833,False
98,3.2666666666666666,0.010603864,0.007042362,0.6643108,False
99,3.3,0.0077056596,0.004868508,0.6372129,False
100,3.3333333333333335,0.0061211437,0.003749287,0.61724895,False
101,3.3666666666666667,0.005103745,0.0030759282,0.606305,False
102,3.4,0.0043661236,0.0026178043,0.6034699,False
103,3.433333333333333,0.003794233,0.002291127,0.60931194,False
104,3.466666666666667,0.0033319308,0.0020607407,0.6265432,False
105,3.5,0.0029491473,0.0019194433,0.6558976,False
106,3.533333333333333,0.0026422807,0.0018499015,0.6846956,False
