video,experiment_folder,frame,time_s,crest1_px,crest2_px,dx_px,distance_cm
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,39,1.344823469387755,153.27890879112903,975.9909495801976,822.7120407890686,28.347334231896227
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,40,1.3793061224489795,344.3275650797332,1032.8684229285213,688.5408578487882,23.724337146003133
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,41,1.413788775510204,383.86256312608384,1077.8746575324462,694.0120944063624,23.912853861050326
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,48,1.6551673469387753,99.58409529306203,734.6244813481646,635.0403860551025,21.88092696077579
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,55,1.8965459183673468,372.0378951641084,1206.2273847628912,834.1894895987828,28.742800763814728
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,62,2.1379244897959184,125.08383258652202,713.9664080101896,588.8825754236676,20.29051522433528
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,63,2.1724071428571428,146.9571275704985,728.76994406777,581.8128164972715,20.046919884423552
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,64,2.206889795918367,184.1297253573891,775.5814357971326,591.4517104397435,20.37903724100313
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,77,2.6551642857142856,172.03106535354988,760.9084292848463,588.8773639312965,20.290335657355865
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,78,2.68964693877551,187.2046345249132,796.3609778574274,609.1563433325142,20.98906738664563
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,79,2.7241295918367348,269.05011996524587,817.1370392836251,548.0869193183792,18.884861676689432
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,82,2.827577551020408,400.90726447578743,903.4301399615307,502.52287548574327,17.314908746084818
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,82,2.827577551020408,903.4301399615307,1210.0582798181747,306.628139856644,10.565167317940633
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,83,2.8620602040816325,429.36393524638083,898.6669405259836,469.30300527960276,16.170286184136547
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,83,2.8620602040816325,898.6669405259836,1207.5905627235875,308.9236221976039,10.644260368627231
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,92,3.172404081632653,262.66028737807636,780.5726024702402,517.9123150921639,17.84516668146933
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,93,3.206886734693877,323.86191692872916,800.9259211120973,477.0640041833681,16.437698861951993
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,94,3.241369387755102,371.96884432680616,1147.0799337137719,775.1110893869657,26.70719769292266
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,95,3.2758520408163263,409.06019384286685,1202.5759154714153,793.5157216285485,27.34134698903226
eb84ad233085c38dae1687a33b4dc52f.mp4,8.5,96,3.3103346938775506,409.06019384286685,1202.5759154714153,793.5157216285485,27.34134698903226
