frame_index,time_s,scale,kind,x_px,x_cm,y_px,eta_cm,prominence_cm
49,1.689647,broad,trough,198,6.000000,311.918508,-0.584997,0.515523
49,1.689647,local,crest,24,0.727273,296.321496,0.024771,0.050724
50,1.724129,broad,crest,828,25.090909,251.769135,1.231571,1.800767
50,1.724129,broad,trough,279,8.454545,312.125520,-0.591467,0.614400
51,1.758612,broad,crest,881,26.696970,255.053523,1.118774,1.714183
51,1.758612,broad,trough,304,9.212121,312.270933,-0.616465,1.020422
52,1.793095,broad,crest,932,28.242424,259.134065,0.960039,1.491903
52,1.793095,broad,trough,323,9.787879,308.370403,-0.531864,1.122595
53,1.827577,broad,crest,164,4.969697,259.028698,0.848491,0.254524
53,1.827577,broad,crest,1073,32.515152,272.338238,0.446504,0.617255
53,1.827577,broad,trough,690,20.909091,304.042572,-0.512701,0.959205
54,1.862060,broad,crest,163,4.939394,259.102368,0.846171,0.252110
54,1.862060,broad,crest,1073,32.515152,272.338238,0.446599,0.617255
54,1.862060,broad,trough,690,20.909091,304.042572,-0.512606,0.959205
55,1.896542,broad,crest,215,6.515152,255.301084,0.927554,0.483309
55,1.896542,broad,crest,1112,33.696970,275.064230,0.334258,0.287574
55,1.896542,broad,trough,757,22.939394,308.090439,-0.669725,1.003983
56,1.931025,broad,crest,368,11.151515,243.364542,1.286199,1.469687
56,1.931025,broad,trough,950,28.787879,311.757200,-0.795426,1.235452
57,1.965507,broad,crest,368,11.151515,243.364542,1.286247,1.469687
57,1.965507,broad,trough,950,28.787879,311.757200,-0.795378,1.235452
58,1.999990,broad,crest,422,12.787879,243.305632,1.295800,1.661543
58,1.999990,broad,trough,923,27.969697,312.404691,-0.796421,1.246031
58,1.999990,local,trough,827,25.060606,307.937218,-0.025689,0.047642
59,2.034473,broad,crest,491,14.878788,243.313957,1.322193,1.818064
59,2.034473,broad,trough,1007,30.515152,311.839114,-0.754619,1.259602
60,2.068955,broad,crest,553,16.757576,246.405673,1.256321,1.738433
60,2.068955,broad,trough,1023,31.000000,308.550791,-0.624540,0.888436
60,2.068955,local,crest,568,17.212121,247.526891,0.025702,0.045651
61,2.103438,broad,crest,610,18.484848,250.169028,1.153892,1.589762
61,2.103438,broad,trough,1042,31.575758,302.641202,-0.435870,0.606406
61,2.103438,local,crest,996,30.181818,298.949918,0.029117,0.053260
61,2.103438,local,trough,1041,31.545455,302.639818,-0.024255,0.050332
62,2.137920,broad,crest,683,20.696970,254.000743,1.072618,1.245137
62,2.137920,local,trough,1041,31.545455,294.745178,-0.026570,0.049062
63,2.172403,broad,crest,745,22.575758,254.524380,1.113002,1.507179
63,2.172403,broad,trough,160,4.848485,308.112369,-0.508007,0.374989
64,2.206886,broad,crest,808,24.484848,254.629065,1.135417,1.628516
64,2.206886,broad,trough,438,13.272727,308.404691,-0.493099,0.505314
65,2.241368,broad,crest,871,26.393939,249.101282,1.323124,1.917200
65,2.241368,broad,trough,389,11.787879,312.388568,-0.594076,0.771506
66,2.275851,broad,crest,918,27.818182,246.664294,1.382587,1.988311
66,2.275851,broad,trough,465,14.090909,312.438233,-0.605724,1.030508
