video,frame,time_s,crest1_px,crest2_px,dx_px,distance_cm
4.mp4,75,2.5,215.0458948962915,994.5222732925755,779.476378396284,24.62800563653346
4.mp4,76,2.533333333333333,269.83600199876116,1023.9463096042131,754.1103076054519,23.826550003331814
4.mp4,77,2.566666666666667,325.68777449557984,1107.4466656469317,781.7588911513519,24.700122943170676
4.mp4,78,2.6,377.55526375966537,1144.0594271945902,766.5041634349247,24.21814102480015
4.mp4,80,2.6666666666666665,492.0598146804141,734.210780532174,242.1509658517599,7.650899395000313
4.mp4,81,2.7,542.3252391798098,813.5845685097537,271.25932932994385,8.57059492353693
4.mp4,82,2.7333333333333334,406.67540728469226,598.7782371996008,192.1028299149085,6.06959968135572
4.mp4,82,2.7333333333333334,598.7782371996008,861.1802712106319,262.4020340110311,8.290743570648692
4.mp4,83,2.7666666666666666,394.9342077538027,825.9909560624127,431.05674830861,13.619486518439494
4.mp4,89,2.966666666666667,198.6695752113261,982.4444753060183,783.7749000946922,24.763819908205125
4.mp4,93,3.1,415.36507945830533,1201.8294544388507,786.4643749805454,24.84879541802671
4.mp4,97,3.2333333333333334,399.56885515220245,644.9427293511575,245.37387419895504,7.752729042621013
4.mp4,97,3.2333333333333334,644.9427293511575,907.4904101035181,262.54768075236063,8.295345363423717
4.mp4,98,3.2666666666666666,701.6889290582382,916.0656921432658,214.37676308502762,6.773357443444791
4.mp4,104,3.466666666666667,224.2305152679964,982.969243081914,758.7387278139176,23.97278760865459
4.mp4,108,3.6,428.78514817842614,709.9779548609715,281.1928066825454,8.884448868326869
4.mp4,109,3.6333333333333333,474.4466180383499,725.5194710464517,251.0728530081018,7.932791564237023
4.mp4,110,3.6666666666666665,527.0058118240233,771.4224196753056,244.41660785128227,7.7224836603880656
4.mp4,113,3.7666666666666666,710.4462504145251,962.2869225556369,251.84067214111178,7.957051252483785
5.mp4,28,0.9655124378109453,372.54605042447264,671.3988009814718,298.8527505569992,8.44526946497299
5.mp4,29,0.999995024875622,439.7876694149726,710.4867296600595,270.6990602450869,7.649675311416252
5.mp4,30,1.0344776119402985,499.7594430732401,743.5110838815062,243.75164080826613,6.888169124488262
5.mp4,31,1.068960199004975,364.3381257303454,768.4581911629973,404.1200654326519,11.420014848183003
5.mp4,32,1.1034427860696518,396.98151839082334,622.2114628226187,225.2299444317954,6.364765151942674
5.mp4,33,1.1379253731343284,416.66515828973746,698.8643817643765,282.19922347463904,7.974658023416482
5.mp4,34,1.172407960199005,421.7231869705426,779.2927015155243,357.5695145449817,10.104544452623328
5.mp4,35,1.2068905472636817,416.24859698241215,836.2697926707759,420.0211956883638,11.869364334031248
5.mp4,36,1.2413731343283583,442.1028737305839,891.1242805067319,449.021406776148,12.68888028869777
5.mp4,40,1.3793034825870647,212.41431776358698,1087.745525527258,875.331207763671,24.735954100762175
5.mp4,41,1.4137860696517413,277.93241165309644,1145.3578264275345,867.4254147744381,24.512544572143387
5.mp4,42,1.448268656716418,338.74056301383825,1197.5872747041074,858.8467116902691,24.270119300598218
5.mp4,44,1.5172338308457711,312.24004387147806,761.304539375363,449.0644955038849,12.690097931553534
5.mp4,45,1.551716417910448,535.626374475665,810.3126646345003,274.6862901588353,7.762350302620603
5.mp4,46,1.5861990049751244,420.21786991013767,658.439507812155,238.22163790201728,6.7318969650441485
5.mp4,47,1.620681592039801,421.43485075416197,658.439507812155,237.00465705799297,6.697506345776499
5.mp4,48,1.6551641791044776,418.3168859286212,879.01564898028,460.69876305165883,13.018870292809755
5.mp4,58,1.999990049751244,416.7739206822196,781.3725078058382,364.59858712361853,10.303178769706912
5.mp4,59,2.0344726368159205,484.3829676811659,761.7465219461161,277.3635542649502,7.838007015710578
6.mp4,50,1.7241339869281045,167.12892596289217,774.8801705195278,607.7512445566357,20.15090333410596
6.mp4,51,1.7586166666666667,216.97638390138303,693.3817683576665,476.40538445628346,15.795934497887382
6.mp4,52,1.7930993464052287,264.44998955218114,699.6099092026969,435.1599196505158,14.428379298757156
6.mp4,53,1.827582026143791,316.41883359227796,738.1196186392526,421.70078504697466,13.982121520125155
6.mp4,54,1.862064705882353,373.0931415076892,766.9177602057047,393.82461869801546,13.057845447546931
6.mp4,55,1.896547385620915,418.1540600195892,809.2776361288196,391.1235761092304,12.968288332534163
6.mp4,56,1.9310300653594772,460.70065111322674,828.4459684189281,367.7453173057014,12.193147125520603
6.mp4,57,1.9655127450980392,490.02057302587866,870.3509263765143,380.3303533506356,12.610422856453436
6.mp4,58,1.9999954248366014,519.9287221309751,891.6082570297173,371.6795348987422,12.323592005926464
6.mp4,64,2.2068915032679737,228.62158368129334,693.0677390482969,464.4461553670035,15.399408334449717
6.mp4,65,2.241374183006536,286.56463249018884,727.2041367843908,440.63950429420197,14.610063139728181
6.mp4,66,2.275856862745098,338.5863550693475,782.3399977437713,443.75364267442376,14.71331706480185
6.mp4,67,2.31033954248366,383.5832398890534,797.5549600464539,413.97172015740045,13.725852790364737
6.mp4,68,2.344822222222222,437.4752687630768,842.1376820224546,404.66241325937773,13.417188768547007
6.mp4,69,2.379304901960784,490.38368892808614,870.7716793065923,380.3879903785062,12.612333898491585
6.mp4,70,2.4137875816993466,529.9812012586442,797.0503058397913,267.06910458114714,8.855076411841749
6.mp4,71,2.4482702614379086,600.7023629059468,861.4761261974018,260.773763291455,8.64634493671933
6.mp4,74,2.5517183006535946,609.7112056951651,842.581487089187,232.87028139402196,7.721163176194362
6.mp4,75,2.586200980392157,600.6012809961848,893.679992400364,293.0787114041792,9.717463905974112
